品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,B,日量数（箱数）,収容数,納入便,社内LT（検収〜回収LT）,仕入先名,かんばん数
019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,2.0,0.0,50,1.0,0.8400000000000001,石黒ゴム工業（株）,1
019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,2.0,18.9,50,1.7,5.489999999999999,石黒ゴム工業（株）,10
019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,2.0,18.92,50,1.375,3.17875,石黒ゴム工業（株）,8
019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,2.0,0.0,50,1.375,3.1737499999999996,石黒ゴム工業（株）,8
019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,2.0,16.9,50,1.4444444444444444,4.823333333333334,石黒ゴム工業（株）,9
019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,2.0,16.92,50,1.3636363636363635,5.087272727272728,石黒ゴム工業（株）,11
019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,2.0,18.9,50,1.553191489361702,3.0376595744680848,石黒ゴム工業（株）,47
019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,2.0,18.92,50,1.5,1.6999999999999995,石黒ゴム工業（株）,6
019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,2.0,18.94,50,2.0,5.847499999999999,石黒ゴム工業（株）,4
019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,2.0,0.0,50,1.625,2.3662499999999995,石黒ゴム工業（株）,8
019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,2.0,16.92,50,1.391304347826087,2.1091304347826085,石黒ゴム工業（株）,23
019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,2.0,17.54,50,1.65,4.9895,石黒ゴム工業（株）,20
019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,2.0,17.56,50,1.4444444444444444,4.107777777777778,石黒ゴム工業（株）,9
019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,2.0,17.58,50,1.5714285714285714,5.929285714285714,石黒ゴム工業（株）,14
019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,2.0,18.9,50,1.3333333333333333,1.3599999999999997,石黒ゴム工業（株）,3
019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,2.0,18.94,50,1.4,2.35,石黒ゴム工業（株）,15
019128GA010    ,2023,38,1.07,1.0,ＴＰ３４２フタナシ,2.0,0.0,50,1.2857142857142858,2.4185714285714286,石黒ゴム工業（株）,7
