,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数
0,019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5263157894736843,4.272105263157894,17.913684210526323,石黒ゴム工業（株）,19
1,019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5176470588235293,3.542588235294118,16.656470588235305,石黒ゴム工業（株）,85
2,019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5,3.549347826086955,16.1404347826087,石黒ゴム工業（株）,92
3,019128GA010    ,2023,38,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5238095238095237,3.5833333333333326,16.14547619047617,石黒ゴム工業（株）,84
4,019128GA010    ,2023,39,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.4479166666666667,3.974062499999999,11.782708333333334,石黒ゴム工業（株）,96
5,01912ECB010    ,2023,35,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.5,4.883333333333334,6.3055555555555545,石黒ゴム工業（株）,6
6,01912ECB010    ,2023,36,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.4838709677419355,3.754193548387096,5.518709677419357,石黒ゴム工業（株）,31
7,01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.4666666666666666,3.6086666666666667,5.328666666666668,石黒ゴム工業（株）,30
8,01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.5,3.6086666666666667,5.469111111111113,石黒ゴム工業（株）,30
9,01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.5161290322580645,4.137741935483869,3.490322580645161,石黒ゴム工業（株）,31
10,01912ECB040    ,2023,35,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,4.591666666666666,18.90777777777778,愛産樹脂工業（株）,18
11,01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.3937209302325595,16.821627906976754,愛産樹脂工業（株）,86
12,01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.2734408602150538,16.244086021505403,愛産樹脂工業（株）,93
13,01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.4073809523809526,16.005952380952355,愛産樹脂工業（株）,84
14,01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.4399999999999995,12.38680851063829,愛産樹脂工業（株）,94
15,01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,5.427499999999999,1.006875,新光ゴム工業（株）,4
16,01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,4.078,0.9390000000000001,新光ゴム工業（株）,5
17,01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,5.4559999999999995,0.5925,新光ゴム工業（株）,5
18,01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,5.4485714285714275,0.8639285714285715,新光ゴム工業（株）,7
19,1040043104R    ,2023,35,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.73,1.89,（株）ギフ加藤製作所,2
20,1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.625,5.08142857142857,1.8337142857142859,（株）ギフ加藤製作所,8
21,1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.3028571428571425,1.4962857142857142,（株）ギフ加藤製作所,10
22,1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.648571428571429,1.7882857142857145,（株）ギフ加藤製作所,8
23,1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.5925,0.7072499999999999,（株）ギフ加藤製作所,10
24,1040052001Z    ,2023,35,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,2.6666666666666665,4.35,2.6616666666666666,（株）青山製作所,3
25,1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,3.8461538461538463,3.0930769230769233,2.362692307692308,（株）青山製作所,13
26,1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,2.9166666666666665,3.619999999999999,2.25125,（株）青山製作所,12
27,1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,3.4615384615384617,3.6766666666666663,2.06,（株）青山製作所,13
28,1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,2.923076923076923,4.548461538461539,1.5326923076923076,（株）青山製作所,13
29,1040183011P    ,2023,35,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.5,3.1999999999999997,2.466,（株）青山製作所,2
30,1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.25,1.5458333333333334,2.05,（株）青山製作所,12
31,1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0833333333333335,1.4816666666666667,2.109,（株）青山製作所,12
32,1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.5,1.9200000000000002,2.1075000000000004,（株）青山製作所,12
33,1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.5,1.7236363636363636,1.7263636363636363,（株）青山製作所,12
34,2030044001J    ,2023,35,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.0,6.24,1.0275,ＮＯＫ（株）,1
35,2030044001J    ,2023,36,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,3.2600000000000002,1.010625,ＮＯＫ（株）,4
36,2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,4.898,0.9595,ＮＯＫ（株）,5
37,2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.6,2.6975000000000002,0.9381249999999999,ＮＯＫ（株）,5
38,2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,2.7719999999999994,0.7865,ＮＯＫ（株）,5
39,2030045013L    ,2023,35,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,4.67,1.2105,伊藤金属工業（株）,1
40,2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,4.652857142857142,1.181142857142857,伊藤金属工業（株）,7
41,2030045013L    ,2023,37,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,6.621666666666667,1.1115,伊藤金属工業（株）,6
42,2030045013L    ,2023,38,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,5.34,0.9122,伊藤金属工業（株）,5
43,2030045013L    ,2023,39,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,4.442,0.7098,伊藤金属工業（株）,6
44,2030052002N    ,2023,35,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,2.0,3.275,3.1516666666666664,（株）杉浦製作所,2
45,2030052002N    ,2023,36,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.5,2.6718749999999996,2.6950000000000003,（株）杉浦製作所,16
46,2030052002N    ,2023,37,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.4444444444444444,2.976111111111111,2.628148148148148,（株）杉浦製作所,18
47,2030052002N    ,2023,38,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.4615384615384615,2.924615384615384,2.6976923076923076,（株）杉浦製作所,13
48,2030052002N    ,2023,39,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.5789473684210527,3.94,1.753333333333333,（株）杉浦製作所,19
49,3040052001B    ,2023,35,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.2857142857142856,2.9599999999999995,5.753666666666667,（株）青山製作所,7
50,3040052001B    ,2023,36,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.3255813953488373,2.6478571428571427,7.821333333333327,（株）青山製作所,43
51,3040052001B    ,2023,37,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.1875,1.3820689655172411,7.713517241379306,（株）青山製作所,32
52,3040052001B    ,2023,38,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.025,2.1079999999999997,7.325500000000005,（株）青山製作所,40
53,3040052001B    ,2023,39,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.130434782608696,1.7786363636363638,4.853909090909091,（株）青山製作所,46
54,33490ECB010    ,2023,35,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4375,2.7363541666666635,78.1328125,マレリ（株）,96
55,33490ECB010    ,2023,36,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4765784114052953,1.2151428571428589,92.23877551020408,マレリ（株）,491
56,33490ECB010    ,2023,37,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.503968253968254,1.1830616302186885,88.22067594433399,マレリ（株）,504
57,33490ECB010    ,2023,38,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.5129310344827587,1.1859482758620703,86.70474137931035,マレリ（株）,464
58,33490ECB010    ,2023,39,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.3346456692913387,1.3371456692913386,81.10285433070867,マレリ（株）,508
59,33490ECE010    ,2023,35,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4846153846153847,3.0479999999999983,114.11346153846154,マレリ（株）,130
60,33490ECE010    ,2023,36,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4717557251908397,1.4501834862385377,118.91093272171254,マレリ（株）,655
61,33490ECE010    ,2023,37,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.501497005988024,1.483193403298353,115.29010494752623,マレリ（株）,668
62,33490ECE010    ,2023,38,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.5065573770491802,1.504967213114755,113.13770491803278,マレリ（株）,610
63,33490ECE010    ,2023,39,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.34585289514867,1.6233228840125369,96.4819749216301,マレリ（株）,639
64,34989ECB010    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,15.04,0.468,（株）槌屋,1
65,34989ECB010    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,8.055,0.234,（株）槌屋,2
66,34989ECB010    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.23,0.486,（株）槌屋,2
67,34989ECB010    ,2023,39,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,6.41,0.255,（株）槌屋,3
68,34989ECB020    ,2023,35,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.954999999999999,1.89,（株）槌屋,2
