,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量-設計値MIN,不等ピッチ,順立装置在庫量-設計値MAX,AVAILABLE_RATE
0,019128GA010    ,2023,36,40.88333333333333,0.725,0.7083333333333334,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5176470588235293,3.542588235294118,16.656470588235305,石黒ゴム工業（株）,85,3.3108301264431006,3.8643011764705912,0.29,13.02536000000001,95.28500000000001
1,01912ECB010    ,2023,36,12.775,0.25,0.23333333333333334,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.4838709677419355,3.754193548387096,5.518709677419357,石黒ゴム工業（株）,31,4.416698292220113,1.2803406451612913,0.29,4.315630967741938,95.28500000000001
2,01912ECB040    ,2023,36,29.358333333333334,0.7083333333333334,0.7,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.3937209302325595,16.821627906976754,愛産樹脂工業（株）,86,9.574883720930238,5.248347906976748,0.0,22.91105720930234,95.28500000000001
3,01912ECB060    ,2023,36,2.441666666666667,0.03333333333333333,0.041666666666666664,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,5.427499999999999,1.006875,新光ゴム工業（株）,4,6.958333333333332,0.427921875,0.0,1.4851406249999999,95.28500000000001
4,1040043104R    ,2023,36,3.808333333333333,0.06666666666666667,0.06666666666666667,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.625,5.08142857142857,1.8337142857142859,（株）ギフ加藤製作所,8,6.775238095238094,0.44009142857142863,0.12,1.448634285714286,95.28500000000001
5,1040052001Z    ,2023,36,2.725,0.07083333333333333,0.075,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,3.8461538461538463,3.0930769230769233,2.362692307692308,（株）青山製作所,13,5.83599419448476,0.2661966666666667,0.08,0.7781133333333334,95.28500000000001
6,1040183011P    ,2023,36,1.0136986301369864,0.136986301369863,0.0136986301369863,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.25,1.5458333333333334,2.05,（株）青山製作所,12,2.8626543209876543,0.23096666666666665,0.08,0.6751333333333334,95.28500000000001
7,2030044001J    ,2023,36,1.4583333333333333,0.025,0.03333333333333333,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,3.2600000000000002,1.010625,ＮＯＫ（株）,4,6.037037037037037,0.22840125000000003,0.03,0.7842450000000001,95.28500000000001
8,2030045013L    ,2023,36,2.7416666666666667,0.058333333333333334,0.041666666666666664,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,4.652857142857142,1.181142857142857,伊藤金属工業（株）,7,8.77897574123989,0.3496182857142857,0.0,1.5898182857142857,95.28500000000001
9,2030052002N    ,2023,36,2.808333333333333,0.11666666666666667,0.11666666666666667,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.5,2.6718749999999996,2.6950000000000003,（株）杉浦製作所,16,5.343749999999999,0.277585,0.12,1.759835,95.28500000000001
10,3040052001B    ,2023,36,3.23728813559322,0.3305084745762712,0.3220338983050847,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.3255813953488373,2.6478571428571427,7.821333333333327,（株）青山製作所,43,5.092032967032966,0.8812035555555549,0.08,2.5758257777777755,95.28500000000001
11,33490ECB010    ,2023,36,53.675,3.625,3.8666666666666667,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4765784114052953,1.2151428571428589,92.23877551020408,マレリ（株）,491,1.4818815331010475,22.690738775510205,0.23,73.42206530612245,95.28500000000001
12,33490ECE010    ,2023,36,97.175,5.041666666666667,5.166666666666667,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4717557251908397,1.4501834862385377,118.91093272171254,マレリ（株）,655,1.7903499830105403,29.252089449541288,0.23,94.65310244648319,95.28500000000001
13,34989ECB010    ,2023,36,3.1083333333333334,0.008333333333333333,0.025,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,15.04,0.468,（株）槌屋,1,18.5679012345679,0.155844,0.0,0.647244,95.28500000000001
14,34989ECB020    ,2023,36,7.208333333333333,0.05,0.075,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,5.421250000000001,1.8162500000000001,（株）槌屋,8,6.692901234567901,0.60481125,0.0,2.5118737500000003,95.28500000000001
15,34989ECB030    ,2023,36,3.683333333333333,0.025,0.03333333333333333,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,12.1275,0.45575,（株）槌屋,4,15.159374999999999,0.15176475,0.0,0.63030225,95.28500000000001
16,34989ECC010    ,2023,36,3.4916666666666667,0.008333333333333333,0.016666666666666666,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,22.700000000000003,0.3,（株）槌屋,1,29.102564102564106,0.0999,0.0,0.4149,95.28500000000001
17,34989ECE020    ,2023,36,2.3,0.008333333333333333,0.025,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.4,0.494,（株）槌屋,1,11.463414634146343,0.164502,0.0,0.6832020000000001,95.28500000000001
18,34989ECE030    ,2023,36,2.2083333333333335,0.008333333333333333,0.008333333333333333,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,23.630000000000003,0.252,（株）槌屋,1,29.5375,0.083916,0.0,0.348516,95.28500000000001
19,35145ECB010    ,2023,36,6.35,0.15,0.15833333333333333,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.7305555555555556,3.6066666666666674,三共鋼業（株）,18,4.404121863799284,0.988226666666667,0.0,4.775226666666668,95.28500000000001
20,35145ECE010    ,2023,36,7.066666666666666,0.2,0.19166666666666668,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.6354166666666674,4.8016666666666685,三共鋼業（株）,24,4.054487179487181,1.3156566666666674,0.0,6.3574066666666695,95.28500000000001
21,35145ECE020    ,2023,36,5.908333333333333,0.19166666666666668,0.20833333333333334,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.4615384615384617,2.1926923076923073,4.865384615384617,（株）浅賀井製作所,26,3.373372781065088,0.9584807692307695,0.13,2.4180961538461547,95.28500000000001
22,35165ECE010    ,2023,36,6.616666666666666,0.08333333333333333,0.10833333333333334,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,4.214999999999999,2.341,（株）松尾製作所,10,6.690476190476189,0.5173610000000001,0.0,2.9754110000000003,95.28500000000001
