,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からのかんばん増加率,使用工程
151,019128GA010    ,2023,37,40.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5,3.53,17.54,石黒ゴム工業（株）,92,3.2990654205607473,9.829748751621906,0.29,2.0537308618651786,93.505,462.0,-0.024390243902439046,-0.08549222797927458,0.08235294117647052,8.ファイナル後半
306,019128GA010    ,2023,38,37.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,2.0,3.425,17.54,石黒ゴム工業（株）,84,3.200934579439252,9.092517595250264,0.29,1.9744371653077162,97.085,450.0,-0.07499999999999996,-0.029745042492917873,-0.08695652173913049,8.ファイナル後半
450,019128GA010    ,2023,39,40.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.0,2.255,16.44,石黒ゴム工業（株）,52,2.1074766355140184,10.487457001426293,0.29,2.048188026788389,99.44999999999999,464.0,0.08108108108108114,-0.3416058394160584,-0.38095238095238093,8.ファイナル後半
152,01912ECB010    ,2023,37,13.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.0,3.25,5.846666666666667,石黒ゴム工業（株）,30,3.823529411764706,9.584005032831358,0.29,1.0156510499023057,93.505,462.0,0.0,-0.07670454545454541,-0.032258064516129004,8.ファイナル後半
307,01912ECB010    ,2023,38,12.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.5,3.625,5.846666666666667,石黒ゴム工業（株）,30,4.264705882352941,8.846773876459716,0.29,0.9948235564019452,97.085,450.0,-0.07692307692307687,0.11538461538461542,0.0,8.ファイナル後半
451,01912ECB010    ,2023,39,14.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,2.0,2.875,5.48,石黒ゴム工業（株）,16,3.3823529411764706,11.011829851497605,0.29,0.998158408324421,99.44999999999999,464.0,0.16666666666666674,-0.2068965517241379,-0.4666666666666667,8.ファイナル後半
153,01912ECB040    ,2023,37,26.0,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,1.5299999999999998,17.54,愛産樹脂工業（株）,93,6.119999999999999,4.751045229950589,0.0,1.1222353781659746,93.505,462.0,-0.14754098360655743,-0.3447537473233405,0.08139534883720922,8.ファイナル後半
308,01912ECB040    ,2023,38,27.0,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.195,17.54,愛産樹脂工業（株）,84,8.78,4.933777738794841,0.0,1.1562784033159788,97.085,450.0,0.03846153846153855,0.434640522875817,-0.09677419354838712,8.ファイナル後半
452,01912ECB040    ,2023,39,26.5,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,1.7999999999999998,17.56,愛産樹脂工業（株）,64,7.199999999999999,4.836896209333567,0.0,1.1385657646616323,99.44999999999999,464.0,-0.01851851851851849,-0.17995444191343968,-0.23809523809523814,8.ファイナル後半
154,01912ECB060    ,2023,37,2.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,5.01,0.945,新光ゴム工業（株）,5,6.4230769230769225,4.979769685652039,0.0,0.33489507826055254,93.505,462.0,-0.33333333333333337,-0.18470301057770555,0.25,8.ファイナル後半
