,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT
0,019128GA010    ,2023,36,41.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,2.0,3.86,18.9,石黒ゴム工業（株）,85,3.6074766355140184,9.350483488414522,0.29,2.076424212355011,97.81,480.0
1,01912ECB010    ,2023,36,13.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.0,3.52,6.3,石黒ゴム工業（株）,31,4.141176470588236,8.894362342638203,0.29,1.051834199823698,97.81,480.0
2,01912ECB040    ,2023,36,30.5,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.335,18.9,愛産樹脂工業（株）,86,9.34,5.172296838963506,0.0,1.2191564978554115,97.81,480.0
3,01912ECB060    ,2023,36,3.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,6.1450000000000005,1.02875,新光ゴム工業（株）,4,7.878205128205129,6.861553856050318,0.0,0.3777509069486992,97.81,480.0
4,1040043104R    ,2023,36,4.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,2.0,5.26,1.89,（株）ギフ加藤製作所,8,7.013333333333333,8.818342151675484,0.12,0.4057683150587009,97.81,480.0
5,1040052001Z    ,2023,36,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,4.0,3.0100000000000002,2.64,（株）青山製作所,13,5.679245283018868,10.08606777837547,0.08,0.28147691142355147,97.81,480.0
6,1040183011P    ,2023,36,1.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,1.19,2.466,（株）青山製作所,12,2.2037037037037033,3.599245598122634,0.08,0.24192306006111997,97.81,480.0
7,2030044001J    ,2023,36,1.0,0.0,0.0,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,2.365,1.03625,ＮＯＫ（株）,4,4.37962962962963,4.269991566766657,0.03,0.20661459831436246,97.81,480.0
8,2030045013L    ,2023,36,3.0,0.0,0.0,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,4.16,1.212,伊藤金属工業（株）,7,7.849056603773585,8.362322718758362,0.0,0.3113673132177032,97.81,480.0
9,2030052002N    ,2023,36,3.0,0.0,0.0,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.5,2.1350000000000002,3.15,（株）杉浦製作所,16,4.2700000000000005,9.246417013407305,0.12,0.273250995187999,97.81,480.0
