,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave
2,019128GA010    ,2023,36,41.0,87.0,85.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.85,0.33999999999999986,2.76,0.23,3.51,石黒ゴム工業（株）,93.0,94.53999999999999,3.2803738317757007,3.081386852117822,1.8693054572777075,0.29,0.7611437178018049,99.89500000000001,480.0,-0.16326530612244894,-0.5211459754433834,2.576923076923077,8.ファイナル後半,85.0,0.8990903321345463,1.0235294117647058,0.9770114942528736,1.0941176470588236,1.0941176470588236,47.269999999999996
3,019128GA010    ,2023,37,40.0,88.0,82.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.85,0.28,2.4400000000000004,0.2350000000000001,3.6399999999999997,石黒ゴム工業（株）,90.0,88.58000000000001,3.401869158878504,3.1955122910851483,1.9464189783636061,0.29,0.7894931258158899,99.44,462.0,-0.024390243902439046,0.03703703703703698,-0.032258064516129004,8.ファイナル後半,92.0,1.0386091668548203,0.9565217391304348,0.9318181818181818,1.0975609756097562,0.9782608695652174,44.290000000000006
4,019128GA010    ,2023,38,37.0,74.0,78.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.85,0.29000000000000026,2.66,0.25,3.51,石黒ゴム工業（株）,87.0,86.51999999999998,3.2803738317757007,3.081386852117822,1.843305115819344,0.29,0.7485438023719766,99.905,450.0,-0.07499999999999996,-0.0357142857142857,-0.033333333333333326,8.ファイナル後半,84.0,0.9708737864077672,0.8809523809523809,1.054054054054054,1.1153846153846154,1.0357142857142858,43.25999999999999
5,019128GA010    ,2023,39,40.0,84.0,82.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.85,0.3450000000000002,2.625,0.22000000000000064,3.575,石黒ゴム工業（株）,92.0,89.03999999999999,3.3411214953271027,3.1384495716014853,1.9363633547107848,0.29,0.7857255147114962,99.955,464.0,0.08108108108108114,0.0185185185185186,0.05747126436781613,8.ファイナル後半,96.0,1.078167115902965,0.875,0.9761904761904762,1.1219512195121952,0.9583333333333334,44.519999999999996
8,01912ECB010    ,2023,36,13.0,30.0,28.0,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.85,0.3000000000000003,2.79,0.29000000000000004,3.52,石黒ゴム工業（株）,31.0,31.513333333333332,4.141176470588236,3.329119843125424,1.7781198252153803,0.29,0.680255977822519,99.89500000000001,480.0,-0.0714285714285714,0.03834808259587019,2.4444444444444446,8.ファイナル後半,31.0,0.983710598688386,0.967741935483871,0.9333333333333333,1.1071428571428572,1.0,15.756666666666666
9,01912ECB010    ,2023,37,13.0,28.0,28.0,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.85,0.2500000000000002,2.62,0.25,3.41,石黒ゴム工業（株）,31.0,29.506666666666668,4.011764705882353,3.225084848027755,1.899044829144397,0.29,0.7171340962152906,99.44,462.0,0.0,-0.03125,0.0,8.ファイナル後半,30.0,1.016719385449616,0.9333333333333333,1.0,1.1071428571428572,1.0333333333333334,14.753333333333334
10,01912ECB010    ,2023,38,12.0,25.0,26.0,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.85,0.30999999999999983,2.4399999999999995,0.2700000000000005,3.67,石黒ゴム工業（株）,29.0,28.833333333333336,4.317647058823529,3.4709857455313373,1.793900737492525,0.29,0.6798006389362693,99.905,450.0,-0.07692307692307687,0.07624633431085037,-0.06451612903225812,8.ファイナル後半,30.0,1.0404624277456647,0.8333333333333334,1.04,1.1153846153846154,0.9666666666666667,14.416666666666668
11,01912ECB010    ,2023,39,14.0,28.0,29.0,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.85,0.3899999999999999,2.55,0.27999999999999936,3.44,石黒ゴム工業（株）,31.0,29.68,4.047058823529412,3.253458028508937,2.0331815224463234,0.29,0.7626443080535777,99.955,464.0,0.16666666666666674,-0.06267029972752047,0.06896551724137923,8.ファイナル後半,31.0,1.0444743935309972,0.9032258064516129,1.0357142857142858,1.0689655172413792,1.0,14.84
14,01912ECB040    ,2023,36,30.5,85.0,84.0,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,2.18,0.009999999999999787,2.04,0.22999999999999865,2.39,愛産樹脂工業（株）,93.0,94.53999999999999,9.56,7.489874240026652,1.0340216866554925,0.0,0.3040846392899491,99.89500000000001,480.0,-0.0757575757575758,0.16019417475728126,2.4444444444444446,8.ファイナル後半,86.0,0.9096678654537762,0.9883720930232558,0.9882352941176471,1.1071428571428572,1.0813953488372092,94.53999999999999
15,01912ECB040    ,2023,37,26.0,92.0,81.0,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,2.17,0.0,1.2800000000000002,0.2200000000000002,1.5200000000000005,愛産樹脂工業（株）,91.0,88.58000000000001,6.080000000000002,4.763434663113186,0.940769172875743,0.0,0.27674362831224986,99.44,462.0,-0.14754098360655743,-0.36401673640167354,-0.021505376344086002,8.ファイナル後半,93.0,1.0498983969293292,0.989247311827957,0.8804347826086957,1.123456790123457,0.978494623655914,88.58000000000001
16,01912ECB040    ,2023,38,27.0,83.0,79.0,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,2.2300000000000004,-0.040000000000000036,1.85,0.23000000000000045,2.27,愛産樹脂工業（株）,87.0,86.51999999999998,9.08,7.113813608728242,1.0002133788541556,0.0,0.29396965870142494,99.905,450.0,0.03846153846153855,0.49342105263157854,-0.04395604395604391,8.ファイナル後半,84.0,0.9708737864077672,0.9880952380952381,0.9518072289156626,1.1012658227848102,1.0357142857142858,86.51999999999998
17,01912ECB040    ,2023,39,26.5,94.0,83.0,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,2.165,0.0,1.81,0.23,2.08,愛産樹脂工業（株）,90.0,89.03999999999999,8.32,6.518384275839095,0.9539072039072038,0.0,0.2805838895992277,99.955,464.0,-0.01851851851851849,-0.08370044052863435,0.034482758620689724,8.ファイナル後半,94.0,1.05570530098832,1.0,0.8829787234042553,1.0843373493975903,0.9574468085106383,89.03999999999999
20,01912ECB060    ,2023,36,3.0,4.0,5.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,5.29,-0.05999999999999961,6.68,1.6500000000000004,7.77,新光ゴム工業（株）,5.0,3.0975,9.96153846153846,4.316876325546003,2.2788776527560173,0.0,0.54237262123711,99.89500000000001,480.0,-0.1428571428571429,0.4496268656716418,1.5,8.ファイナル後半,4.0,1.29136400322841,1.0,1.25,1.0,1.25,3.0975
21,01912ECB060    ,2023,37,2.0,5.0,4.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,5.29,0.0,2.56,1.3599999999999994,5.99,新光ゴム工業（株）,5.0,4.8425,7.67948717948718,3.3279394066950525,0.9717877858422667,0.0,0.3302284818953039,99.44,462.0,-0.33333333333333337,-0.229086229086229,0.0,8.ファイナル後半,5.0,1.0325245224574082,1.0,0.8,1.25,1.0,4.8425
22,01912ECB060    ,2023,38,1.0,5.0,3.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,5.28,-0.049999999999999815,1.63,1.59,5.01,新光ゴム工業（株）,5.0,3.7824999999999998,6.4230769230769225,2.783468518788349,0.6220597954978422,0.0,0.21769016476273592,99.905,450.0,-0.5,-0.1636060100166945,0.0,8.ファイナル後半,5.0,1.3218770654329148,1.0,0.6,1.6666666666666667,1.0,3.7824999999999998
23,01912ECB060    ,2023,39,1.0,7.0,1.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,5.2799999999999985,-0.030000000000000027,1.2850000000000001,1.8,3.5,新光ゴム工業（株）,4.0,3.955,4.487179487179487,1.9445388853810825,0.5949282367814382,0.0,0.21062926974552582,99.955,464.0,0.0,-0.3013972055888223,-0.19999999999999996,8.ファイナル後半,7.0,1.7699115044247786,1.0,0.14285714285714285,4.0,0.5714285714285714,3.955
26,1040043104R    ,2023,36,4.0,8.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.915,0.41999999999999993,4.5649999999999995,1.3250000000000002,6.110000000000001,（株）ギフ加藤製作所,8.0,9.453999999999999,8.146666666666668,2.5203306256234863,1.7629222198716596,0.12,0.5744961989441001,99.89500000000001,480.0,0.0,0.9335443037974687,1.6666666666666665,2.MGケース,7.0,0.740427332346097,1.1428571428571428,1.0,1.0,1.1428571428571428,4.726999999999999
27,1040043104R    ,2023,37,3.0,10.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.91,0.4399999999999995,2.4300000000000006,1.4399999999999995,5.26,（株）ギフ加藤製作所,7.0,8.858,7.013333333333333,2.1697117988182546,1.4111537593136148,0.12,0.4774748259240951,99.44,462.0,-0.25,-0.13911620294599036,-0.125,2.MGケース,7.0,0.7902461052156242,1.4285714285714286,0.8,0.875,1.0,4.429
28,1040043104R    ,2023,38,4.0,8.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.815,0.43000000000000005,3.835,1.6149999999999998,6.055,（株）ギフ加藤製作所,6.0,6.896,8.073333333333332,2.4976435250655,2.416860015467904,0.12,0.6441576495389814,99.905,450.0,0.33333333333333326,0.15114068441064643,-0.1428571428571429,2.MGケース,7.0,1.0150812064965198,1.1428571428571428,1.0,0.75,0.8571428571428571,3.448
29,1040043104R    ,2023,39,5.0,10.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,2.83,0.41000000000000014,2.525,1.4899999999999998,5.43,（株）ギフ加藤製作所,8.0,7.26,7.239999999999999,2.2398355641793004,2.869605142332415,0.12,0.7285862870292774,99.955,464.0,0.25,-0.10322047894302233,0.33333333333333326,2.MGケース,9.0,1.2396694214876034,1.1111111111111112,0.8,1.0,0.8888888888888888,3.63
