,Unnamed: 0,Unnamed: 0.1,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave,箱種類_AW131ﾌﾀﾅｼ,箱種類_TP131ﾌﾀﾅｼ,箱種類_TP341ﾌﾀﾅｼ,箱種類_サンボックス＃２０Ｂフタナシ,箱種類_サンボックス＃２４Ａフタアリ,箱種類_サンボックス＃２４Ｂフタナシ,箱種類_サンボックス＃９Ｂフタナシ,箱種類_サンボックス＃９Ｆフタナシ,箱種類_サンボックス＃Ｋ１０Ｂフタナシ,箱種類_サンボックスＣ３フタナシ,箱種類_テンバコ１０フタナシ,箱種類_ＡＷ１３１フタナシ,箱種類_Ｔ２０３フタナシ,箱種類_ＴＰ１３１フタナシ,箱種類_ＴＰ３３１フタアリ,箱種類_ＴＰ３３１フタナシ,箱種類_ＴＰ３３１．５フタアリ,箱種類_ＴＰ３３１．５フタナシ,箱種類_ＴＰ３３２,箱種類_ＴＰ３３２フタアリ,箱種類_ＴＰ３３２フタナシ,箱種類_ＴＰ３４１フタナシ,箱種類_ＴＰ３４２フタアリ,箱種類_ＴＰ３４２フタナシ,箱種類_ＴＰ３６２フタナシ,箱種類_ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,箱種類_ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,仕入先名_アイコー（株）,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_ミズショー（株）,仕入先名_三共鋼業（株）,仕入先名_中庸スプリング（株）,仕入先名_五興商事（株）,仕入先名_伊藤金属工業（株）,仕入先名_住友電気工業（株）,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_多摩川精機販売（株）,仕入先名_大橋鉄工（株）,仕入先名_小川工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_新光ゴム工業（株）,仕入先名_日本精工（株）,仕入先名_矢崎総業（株）,仕入先名_石黒ゴム工業（株）,仕入先名_（株）オンド,仕入先名_（株）オーハシテクニカ,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）ムロコーポレーション,仕入先名_（株）メタルテック,仕入先名_（株）旭工業所,仕入先名_（株）杉浦製作所,仕入先名_（株）東郷製作所,仕入先名_（株）松尾製作所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,仕入先名_（株）青山製作所,仕入先名_ＮＯＫ（株）,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半
0,0,2,019128GA010    ,2023,36,41.0,87.0,85.0,1.07,1.1390974805995535,1.0,1.0,2.0,3.64,50.0,1.85,0.33999999999999986,2.76,0.23,3.51,93.0,94.54,3.2803738317757007,3.0813868521178214,1.869305457277708,0.29,0.7611437178018049,99.895,480.0,-0.16326530612244894,-0.5211459754433834,2.5769230769230766,85.0,0.8990903321345463,1.0235294117647058,0.9770114942528736,1.0941176470588236,1.0941176470588236,47.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,019128GA010    ,2023,37,40.0,88.0,82.0,1.07,1.1390974805995535,1.0,1.0,2.0,3.64,50.0,1.85,0.28,2.4400000000000004,0.2350000000000001,3.64,90.0,88.58000000000001,3.401869158878504,3.1955122910851483,1.9464189783636061,0.29,0.7894931258158899,99.44,462.0,-0.024390243902439046,0.03703703703703698,-0.032258064516129004,92.0,1.0386091668548203,0.9565217391304348,0.9318181818181818,1.0975609756097562,0.9782608695652174,44.290000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,4,019128GA010    ,2023,38,37.0,74.0,78.0,1.07,1.1390974805995535,1.0,1.0,2.0,3.64,50.0,1.85,0.29000000000000026,2.66,0.25,3.51,87.0,86.51999999999998,3.2803738317757007,3.0813868521178214,1.843305115819344,0.29,0.7485438023719766,99.905,450.0,-0.07499999999999996,-0.0357142857142857,-0.033333333333333326,84.0,0.9708737864077672,0.8809523809523809,1.054054054054054,1.1153846153846154,1.0357142857142858,43.25999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,5,019128GA010    ,2023,39,40.0,84.0,82.0,1.07,1.1390974805995535,1.0,1.0,2.0,3.64,50.0,1.85,0.3450000000000002,2.625,0.22000000000000064,3.575,92.0,89.03999999999998,3.3411214953271027,3.1384495716014853,1.9363633547107848,0.29,0.7857255147114962,99.955,464.0,0.08108108108108114,0.0185185185185186,0.057471264367816126,96.0,1.0781671159029649,0.875,0.9761904761904762,1.1219512195121952,0.9583333333333334,44.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,8,01912ECB010    ,2023,36,13.0,30.0,28.0,0.85,1.0573365231259968,1.0,1.0,2.0,3.64,300.0,1.85,0.3000000000000003,2.79,0.29000000000000004,3.52,31.0,31.513333333333332,4.1411764705882375,3.329119843125424,1.7781198252153805,0.29,0.6802559778225191,99.895,480.0,-0.0714285714285714,0.03834808259587018,2.4444444444444446,31.0,0.983710598688386,0.967741935483871,0.9333333333333332,1.1071428571428572,1.0,15.756666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,9,01912ECB010    ,2023,37,13.0,28.0,28.0,0.85,1.0573365231259968,1.0,1.0,2.0,3.64,300.0,1.85,0.2500000000000002,2.62,0.25,3.41,31.0,29.50666666666667,4.011764705882353,3.225084848027755,1.899044829144397,0.29,0.7171340962152906,99.44,462.0,0.0,-0.03125,0.0,30.0,1.016719385449616,0.9333333333333332,1.0,1.1071428571428572,1.0333333333333334,14.753333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,10,01912ECB010    ,2023,38,12.0,25.0,26.0,0.85,1.0573365231259968,1.0,1.0,2.0,3.64,300.0,1.85,0.30999999999999983,2.4399999999999995,0.2700000000000005,3.67,29.0,28.833333333333336,4.317647058823529,3.4709857455313373,1.7939007374925249,0.29,0.6798006389362693,99.905,450.0,-0.07692307692307687,0.07624633431085037,-0.06451612903225812,30.0,1.0404624277456649,0.8333333333333334,1.04,1.1153846153846154,0.9666666666666668,14.416666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,11,01912ECB010    ,2023,39,14.0,28.0,29.0,0.85,1.0573365231259968,1.0,1.0,2.0,3.64,300.0,1.85,0.3899999999999999,2.55,0.27999999999999936,3.44,31.0,29.68,4.0470588235294125,3.2534580285089367,2.0331815224463234,0.29,0.7626443080535777,99.955,464.0,0.16666666666666674,-0.06267029972752047,0.06896551724137923,31.0,1.0444743935309972,0.9032258064516128,1.0357142857142858,1.0689655172413792,1.0,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,14,01912ECB040    ,2023,36,30.5,85.0,84.0,0.25,0.3190974805995535,1.0,1.0,1.0,2.12,50.0,2.18,0.009999999999999787,2.04,0.22999999999999865,2.39,93.0,94.54,9.56,7.489874240026653,1.0340216866554923,0.0,0.3040846392899491,99.895,480.0,-0.0757575757575758,0.16019417475728126,2.4444444444444446,86.0,0.9096678654537762,0.9883720930232558,0.9882352941176472,1.1071428571428572,1.0813953488372092,94.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,15,01912ECB040    ,2023,37,26.0,92.0,81.0,0.25,0.3190974805995535,1.0,1.0,1.0,2.12,50.0,2.17,0.0,1.2800000000000002,0.2200000000000002,1.5200000000000005,91.0,88.58000000000001,6.080000000000003,4.763434663113187,0.9407691728757428,0.0,0.27674362831224986,99.44,462.0,-0.14754098360655746,-0.3640167364016736,-0.021505376344086002,93.0,1.0498983969293292,0.989247311827957,0.8804347826086957,1.1234567901234571,0.978494623655914,88.58000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
