,基準在庫日数,基準在庫枚数,納入回数（便）,遅れ（便）,収容数,不等ピッチ係数,時間稼働率,加工数,先週からの回収かんばん増加率,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,便Ave,箱種類_AW131ﾌﾀﾅｼ,箱種類_TP131ﾌﾀﾅｼ,箱種類_TP341ﾌﾀﾅｼ,箱種類_サンボックス＃２０Ｂフタナシ,箱種類_サンボックス＃２４Ａフタアリ,箱種類_サンボックス＃２４Ｂフタナシ,箱種類_サンボックス＃９Ｂフタナシ,箱種類_サンボックス＃９Ｆフタナシ,箱種類_サンボックス＃Ｋ１０Ｂフタナシ,箱種類_サンボックスＣ３フタナシ,箱種類_テンバコ１０フタナシ,箱種類_ＡＷ１３１フタナシ,箱種類_Ｔ２０３フタナシ,箱種類_ＴＰ１３１フタナシ,箱種類_ＴＰ３３１フタアリ,箱種類_ＴＰ３３１フタナシ,箱種類_ＴＰ３３１．５フタアリ,箱種類_ＴＰ３３１．５フタナシ,箱種類_ＴＰ３３２,箱種類_ＴＰ３３２フタアリ,箱種類_ＴＰ３３２フタナシ,箱種類_ＴＰ３４１フタナシ,箱種類_ＴＰ３４２フタアリ,箱種類_ＴＰ３４２フタナシ,箱種類_ＴＰ３６２フタナシ,箱種類_ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,箱種類_ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,仕入先名_アイコー（株）,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_ミズショー（株）,仕入先名_三共鋼業（株）,仕入先名_中庸スプリング（株）,仕入先名_五興商事（株）,仕入先名_伊藤金属工業（株）,仕入先名_住友電気工業（株）,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_多摩川精機販売（株）,仕入先名_大橋鉄工（株）,仕入先名_小川工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_新光ゴム工業（株）,仕入先名_日本精工（株）,仕入先名_矢崎総業（株）,仕入先名_石黒ゴム工業（株）,仕入先名_（株）オンド,仕入先名_（株）オーハシテクニカ,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）ムロコーポレーション,仕入先名_（株）メタルテック,仕入先名_（株）旭工業所,仕入先名_（株）杉浦製作所,仕入先名_（株）東郷製作所,仕入先名_（株）松尾製作所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,仕入先名_（株）青山製作所,仕入先名_ＮＯＫ（株）,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半
0,1.07,1.0,2.0,3.64,50.0,0.29,99.895,480.0,2.5769230769230766,0.8990903321345463,1.0235294117647058,0.9770114942528736,1.0941176470588236,47.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.07,1.0,2.0,3.64,50.0,0.29,99.44,462.0,-0.032258064516129004,1.0386091668548203,0.9565217391304348,0.9318181818181818,1.0975609756097562,44.290000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.07,1.0,2.0,3.64,50.0,0.29,99.905,450.0,-0.033333333333333326,0.9708737864077672,0.8809523809523809,1.054054054054054,1.1153846153846154,43.25999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1.07,1.0,2.0,3.64,50.0,0.29,99.955,464.0,0.057471264367816126,1.0781671159029649,0.875,0.9761904761904762,1.1219512195121952,44.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.85,1.0,2.0,3.64,300.0,0.29,99.895,480.0,2.4444444444444446,0.983710598688386,0.967741935483871,0.9333333333333332,1.1071428571428572,15.756666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.85,1.0,2.0,3.64,300.0,0.29,99.44,462.0,0.0,1.016719385449616,0.9333333333333332,1.0,1.1071428571428572,14.753333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0.85,1.0,2.0,3.64,300.0,0.29,99.905,450.0,-0.06451612903225812,1.0404624277456649,0.8333333333333334,1.04,1.1153846153846154,14.416666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0.85,1.0,2.0,3.64,300.0,0.29,99.955,464.0,0.06896551724137923,1.0444743935309972,0.9032258064516128,1.0357142857142858,1.0689655172413792,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0.25,1.0,1.0,2.12,50.0,0.0,99.895,480.0,2.4444444444444446,0.9096678654537762,0.9883720930232558,0.9882352941176472,1.1071428571428572,94.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0.25,1.0,1.0,2.12,50.0,0.0,99.44,462.0,-0.021505376344086,1.0498983969293292,0.989247311827957,0.8804347826086957,1.1234567901234571,88.58000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0.25,1.0,1.0,2.12,50.0,0.0,99.905,450.0,-0.04395604395604391,0.9708737864077672,0.988095238095238,0.9518072289156626,1.1012658227848102,86.51999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0.25,1.0,1.0,2.12,50.0,0.0,99.955,464.0,0.034482758620689724,1.05570530098832,1.0,0.8829787234042553,1.0843373493975903,89.03999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0.78,1.0,1.0,3.25,400.0,0.0,99.895,480.0,1.5,1.29136400322841,1.0,1.25,1.0,3.0975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0.78,1.0,1.0,3.25,400.0,0.0,99.44,462.0,0.0,1.0325245224574082,1.0,0.8,1.25,4.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0.78,1.0,1.0,3.25,400.0,0.0,99.905,450.0,0.0,1.3218770654329148,1.0,0.6,1.6666666666666667,3.7825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0.78,1.0,1.0,3.25,400.0,0.0,99.955,464.0,-0.2,1.7699115044247786,1.0,0.14285714285714285,4.0,3.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0.75,3.0,2.0,3.8,1000.0,0.12,99.895,480.0,1.6666666666666663,0.740427332346097,1.1428571428571428,1.0,1.0,4.7269999999999985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0.75,3.0,2.0,3.8,1000.0,0.12,99.44,462.0,-0.125,0.7902461052156242,1.4285714285714286,0.8,0.875,4.428999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0.75,3.0,2.0,3.8,1000.0,0.12,99.905,450.0,-0.1428571428571429,1.0150812064965198,1.1428571428571428,1.0,0.75,3.448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,0.75,3.0,2.0,3.8,1000.0,0.12,99.955,464.0,0.3333333333333333,1.2396694214876034,1.1111111111111112,0.8,1.0,3.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,0.53,3.0,6.0,5.76,200.0,0.08,99.895,480.0,6.5,0.9774436090225564,1.3076923076923077,1.0588235294117647,0.8333333333333334,2.2166666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21,0.53,3.0,6.0,5.76,200.0,0.08,99.44,462.0,-0.1333333333333333,0.9630818619582664,1.4166666666666667,1.0,0.7647058823529411,2.0766666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
