,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）
0,019120LC030    ,2023,34,10.0,0.0,0.0
1,019120LC030    ,2023,35,11.0,21.0,17.0
2,019120LC030    ,2023,36,12.0,26.0,25.0
3,019120LC030    ,2023,37,11.5,28.0,24.0
4,019120LC030    ,2023,38,11.0,27.0,25.0
5,019120LC030    ,2023,39,11.0,28.0,25.0
6,019120LC040    ,2023,34,2.0,0.0,0.0
7,019120LC040    ,2023,35,3.0,4.0,2.0
8,019120LC040    ,2023,36,3.0,3.0,4.0
9,019120LC040    ,2023,37,1.0,0.0,1.0
10,019120LC050    ,2023,34,5.0,0.0,0.0
11,019120LC050    ,2023,35,4.0,1.0,2.0
12,019120LC050    ,2023,36,5.0,3.0,2.0
13,019120LC050    ,2023,37,4.0,2.0,3.0
14,019120LC050    ,2023,38,5.0,3.0,3.0
15,019120LC050    ,2023,39,6.0,3.0,2.0
16,019120LC060    ,2023,34,8.0,0.0,0.0
17,019120LC060    ,2023,35,8.0,10.0,9.0
18,019120LC060    ,2023,36,8.0,12.0,12.0
19,019120LC060    ,2023,37,8.0,14.0,12.0
20,019120LC060    ,2023,38,9.0,13.0,13.0
21,019120LC060    ,2023,39,9.0,13.0,12.0
22,019120LC070    ,2023,34,8.0,0.0,0.0
23,019120LC070    ,2023,35,7.0,10.0,9.0
24,019120LC070    ,2023,36,8.0,12.0,12.0
25,019120LC070    ,2023,37,8.0,13.0,12.0
26,019120LC070    ,2023,38,8.0,14.0,13.0
27,019120LC070    ,2023,39,8.0,13.0,13.0
28,019128GA010    ,2023,34,49.0,0.0,0.0
29,019128GA010    ,2023,35,49.0,78.0,65.0
30,019128GA010    ,2023,36,41.0,87.0,85.0
31,019128GA010    ,2023,37,40.0,88.0,82.0
32,019128GA010    ,2023,38,37.0,74.0,78.0
33,019128GA010    ,2023,39,40.0,84.0,82.0
34,01912ECB010    ,2023,34,15.0,0.0,0.0
35,01912ECB010    ,2023,35,14.0,23.0,22.0
36,01912ECB010    ,2023,36,13.0,30.0,28.0
37,01912ECB010    ,2023,37,13.0,28.0,28.0
38,01912ECB010    ,2023,38,12.0,25.0,26.0
39,01912ECB010    ,2023,39,14.0,28.0,29.0
40,01912ECB040    ,2023,34,33.0,0.0,0.0
41,01912ECB040    ,2023,35,33.0,71.0,65.0
42,01912ECB040    ,2023,36,30.5,85.0,84.0
43,01912ECB040    ,2023,37,26.0,92.0,81.0
44,01912ECB040    ,2023,38,27.0,83.0,79.0
45,01912ECB040    ,2023,39,26.5,94.0,83.0
46,01912ECB060    ,2023,34,3.0,0.0,0.0
47,01912ECB060    ,2023,35,3.5,4.0,3.0
48,01912ECB060    ,2023,36,3.0,4.0,5.0
49,01912ECB060    ,2023,37,2.0,5.0,4.0
50,01912ECB060    ,2023,38,1.0,5.0,3.0
51,01912ECB060    ,2023,39,1.0,7.0,1.0
52,01912TFA050    ,2023,34,6.0,0.0,0.0
53,01912TFA050    ,2023,35,6.0,7.0,6.0
54,01912TFA050    ,2023,36,7.0,9.0,8.0
55,01912TFA050    ,2023,37,7.0,9.0,8.0
56,01912TFA050    ,2023,38,7.0,9.0,9.0
57,01912TFA050    ,2023,39,7.0,8.0,8.0
58,0355045013U    ,2023,34,3.0,0.0,0.0
59,0355045013U    ,2023,35,3.0,0.0,0.0
60,0355045013U    ,2023,36,1.0,1.0,0.0
61,0355045013U    ,2023,37,1.0,0.0,1.0
62,0355045013U    ,2023,38,2.0,1.0,1.0
63,0355045013U    ,2023,39,2.0,0.0,0.0
64,0355052005L    ,2023,34,3.0,0.0,0.0
65,0355052005L    ,2023,35,2.0,0.0,1.0
66,0355052005L    ,2023,36,1.0,1.0,1.0
67,0355052005L    ,2023,37,1.0,1.0,0.0
68,0355052005L    ,2023,38,2.0,1.0,1.0
69,0355052005L    ,2023,39,3.0,0.0,1.0
70,0355113017A    ,2023,34,4.0,0.0,0.0
71,0355113017A    ,2023,35,4.0,0.0,0.0
72,0355113017A    ,2023,36,1.0,0.0,0.0
73,0355141009R    ,2023,34,4.0,0.0,0.0
74,0355141009R    ,2023,35,3.0,0.0,0.0
75,0355141009R    ,2023,36,1.0,0.0,0.0
76,0355141009R    ,2023,38,1.0,0.0,1.0
77,0355141009R    ,2023,39,2.0,1.0,0.0
78,0355183043P    ,2023,34,3.0,0.0,0.0
79,0355183043P    ,2023,35,3.0,0.0,0.0
80,0355183043P    ,2023,36,1.0,0.0,0.0
81,0355183043P    ,2023,37,1.0,1.0,0.0
82,0355183043P    ,2023,38,1.0,0.0,1.0
83,0355183043P    ,2023,39,1.0,1.0,0.0
84,1040043104R    ,2023,34,5.0,0.0,0.0
85,1040043104R    ,2023,35,4.0,6.0,6.0
86,1040043104R    ,2023,36,4.0,8.0,8.0
87,1040043104R    ,2023,37,3.0,10.0,8.0
88,1040043104R    ,2023,38,4.0,8.0,8.0
89,1040043104R    ,2023,39,5.0,10.0,8.0
90,1040052001Z    ,2023,34,4.0,0.0,0.0
91,1040052001Z    ,2023,35,3.0,14.0,15.0
92,1040052001Z    ,2023,36,3.0,17.0,18.0
93,1040052001Z    ,2023,37,3.0,17.0,17.0
94,1040052001Z    ,2023,38,3.0,19.0,17.0
95,1040052001Z    ,2023,39,3.0,20.0,17.0
96,1040052103H    ,2023,34,2.0,0.0,0.0
97,1040052103H    ,2023,35,2.0,1.0,0.0
98,1040052103H    ,2023,36,3.0,2.0,1.0
99,1040052103H    ,2023,37,4.0,1.0,2.0
100,1040052103H    ,2023,38,4.0,1.0,1.0
101,1040052103H    ,2023,39,4.0,1.0,1.0
102,1040141001S    ,2023,36,1.0,0.0,0.0
103,1040141001S    ,2023,37,1.0,0.0,0.0
104,1040141001S    ,2023,38,1.0,0.0,0.0
105,1040141001S    ,2023,39,1.0,0.0,0.0
106,1040183004C    ,2023,34,4.0,0.0,0.0
107,1040183004C    ,2023,35,4.0,0.0,0.0
108,1040183004C    ,2023,36,1.0,0.0,0.0
109,1040183004C    ,2023,37,1.0,0.0,1.0
110,1040183004C    ,2023,38,1.0,0.0,0.0
111,1040183011P    ,2023,34,1.0,0.0,0.0
112,1040183011P    ,2023,35,1.0,7.0,5.0
113,1040183011P    ,2023,36,1.0,10.0,1.0
114,1040183011P    ,2023,37,1.0,11.0,0.0
115,1040183011P    ,2023,38,1.0,10.0,10.0
116,1040183011P    ,2023,39,2.0,10.0,10.0
117,1040183017V    ,2023,34,1.0,0.0,0.0
118,1040183017V    ,2023,35,1.0,2.0,2.0
119,1040183017V    ,2023,36,1.0,4.0,3.0
120,1040183017V    ,2023,37,1.0,4.0,1.0
121,1040183017V    ,2023,38,2.0,3.0,3.0
122,1040183017V    ,2023,39,2.0,3.0,3.0
123,14434010       ,2023,34,1.0,0.0,0.0
124,14434010       ,2023,35,1.0,0.0,0.0
125,1680LC030      ,2023,34,1.0,0.0,0.0
126,1680LC030      ,2023,35,1.0,0.0,0.0
127,2030044001J    ,2023,34,3.0,0.0,0.0
128,2030044001J    ,2023,35,3.0,2.0,3.0
129,2030044001J    ,2023,36,1.0,3.0,4.0
130,2030044001J    ,2023,37,1.0,4.0,3.0
131,2030044001J    ,2023,38,1.0,4.0,4.0
132,2030044001J    ,2023,39,1.0,4.0,5.0
133,2030045013L    ,2023,34,3.0,0.0,0.0
134,2030045013L    ,2023,35,2.0,4.0,4.0
135,2030045013L    ,2023,36,3.0,7.0,5.0
136,2030045013L    ,2023,37,2.0,4.0,7.0
137,2030045013L    ,2023,38,2.0,5.0,5.0
138,2030045013L    ,2023,39,2.0,6.0,4.0
139,2030052002N    ,2023,34,4.0,0.0,0.0
140,2030052002N    ,2023,35,3.0,10.0,11.0
141,2030052002N    ,2023,36,3.0,14.0,14.0
