,品番,Year,Week_Number,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）
0,019128GA010    ,2023,35,1.07,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.3499999999999999,0.9850000000000001,0.23000000000000045,3.1100000000000003,石黒ゴム工業（株）,64,0.0
1,019128GA010    ,2023,35,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.565,0.31000000000000005,6.8,0.2450000000000001,7.33,石黒ゴム工業（株）,26,17.6
2,019128GA010    ,2023,36,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.33999999999999986,2.76,0.23,3.51,石黒ゴム工業（株）,93,94.53999999999999
3,019128GA010    ,2023,37,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.28,2.4400000000000004,0.2350000000000001,3.6399999999999997,石黒ゴム工業（株）,90,88.58000000000001
4,019128GA010    ,2023,38,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.29000000000000026,2.66,0.25,3.51,石黒ゴム工業（株）,87,86.51999999999998
5,019128GA010    ,2023,39,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.3450000000000002,2.625,0.22000000000000064,3.575,石黒ゴム工業（株）,92,89.03999999999999
6,01912ECB010    ,2023,35,0.85,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.3000000000000003,4.15,0.31499999999999995,4.93,石黒ゴム工業（株）,22,0.0
7,01912ECB010    ,2023,35,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.3500000000000001,2.5700000000000003,0.3099999999999996,3.39,石黒ゴム工業（株）,9,5.866666666666666
8,01912ECB010    ,2023,36,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.3000000000000003,2.79,0.29000000000000004,3.52,石黒ゴム工業（株）,31,31.513333333333332
9,01912ECB010    ,2023,37,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.2500000000000002,2.62,0.25,3.41,石黒ゴム工業（株）,31,29.506666666666668
10,01912ECB010    ,2023,38,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.30999999999999983,2.4399999999999995,0.2700000000000005,3.67,石黒ゴム工業（株）,29,28.833333333333336
11,01912ECB010    ,2023,39,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.3899999999999999,2.55,0.27999999999999936,3.44,石黒ゴム工業（株）,31,29.68
12,01912ECB040    ,2023,35,0.25,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,2.22,-0.11000000000000032,3.0500000000000003,0.2400000000000002,3.77,愛産樹脂工業（株）,65,0.0
13,01912ECB040    ,2023,35,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,2.17,-0.049999999999999815,1.84,0.2400000000000002,2.0600000000000005,愛産樹脂工業（株）,27,17.6
14,01912ECB040    ,2023,36,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,2.18,0.009999999999999787,2.04,0.22999999999999865,2.39,愛産樹脂工業（株）,93,94.53999999999999
15,01912ECB040    ,2023,37,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,2.17,0.0,1.2800000000000002,0.2200000000000002,1.5200000000000005,愛産樹脂工業（株）,91,88.58000000000001
16,01912ECB040    ,2023,38,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,2.2300000000000004,-0.040000000000000036,1.85,0.23000000000000045,2.27,愛産樹脂工業（株）,87,86.51999999999998
17,01912ECB040    ,2023,39,0.25,0.3190974805995535,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,2.165,0.0,1.81,0.23,2.08,愛産樹脂工業（株）,90,89.03999999999999
18,01912ECB060    ,2023,35,0.78,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,12.29,-0.05000000000000071,6.469999999999999,3.5600000000000023,8.36,新光ゴム工業（株）,3,0.0
19,01912ECB060    ,2023,35,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,4.290000000000001,-0.02499999999999991,3.5549999999999997,1.83,5.359999999999999,新光ゴム工業（株）,2,0.9825
20,01912ECB060    ,2023,36,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.29,-0.05999999999999961,6.68,1.6500000000000004,7.77,新光ゴム工業（株）,5,3.0975
21,01912ECB060    ,2023,37,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.29,0.0,2.56,1.3599999999999994,5.99,新光ゴム工業（株）,5,4.8425
22,01912ECB060    ,2023,38,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.28,-0.049999999999999815,1.63,1.59,5.01,新光ゴム工業（株）,5,3.7824999999999998
23,01912ECB060    ,2023,39,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.2799999999999985,-0.030000000000000027,1.2850000000000001,1.8,3.5,新光ゴム工業（株）,4,3.955
24,1040043104R    ,2023,35,0.75,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.93,0.43499999999999983,3.2149999999999994,2.215,6.05,（株）ギフ加藤製作所,8,0.0
25,1040043104R    ,2023,35,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,3.74,0.3900000000000001,1.3600000000000003,1.2199999999999998,3.16,（株）ギフ加藤製作所,3,1.76
26,1040043104R    ,2023,36,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.915,0.41999999999999993,4.5649999999999995,1.3250000000000002,6.110000000000001,（株）ギフ加藤製作所,8,9.453999999999999
27,1040043104R    ,2023,37,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.91,0.4399999999999995,2.4300000000000006,1.4399999999999995,5.26,（株）ギフ加藤製作所,7,8.858
28,1040043104R    ,2023,38,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.815,0.43000000000000005,3.835,1.6149999999999998,6.055,（株）ギフ加藤製作所,6,6.896
29,1040043104R    ,2023,39,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,2.83,0.41000000000000014,2.525,1.4899999999999998,5.43,（株）ギフ加藤製作所,8,7.26
30,1040052001Z    ,2023,35,0.53,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.93,0.27,2.42,0.6299999999999999,4.36,（株）青山製作所,11,0.0
31,1040052001Z    ,2023,35,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.885,0.22999999999999987,1.56,0.7249999999999999,2.515,（株）青山製作所,2,2.435
32,1040052001Z    ,2023,36,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.93,0.15999999999999992,1.5200000000000002,0.5,3.45,（株）青山製作所,15,13.299999999999999
33,1040052001Z    ,2023,37,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.92,0.31000000000000005,2.02,0.79,3.74,（株）青山製作所,13,12.46
34,1040052001Z    ,2023,38,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.8999999999999999,0.17499999999999993,1.68,0.6749999999999998,3.0150000000000006,（株）青山製作所,12,12.265
35,1040052001Z    ,2023,39,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.905,0.20499999999999996,1.9899999999999998,0.7049999999999996,3.09,（株）青山製作所,10,12.43
36,1040183011P    ,2023,35,0.54,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.9149999999999999,0.23,0.64,0.9450000000000001,2.765,（株）青山製作所,8,0.0
37,1040183011P    ,2023,35,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.915,0.365,0.32999999999999996,0.7650000000000002,1.48,（株）青山製作所,4,2.358
38,1040183011P    ,2023,36,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.91,0.16000000000000003,0.2749999999999999,0.795,1.19,（株）青山製作所,12,12.401999999999997
39,1040183011P    ,2023,37,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.905,0.17499999999999993,0.19999999999999984,0.7249999999999996,1.16,（株）青山製作所,12,11.616
40,1040183011P    ,2023,38,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.8900000000000001,0.22,0.55,0.55,1.34,（株）青山製作所,11,11.238000000000001
41,1040183011P    ,2023,39,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.915,0.2250000000000001,0.6799999999999998,0.4500000000000002,1.31,（株）青山製作所,12,11.796000000000001
42,2030044001J    ,2023,35,0.54,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.7999999999999998,0.19500000000000065,6.354999999999999,0.535000000000001,6.970000000000002,ＮＯＫ（株）,4,0.0
43,2030044001J    ,2023,35,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,3.8,0.19999999999999973,2.53,0.46,3.19,ＮＯＫ（株）,1,0.9825
44,2030044001J    ,2023,36,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.53,0.29000000000000004,3.0600000000000005,0.5099999999999998,4.82,ＮＯＫ（株）,5,5.1675
45,2030044001J    ,2023,37,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.5350000000000001,0.2449999999999998,2.46,2.375,4.635,ＮＯＫ（株）,6,4.8425
46,2030044001J    ,2023,38,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.53,0.2699999999999998,0.98,0.5699999999999994,3.72,ＮＯＫ（株）,5,4.6825
47,2030044001J    ,2023,39,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.53,0.24,1.2400000000000002,0.56,2.04,ＮＯＫ（株）,5,4.915
48,2030045013L    ,2023,35,0.53,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.04,0.31000000000000005,6.3199999999999985,0.25000000000000044,6.774999999999999,伊藤金属工業（株）,4,0.0
49,2030045013L    ,2023,35,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.005,0.395,1.0050000000000001,0.11500000000000021,1.5150000000000001,伊藤金属工業（株）,2,1.1235
50,2030045013L    ,2023,36,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.04,0.3400000000000003,0.27,0.08999999999999986,0.7999999999999998,伊藤金属工業（株）,5,4.843500000000001
51,2030045013L    ,2023,37,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,4.0200000000000005,0.3799999999999999,3.78,0.9300000000000002,6.85,伊藤金属工業（株）,7,5.675
52,2030045013L    ,2023,38,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.04,0.13999999999999968,0.4899999999999998,1.1500000000000004,5.62,伊藤金属工業（株）,5,4.4245
53,2030045013L    ,2023,39,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,2.045,0.3800000000000003,4.405,1.0549999999999997,6.659999999999999,伊藤金属工業（株）,6,4.638999999999999
54,2030052002N    ,2023,35,0.5,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.18999999999999995,1.2200000000000002,0.7300000000000004,3.72,（株）杉浦製作所,11,0.0
55,2030052002N    ,2023,35,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.18999999999999995,0.98,0.7599999999999998,1.7399999999999998,（株）杉浦製作所,5,2.933333333333333
56,2030052002N    ,2023,36,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.22,1.0,0.55,1.97,（株）杉浦製作所,15,15.756666666666668
57,2030052002N    ,2023,37,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.54,0.20000000000000007,0.8900000000000001,0.79,1.81,（株）杉浦製作所,15,14.763333333333334
58,2030052002N    ,2023,38,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.51,0.18999999999999995,0.7050000000000001,0.45500000000000007,2.5300000000000002,（株）杉浦製作所,16,14.42
59,2030052002N    ,2023,39,0.5,1.5045710641012011,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,0.55,0.18999999999999995,2.03,0.46,2.63,（株）杉浦製作所,13,14.840000000000002
60,3040052001B    ,2023,35,0.52,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.93,0.28000000000000014,0.26,0.29500000000000015,1.0,（株）青山製作所,28,0.0
61,3040052001B    ,2023,35,0.52,0.8869874408742456,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.92,0.31000000000000005,0.3400000000000001,0.30000000000000004,0.9700000000000002,（株）青山製作所,13,8.013999999999998
