Week_Number,éûä‘â“ì≠ó¶,â¡çHêî
14,97.14500000000001,409.5
15,98.095,463.0
16,95.64,449.5
17,93.025,490.5
18,0.0,0.0
19,79.92500000000001,350.0
20,94.195,506.5
21,91.33500000000001,496.0
22,90.475,506.5
23,96.14500000000001,510.5
24,94.875,486.0
25,95.47,510.0
26,97.775,491.5
27,99.555,514.5
28,99.58500000000001,506.0
29,99.89500000000001,478.0
30,99.75,491.0
31,99.92,484.0
32,99.52000000000001,475.5
33,0.0,0.0
34,99.125,466.5
35,99.88499999999999,475.0
36,99.89500000000001,480.0
37,99.44,462.0
38,99.905,450.0
39,99.955,464.0
40,99.92,456.5
41,99.63,430.5
42,98.195,434.0
43,99.89500000000001,436.5
44,99.88499999999999,468.0
45,100.0,454.0
46,96.38499999999999,364.0
