,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX
0,019128GA010    ,2023,35,49.0,78.0,65.0,1.07,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.3499999999999999,0.9850000000000001,0.23000000000000045,3.1100000000000003,石黒ゴム工業（株）,64,0.0,2.9065420560747666,2.9065420560747666,inf,0.29,0.0
1,019128GA010    ,2023,35,49.0,78.0,65.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.565,0.31000000000000005,6.8,0.2450000000000001,7.33,石黒ゴム工業（株）,26,17.6,6.850467289719626,6.434918981773116,12.000391849529779,0.29,2.260106751763472
2,019128GA010    ,2023,36,41.0,87.0,85.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.33999999999999986,2.76,0.23,3.51,石黒ゴム工業（株）,93,94.53999999999999,3.2803738317757007,3.081386852117822,1.8693054572777075,0.29,0.7611437178018049
3,019128GA010    ,2023,37,40.0,88.0,82.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.28,2.4400000000000004,0.2350000000000001,3.6399999999999997,石黒ゴム工業（株）,90,88.58000000000001,3.401869158878504,3.1955122910851483,1.9464189783636061,0.29,0.7894931258158899
4,019128GA010    ,2023,38,37.0,74.0,78.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.29000000000000026,2.66,0.25,3.51,石黒ゴム工業（株）,87,86.51999999999998,3.2803738317757007,3.081386852117822,1.843305115819344,0.29,0.7485438023719766
5,019128GA010    ,2023,39,40.0,84.0,82.0,1.07,1.1390974805995535,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.85,0.3450000000000002,2.625,0.22000000000000064,3.575,石黒ゴム工業（株）,92,89.03999999999999,3.3411214953271027,3.1384495716014853,1.9363633547107848,0.29,0.7857255147114962
6,01912ECB010    ,2023,35,14.0,23.0,22.0,0.85,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.3000000000000003,4.15,0.31499999999999995,4.93,石黒ゴム工業（株）,22,0.0,5.8,5.8,inf,0.29,0.0
7,01912ECB010    ,2023,35,14.0,23.0,22.0,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.3500000000000001,2.5700000000000003,0.3099999999999996,3.39,石黒ゴム工業（株）,9,5.866666666666666,3.988235294117647,3.2061693943736334,10.28605015673981,0.29,1.0360610810514035
8,01912ECB010    ,2023,36,13.0,30.0,28.0,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.3000000000000003,2.79,0.29000000000000004,3.52,石黒ゴム工業（株）,31,31.513333333333332,4.141176470588236,3.329119843125424,1.7781198252153803,0.29,0.680255977822519
9,01912ECB010    ,2023,37,13.0,28.0,28.0,0.85,1.0573365231259968,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.85,0.2500000000000002,2.62,0.25,3.41,石黒ゴム工業（株）,31,29.506666666666668,4.011764705882353,3.225084848027755,1.899044829144397,0.29,0.7171340962152906
