KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
NH11,AS2650,A,M01,2023/11/18 0:00,1,750,0,< NULL >,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,M01,M01,2023/11/17 8:01,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH12,AS2610,A,M01,2023/11/18 0:00,2,690,0,< NULL >,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,M01,M01,2023/11/17 8:02,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2610,A,M01,2023/11/18 0:00,1,750,0,< NULL >,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,M01,M01,2023/11/17 8:01,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH12,AS2650,A,M01,2023/11/18 0:00,2,690,0,< NULL >,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,M01,M01,2023/11/17 8:02,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2650,A,M01,2023/11/17 0:00,1,750,0,2023/11/17 8:30,2023/11/17 17:15,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,38362,M01,2023/11/17 8:01,38362,2023/11/17 9:50,23L2U10296,< NULL >,38362,< NULL >,IN000
NH12,AS2610,A,M01,2023/11/17 0:00,2,690,0,2023/11/17 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/11/17 8:02,SYS_TT,2023/11/17 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2610,A,M01,2023/11/17 0:00,1,750,0,2023/11/17 8:30,2023/11/17 17:15,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,29700,M01,2023/11/17 8:01,29700,2023/11/17 11:04,23L2Y10238,< NULL >,29700,< NULL >,IN000
NH12,AS2650,A,M01,2023/11/17 0:00,2,690,0,2023/11/17 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/11/17 8:02,SYS_TT,2023/11/17 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2650,A,M01,2023/11/16 0:00,1,750,429,2023/11/16 8:30,2023/11/16 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23L2U09847,100,98.6,98.6,< NULL >,0,464,98.6,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/11/16 8:02,22027,2023/11/16 19:51,23L2Y09382,22027,40377,< NULL >,IN000
NH11,AS2610,A,M01,2023/11/16 0:00,1,750,429,2023/11/16 8:30,2023/11/16 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23L2Y09787,97.83,100.79,98.6,< NULL >,0,464,98.6,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,29700,M01,2023/11/16 8:01,29700,2023/11/16 20:01,23L2Y09324,22027,29700,< NULL >,IN000
