,仕入先名,発送場所名,受入,1便_早着,1便_定刻,1便_遅着,2便_早着,2便_定刻,2便_遅着,3便_早着,3便_定刻,3便_遅着,4便_早着,4便_定刻,4便_遅着,5便_早着,5便_定刻,5便_遅着,6便_早着,6便_定刻,6便_遅着,7便_早着,7便_定刻,7便_遅着,8便_早着,8便_定刻,8便_遅着,9便_早着,9便_定刻,9便_遅着,10便_早着,10便_定刻,10便_遅着,11便_早着,11便_定刻,11便_遅着,12便_早着,12便_定刻,12便_遅着
0,アイシン精機（株）,半田工場,1Y,08:30:00,10:30:00,12:30:00,12:40:00,14:40:00,16:40:00,19:00:00,21:00:00,23:00:00,00:10:00,02:10:00,04:10:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
2,（株）青山製作所,< NULL >,1Y,05:00:00,07:00:00,09:00:00,09:20:00,11:20:00,13:20:00,12:55:00,14:55:00,16:55:00,17:40:00,19:40:00,21:40:00,21:00:00,23:00:00,01:00:00,01:00:00,03:00:00,05:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
4,（株）浅賀井製作所,安城工場,1Y,07:50:00,09:50:00,11:50:00,13:10:00,15:10:00,17:10:00,19:30:00,21:30:00,23:30:00,00:30:00,02:30:00,04:30:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
6,（株）旭工業所,本社工場,1Y,14:40:00,16:40:00,18:40:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
8,愛産樹脂工業（株）,本社工場,1Y,13:00:00,15:00:00,17:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
10,石黒ゴム工業（株）,< NULL >,1Y,06:45:00,08:45:00,10:45:00,12:00:00,14:00:00,16:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
12,伊藤金属工業（株）,< NULL >,1Y,11:00:00,13:00:00,15:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
14,（株）オーハシテクニカ,< NULL >,1Y,13:20:00,15:20:00,17:20:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
16,大橋鉄工（株）,< NULL >,1Y,14:20:00,16:20:00,18:20:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
18,岡谷鋼機（株）,刈谷支店,1Y,19:50:00,21:50:00,23:50:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
