,JIKANWARI_KBN,KUMI_CD,LINE_DATE,LINE_DATE_修正済,PLAN_PRODUCT_CNT,PRODUCT_CNT,TYOKU_KBN(1),時間割区分_開始時刻,生産台数_加重平均済,計画生産台数_加重平均済,調整日時,計画達成率_加重平均済,日時
0,1,NH11,2023-10-01,2023-10-01,118.0,0.0,1,8:30,0.0,59.0,08:00:00,0.0,2023-10-01 08:00:00
4,2,NH11,2023-10-01,2023-10-01,128.0,0.0,1,9:30,0.0,123.0,09:00:00,0.0,2023-10-01 09:00:00
8,3,NH11,2023-10-01,2023-10-01,106.0,0.0,1,10:30,0.0,117.0,10:00:00,0.0,2023-10-01 10:00:00
12,4,NH11,2023-10-01,2023-10-01,128.0,0.0,1,11:30,0.0,117.0,11:00:00,0.0,2023-10-01 11:00:00
16,5,NH11,2023-10-01,2023-10-01,0.0,0.0,1,12:30,0.0,64.0,12:00:00,0.0,2023-10-01 12:00:00
20,6,NH11,2023-10-01,2023-10-01,32.0,0.0,1,13:25,0.0,16.0,13:00:00,0.0,2023-10-01 13:00:00
24,7,NH11,2023-10-01,2023-10-01,128.0,0.0,1,14:20,0.0,96.0,14:00:00,0.0,2023-10-01 14:00:00
28,8,NH11,2023-10-01,2023-10-01,106.0,0.0,1,15:20,0.0,113.33333333333331,15:00:00,0.0,2023-10-01 15:00:00
32,9,NH11,2023-10-01,2023-10-01,116.0,0.0,1,16:20,0.0,112.66666666666666,16:00:00,0.0,2023-10-01 16:00:00
36,10,NH11,2023-10-01,2023-10-01,0.0,0.0,1,17:20,0.0,38.666666666666664,17:00:00,0.0,2023-10-01 17:00:00
40,11,NH11,2023-10-01,2023-10-01,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-10-01 18:00:00
44,12,NH11,2023-10-01,2023-10-01,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-10-01 19:00:00
48,13,NH11,2023-10-01,2023-10-01,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-10-01 20:00:00
3,1,NH12,2023-10-01,2023-10-01,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-10-01 21:00:00
7,2,NH12,2023-10-01,2023-10-01,118.0,0.0,2,22:00,0.0,118.0,22:00:00,0.0,2023-10-01 22:00:00
11,3,NH12,2023-10-01,2023-10-01,128.0,0.0,2,23:00,0.0,128.0,23:00:00,0.0,2023-10-01 23:00:00
15,4,NH12,2023-10-01,2023-10-02,106.0,0.0,2,0:00,0.0,106.0,00:00:00,0.0,2023-10-02 00:00:00
19,5,NH12,2023-10-01,2023-10-02,128.0,0.0,2,1:00,0.0,128.0,01:00:00,0.0,2023-10-02 01:00:00
23,6,NH12,2023-10-01,2023-10-02,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-10-02 02:00:00
27,7,NH12,2023-10-01,2023-10-02,54.0,0.0,2,3:00,0.0,54.0,03:00:00,0.0,2023-10-02 03:00:00
31,8,NH12,2023-10-01,2023-10-02,128.0,0.0,2,4:00,0.0,128.0,04:00:00,0.0,2023-10-02 04:00:00
35,9,NH12,2023-10-01,2023-10-02,106.0,0.0,2,5:00,0.0,106.0,05:00:00,0.0,2023-10-02 05:00:00
39,10,NH12,2023-10-01,2023-10-02,94.0,0.0,2,6:00,0.0,94.0,06:00:00,0.0,2023-10-02 06:00:00
43,11,NH12,2023-10-01,2023-10-02,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-10-02 07:00:00
52,1,NH11,2023-10-02,2023-10-02,120.0,110.0,1,8:30,55.0,60.0,08:00:00,0.9166666666666666,2023-10-02 08:00:00
56,2,NH11,2023-10-02,2023-10-02,130.0,130.0,1,9:30,120.0,125.0,09:00:00,0.96,2023-10-02 09:00:00
60,3,NH11,2023-10-02,2023-10-02,108.0,108.0,1,10:30,119.0,119.0,10:00:00,1.0,2023-10-02 10:00:00
64,4,NH11,2023-10-02,2023-10-02,130.0,130.0,1,11:30,119.0,119.0,11:00:00,1.0,2023-10-02 11:00:00
68,5,NH11,2023-10-02,2023-10-02,0.0,1.0,1,12:30,65.5,65.0,12:00:00,1.0076923076923077,2023-10-02 12:00:00
72,6,NH11,2023-10-02,2023-10-02,98.0,95.0,1,13:25,48.0,49.0,13:00:00,0.9795918367346939,2023-10-02 13:00:00
76,7,NH11,2023-10-02,2023-10-02,130.0,98.0,1,14:20,97.0,119.33333333333331,14:00:00,0.8128491620111733,2023-10-02 14:00:00
80,8,NH11,2023-10-02,2023-10-02,106.0,106.0,1,15:20,103.33333333333331,113.99999999999999,15:00:00,0.9064327485380116,2023-10-02 15:00:00
84,9,NH11,2023-10-02,2023-10-02,120.0,122.0,1,16:20,116.66666666666666,115.33333333333333,16:00:00,1.0115606936416184,2023-10-02 16:00:00
88,10,NH11,2023-10-02,2023-10-02,0.0,0.0,1,17:20,40.666666666666664,40.0,17:00:00,1.0166666666666666,2023-10-02 17:00:00
92,11,NH11,2023-10-02,2023-10-02,0.0,1.0,1,18:30,0.5,0.0,18:00:00,inf,2023-10-02 18:00:00
96,12,NH11,2023-10-02,2023-10-02,0.0,0.0,1,19:30,0.5,0.0,19:00:00,inf,2023-10-02 19:00:00
100,13,NH11,2023-10-02,2023-10-02,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-10-02 20:00:00
55,1,NH12,2023-10-02,2023-10-02,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-10-02 21:00:00
59,2,NH12,2023-10-02,2023-10-02,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-10-02 22:00:00
63,3,NH12,2023-10-02,2023-10-02,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-10-02 23:00:00
67,4,NH12,2023-10-02,2023-10-03,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-10-03 00:00:00
71,5,NH12,2023-10-02,2023-10-03,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-10-03 01:00:00
75,6,NH12,2023-10-02,2023-10-03,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-10-03 02:00:00
79,7,NH12,2023-10-02,2023-10-03,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-10-03 03:00:00
83,8,NH12,2023-10-02,2023-10-03,130.0,130.0,2,4:00,130.0,130.0,04:00:00,1.0,2023-10-03 04:00:00
87,9,NH12,2023-10-02,2023-10-03,106.0,106.0,2,5:00,106.0,106.0,05:00:00,1.0,2023-10-03 05:00:00
91,10,NH12,2023-10-02,2023-10-03,98.0,98.0,2,6:00,98.0,98.0,06:00:00,1.0,2023-10-03 06:00:00
95,11,NH12,2023-10-02,2023-10-03,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-10-03 07:00:00
104,1,NH11,2023-10-03,2023-10-03,120.0,120.0,1,8:30,60.0,60.0,08:00:00,1.0,2023-10-03 08:00:00
108,2,NH11,2023-10-03,2023-10-03,130.0,130.0,1,9:30,125.0,125.0,09:00:00,1.0,2023-10-03 09:00:00
112,3,NH11,2023-10-03,2023-10-03,108.0,108.0,1,10:30,119.0,119.0,10:00:00,1.0,2023-10-03 10:00:00
116,4,NH11,2023-10-03,2023-10-03,130.0,130.0,1,11:30,119.0,119.0,11:00:00,1.0,2023-10-03 11:00:00
120,5,NH11,2023-10-03,2023-10-03,0.0,0.0,1,12:30,65.0,65.0,12:00:00,1.0,2023-10-03 12:00:00
124,6,NH11,2023-10-03,2023-10-03,98.0,96.0,1,13:25,48.0,49.0,13:00:00,0.9795918367346939,2023-10-03 13:00:00
128,7,NH11,2023-10-03,2023-10-03,130.0,123.0,1,14:20,114.0,119.33333333333331,14:00:00,0.9553072625698326,2023-10-03 14:00:00
132,8,NH11,2023-10-03,2023-10-03,106.0,105.0,1,15:20,111.0,113.99999999999999,15:00:00,0.9736842105263159,2023-10-03 15:00:00
136,9,NH11,2023-10-03,2023-10-03,120.0,120.0,1,16:20,115.0,115.33333333333333,16:00:00,0.9971098265895955,2023-10-03 16:00:00
140,10,NH11,2023-10-03,2023-10-03,0.0,0.0,1,17:20,40.0,40.0,17:00:00,1.0,2023-10-03 17:00:00
144,11,NH11,2023-10-03,2023-10-03,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-10-03 18:00:00
148,12,NH11,2023-10-03,2023-10-03,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-10-03 19:00:00
152,13,NH11,2023-10-03,2023-10-03,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-10-03 20:00:00
107,1,NH12,2023-10-03,2023-10-03,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-10-03 21:00:00
111,2,NH12,2023-10-03,2023-10-03,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-10-03 22:00:00
115,3,NH12,2023-10-03,2023-10-03,130.0,120.0,2,23:00,120.0,130.0,23:00:00,0.9230769230769231,2023-10-03 23:00:00
119,4,NH12,2023-10-03,2023-10-04,108.0,86.0,2,0:00,86.0,108.0,00:00:00,0.7962962962962963,2023-10-04 00:00:00
123,5,NH12,2023-10-03,2023-10-04,128.0,126.0,2,1:00,126.0,128.0,01:00:00,0.984375,2023-10-04 01:00:00
127,6,NH12,2023-10-03,2023-10-04,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-10-04 02:00:00
131,7,NH12,2023-10-03,2023-10-04,122.0,118.0,2,3:00,118.0,122.0,03:00:00,0.9672131147540983,2023-10-04 03:00:00
135,8,NH12,2023-10-03,2023-10-04,130.0,0.0,2,4:00,0.0,130.0,04:00:00,0.0,2023-10-04 04:00:00
139,9,NH12,2023-10-03,2023-10-04,106.0,0.0,2,5:00,0.0,106.0,05:00:00,0.0,2023-10-04 05:00:00
143,10,NH12,2023-10-03,2023-10-04,98.0,0.0,2,6:00,0.0,98.0,06:00:00,0.0,2023-10-04 06:00:00
147,11,NH12,2023-10-03,2023-10-04,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-10-04 07:00:00
156,1,NH11,2023-10-04,2023-10-04,120.0,120.0,1,8:30,60.0,60.0,08:00:00,1.0,2023-10-04 08:00:00
160,2,NH11,2023-10-04,2023-10-04,130.0,130.0,1,9:30,125.0,125.0,09:00:00,1.0,2023-10-04 09:00:00
164,3,NH11,2023-10-04,2023-10-04,108.0,108.0,1,10:30,119.0,119.0,10:00:00,1.0,2023-10-04 10:00:00
168,4,NH11,2023-10-04,2023-10-04,130.0,130.0,1,11:30,119.0,119.0,11:00:00,1.0,2023-10-04 11:00:00
172,5,NH11,2023-10-04,2023-10-04,0.0,0.0,1,12:30,65.0,65.0,12:00:00,1.0,2023-10-04 12:00:00
176,6,NH11,2023-10-04,2023-10-04,0.0,0.0,1,13:25,0.0,0.0,13:00:00,,2023-10-04 13:00:00
180,7,NH11,2023-10-04,2023-10-04,96.0,96.0,1,14:20,64.0,64.0,14:00:00,1.0,2023-10-04 14:00:00
184,8,NH11,2023-10-04,2023-10-04,108.0,108.0,1,15:20,104.0,104.0,15:00:00,1.0,2023-10-04 15:00:00
188,9,NH11,2023-10-04,2023-10-04,118.0,118.0,1,16:20,114.66666666666666,114.66666666666666,16:00:00,1.0,2023-10-04 16:00:00
192,10,NH11,2023-10-04,2023-10-04,0.0,0.0,1,17:20,39.33333333333333,39.33333333333333,17:00:00,1.0,2023-10-04 17:00:00
196,11,NH11,2023-10-04,2023-10-04,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-10-04 18:00:00
200,12,NH11,2023-10-04,2023-10-04,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-10-04 19:00:00
204,13,NH11,2023-10-04,2023-10-04,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-10-04 20:00:00
159,1,NH12,2023-10-04,2023-10-04,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-10-04 21:00:00
163,2,NH12,2023-10-04,2023-10-04,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-10-04 22:00:00
167,3,NH12,2023-10-04,2023-10-04,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-10-04 23:00:00
171,4,NH12,2023-10-04,2023-10-05,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-10-05 00:00:00
175,5,NH12,2023-10-04,2023-10-05,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-10-05 01:00:00
179,6,NH12,2023-10-04,2023-10-05,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-10-05 02:00:00
183,7,NH12,2023-10-04,2023-10-05,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-10-05 03:00:00
187,8,NH12,2023-10-04,2023-10-05,130.0,130.0,2,4:00,130.0,130.0,04:00:00,1.0,2023-10-05 04:00:00
191,9,NH12,2023-10-04,2023-10-05,106.0,106.0,2,5:00,106.0,106.0,05:00:00,1.0,2023-10-05 05:00:00
195,10,NH12,2023-10-04,2023-10-05,98.0,98.0,2,6:00,98.0,98.0,06:00:00,1.0,2023-10-05 06:00:00
199,11,NH12,2023-10-04,2023-10-05,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-10-05 07:00:00
208,1,NH11,2023-10-05,2023-10-05,120.0,118.0,1,8:30,59.0,60.0,08:00:00,0.9833333333333333,2023-10-05 08:00:00
212,2,NH11,2023-10-05,2023-10-05,130.0,130.0,1,9:30,124.0,125.0,09:00:00,0.992,2023-10-05 09:00:00
216,3,NH11,2023-10-05,2023-10-05,108.0,104.0,1,10:30,117.0,119.0,10:00:00,0.9831932773109243,2023-10-05 10:00:00
220,4,NH11,2023-10-05,2023-10-05,130.0,130.0,1,11:30,117.0,119.0,11:00:00,0.9831932773109243,2023-10-05 11:00:00
224,5,NH11,2023-10-05,2023-10-05,0.0,0.0,1,12:30,65.0,65.0,12:00:00,1.0,2023-10-05 12:00:00
228,6,NH11,2023-10-05,2023-10-05,98.0,93.0,1,13:25,46.5,49.0,13:00:00,0.9489795918367347,2023-10-05 13:00:00
232,7,NH11,2023-10-05,2023-10-05,130.0,126.0,1,14:20,115.0,119.33333333333331,14:00:00,0.963687150837989,2023-10-05 14:00:00
236,8,NH11,2023-10-05,2023-10-05,106.0,106.0,1,15:20,112.66666666666666,113.99999999999999,15:00:00,0.9883040935672515,2023-10-05 15:00:00
240,9,NH11,2023-10-05,2023-10-05,120.0,119.0,1,16:20,114.66666666666666,115.33333333333333,16:00:00,0.9942196531791907,2023-10-05 16:00:00
244,10,NH11,2023-10-05,2023-10-05,0.0,0.0,1,17:20,39.666666666666664,40.0,17:00:00,0.9916666666666666,2023-10-05 17:00:00
248,11,NH11,2023-10-05,2023-10-05,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-10-05 18:00:00
252,12,NH11,2023-10-05,2023-10-05,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-10-05 19:00:00
256,13,NH11,2023-10-05,2023-10-05,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-10-05 20:00:00
211,1,NH12,2023-10-05,2023-10-05,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-10-05 21:00:00
215,2,NH12,2023-10-05,2023-10-05,120.0,118.0,2,22:00,118.0,120.0,22:00:00,0.9833333333333333,2023-10-05 22:00:00
219,3,NH12,2023-10-05,2023-10-05,130.0,128.0,2,23:00,128.0,130.0,23:00:00,0.9846153846153847,2023-10-05 23:00:00
223,4,NH12,2023-10-05,2023-10-06,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-10-06 00:00:00
227,5,NH12,2023-10-05,2023-10-06,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-10-06 01:00:00
231,6,NH12,2023-10-05,2023-10-06,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-10-06 02:00:00
235,7,NH12,2023-10-05,2023-10-06,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-10-06 03:00:00
239,8,NH12,2023-10-05,2023-10-06,130.0,128.0,2,4:00,128.0,130.0,04:00:00,0.9846153846153847,2023-10-06 04:00:00
243,9,NH12,2023-10-05,2023-10-06,106.0,106.0,2,5:00,106.0,106.0,05:00:00,1.0,2023-10-06 05:00:00
247,10,NH12,2023-10-05,2023-10-06,98.0,98.0,2,6:00,98.0,98.0,06:00:00,1.0,2023-10-06 06:00:00
251,11,NH12,2023-10-05,2023-10-06,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-10-06 07:00:00
260,1,NH11,2023-10-06,2023-10-06,120.0,110.0,1,8:30,55.0,60.0,08:00:00,0.9166666666666666,2023-10-06 08:00:00
264,2,NH11,2023-10-06,2023-10-06,130.0,130.0,1,9:30,120.0,125.0,09:00:00,0.96,2023-10-06 09:00:00
268,3,NH11,2023-10-06,2023-10-06,108.0,90.0,1,10:30,110.0,119.0,10:00:00,0.9243697478991597,2023-10-06 10:00:00
272,4,NH11,2023-10-06,2023-10-06,130.0,92.0,1,11:30,91.0,119.0,11:00:00,0.7647058823529411,2023-10-06 11:00:00
276,5,NH11,2023-10-06,2023-10-06,0.0,0.0,1,12:30,46.0,65.0,12:00:00,0.7076923076923077,2023-10-06 12:00:00
280,6,NH11,2023-10-06,2023-10-06,98.0,98.0,1,13:25,49.0,49.0,13:00:00,1.0,2023-10-06 13:00:00
284,7,NH11,2023-10-06,2023-10-06,130.0,130.0,1,14:20,119.33333333333331,119.33333333333331,14:00:00,1.0,2023-10-06 14:00:00
288,8,NH11,2023-10-06,2023-10-06,106.0,104.0,1,15:20,112.66666666666666,113.99999999999999,15:00:00,0.9883040935672515,2023-10-06 15:00:00
292,9,NH11,2023-10-06,2023-10-06,120.0,110.0,1,16:20,108.0,115.33333333333333,16:00:00,0.9364161849710984,2023-10-06 16:00:00
296,10,NH11,2023-10-06,2023-10-06,0.0,0.0,1,17:20,36.666666666666664,40.0,17:00:00,0.9166666666666666,2023-10-06 17:00:00
300,11,NH11,2023-10-06,2023-10-06,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-10-06 18:00:00
304,12,NH11,2023-10-06,2023-10-06,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-10-06 19:00:00
308,13,NH11,2023-10-06,2023-10-06,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-10-06 20:00:00
263,1,NH12,2023-10-06,2023-10-06,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-10-06 21:00:00
267,2,NH12,2023-10-06,2023-10-06,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-10-06 22:00:00
271,3,NH12,2023-10-06,2023-10-06,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-10-06 23:00:00
275,4,NH12,2023-10-06,2023-10-07,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-10-07 00:00:00
279,5,NH12,2023-10-06,2023-10-07,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-10-07 01:00:00
283,6,NH12,2023-10-06,2023-10-07,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-10-07 02:00:00
287,7,NH12,2023-10-06,2023-10-07,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-10-07 03:00:00
291,8,NH12,2023-10-06,2023-10-07,130.0,129.0,2,4:00,129.0,130.0,04:00:00,0.9923076923076923,2023-10-07 04:00:00
295,9,NH12,2023-10-06,2023-10-07,84.0,85.0,2,5:00,85.0,84.0,05:00:00,1.0119047619047619,2023-10-07 05:00:00
299,10,NH12,2023-10-06,2023-10-07,0.0,0.0,2,6:00,0.0,0.0,06:00:00,,2023-10-07 06:00:00
303,11,NH12,2023-10-06,2023-10-07,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-10-07 07:00:00
312,1,NH11,2023-10-07,2023-10-07,120.0,0.0,1,8:30,0.0,60.0,08:00:00,0.0,2023-10-07 08:00:00
