"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/08/27 00:00:00","019120LC030    ","30113","10","0","0"
"2023/08/27 00:00:00","019120LC040    ","10114","2","0","0"
"2023/08/27 00:00:00","019120LC050    ","20115","5","0","0"
"2023/08/27 00:00:00","019120LC060    ","30116","8","0","0"
"2023/08/27 00:00:00","019120LC070    ","20117","8","0","0"
"2023/08/27 00:00:00","019128GA010    ","50460","49","0","0"
"2023/08/27 00:00:00","01912ECB010    ","30464","15","0","0"
"2023/08/27 00:00:00","01912ECB040    ","50491","33","0","0"
"2023/08/27 00:00:00","01912ECB060    ","20459","3","0","0"
"2023/08/27 00:00:00","01912TFA050    ","10118","6","0","0"
"2023/08/27 00:00:00","0355045013U    ","10111","3","0","0"
"2023/08/27 00:00:00","0355052005L    ","20015","3","0","0"
"2023/08/27 00:00:00","0355113017A    ","10001","4","0","0"
"2023/08/27 00:00:00","0355141009R    ","10014","4","0","0"
"2023/08/27 00:00:00","0355183043P    ","20106","4","0","0"
"2023/08/27 00:00:00","1040043104R    ","10127","5","0","0"
"2023/08/27 00:00:00","1040052001Z    ","10017","3","0","0"
"2023/08/27 00:00:00","1040052001Z    ","10373","5","0","0"
"2023/08/27 00:00:00","1040052103H    ","20112","2","0","0"
"2023/08/27 00:00:00","1040183004C    ","20086","4","0","0"
"2023/08/27 00:00:00","1040183011P    ","20369","1","0","0"
"2023/08/27 00:00:00","1040183017V    ","20088","1","0","0"
"2023/08/27 00:00:00","14434010       ","019  ","1","0","0"
"2023/08/27 00:00:00","1680LC030      ","108  ","1","0","0"
"2023/08/27 00:00:00","2030044001J    ","10412","3","0","0"
"2023/08/27 00:00:00","2030045013L    ","20442","3","0","0"
"2023/08/27 00:00:00","2030052002N    ","20363","4","0","0"
"2023/08/27 00:00:00","2030113004A    ","10099","4","0","0"
"2023/08/27 00:00:00","2030183013A    ","10087","2","0","0"
"2023/08/27 00:00:00","3040040039Y    ","10098","2","0","0"
"2023/08/27 00:00:00","3040052001B    ","20379","4","0","0"
"2023/08/27 00:00:00","3040052001B    ","20506","1","0","0"
"2023/08/27 00:00:00","321110LC010    ","40081","49","0","0"
"2023/08/27 00:00:00","333560LC020    ","30043","4","0","0"
"2023/08/27 00:00:00","33490ECB010    ","30439","68","0","0"
"2023/08/27 00:00:00","33490ECE010    ","30440","109","0","0"
"2023/08/27 00:00:00","34989ECB010    ","10394","4","0","0"
"2023/08/27 00:00:00","34989ECB020    ","10397","8","0","0"
"2023/08/27 00:00:00","34989ECB030    ","10398","6","0","0"
"2023/08/27 00:00:00","34989ECC010    ","10399","4","0","0"
"2023/08/27 00:00:00","34989ECE010    ","10395","4","0","0"
"2023/08/27 00:00:00","34989ECE020    ","10396","4","0","0"
"2023/08/27 00:00:00","34989ECE030    ","10505","1","0","0"
"2023/08/27 00:00:00","350610LC010    ","40030","111","0","0"
"2023/08/27 00:00:00","350710LC010    ","30069","36","0","0"
"2023/08/27 00:00:00","35080ECB010    ","30476","","",""
"2023/08/27 00:00:00","35080ECE010    ","30472","","",""
"2023/08/27 00:00:00","35080ECE020    ","30473","","",""
"2023/08/27 00:00:00","351060LC040    ","50107","5","0","0"
"2023/08/27 00:00:00","351190LC010    ","50079","6","0","0"
"2023/08/27 00:00:00","35145ECB010    ","10447","5","0","0"
"2023/08/27 00:00:00","35145ECE010    ","10449","7","0","0"
"2023/08/27 00:00:00","35145ECE020    ","10494","7","0","0"
"2023/08/27 00:00:00","35165ECE010    ","10492","7","0","0"
"2023/08/27 00:00:00","351680LC030    ","50108","12","0","0"
"2023/08/27 00:00:00","351710LC010    ","30072","54","0","0"
"2023/08/27 00:00:00","351720LC010    ","10080","8","0","0"
"2023/08/27 00:00:00","35174ECB010    ","30391","22","0","0"
"2023/08/27 00:00:00","35174ECE010    ","30392","21","0","0"
"2023/08/27 00:00:00","35174ECE020    ","20393","10","0","0"
"2023/08/27 00:00:00","3519510A010    ","10479","4","0","0"
"2023/08/27 00:00:00","35195ECE010    ","10450","8","0","0"
"2023/08/27 00:00:00","35195TFG010    ","10448","6","0","0"
"2023/08/27 00:00:00","351980LC020    ","20010","6","0","0"
"2023/08/27 00:00:00","351980LC030    ","20011","13","0","0"
"2023/08/27 00:00:00","351980LC040    ","20012","6","0","0"
"2023/08/27 00:00:00","351988LA010    ","20508","6","0","0"
"2023/08/27 00:00:00","35198ECE010    ","20434","6","0","0"
"2023/08/27 00:00:00","352400LC020    ","40105","4","0","0"
"2023/08/27 00:00:00","352450LC010    ","10097","4","0","0"
"2023/08/27 00:00:00","35246TFG010    ","10093","4","0","0"
"2023/08/27 00:00:00","35275TBG010    ","10101","4","0","0"
"2023/08/27 00:00:00","352800LA010    ","40091","11","0","0"
"2023/08/27 00:00:00","35300ECB010    ","40428","127","0","0"
"2023/08/27 00:00:00","35312ECB010    ","20359","10","0","0"
"2023/08/27 00:00:00","35352ECB010    ","20444","3","0","0"
"2023/08/27 00:00:00","3539450A010    ","20109","3","0","0"
"2023/08/27 00:00:00","3539450A010    ","20441","3","0","0"
"2023/08/27 00:00:00","35409ECB010    ","10437","6","0","0"
"2023/08/27 00:00:00","354110LC030    ","30096","42","0","0"
"2023/08/27 00:00:00","35419TRA010    ","10089","5","0","0"
"2023/08/27 00:00:00","354210LC040    ","10094","4","0","0"
"2023/08/27 00:00:00","354260LC010    ","30036","34","0","0"
"2023/08/27 00:00:00","354320LC040    ","10104","8","0","0"
"2023/08/27 00:00:00","35441ECB010    ","20141","33","0","0"
"2023/08/27 00:00:00","35441TFA010    ","20140","8","0","0"
"2023/08/27 00:00:00","354710LC010    ","30103","11","0","0"
"2023/08/27 00:00:00","354820LC010    ","10085","5","0","0"
"2023/08/27 00:00:00","3548255A010    ","10433","7","0","0"
"2023/08/27 00:00:00","35482TFA010    ","10429","3","0","0"
