,品番,年月日,年,月,週番号,日,曜日_番号,曜日_名前,手配）品名,手配）仕入先名,手配）手配区分,手配）仕入先発送場所名,手配）受入場所,手配）受入場所名,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量計算数,日量数（箱数）,日量計算数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,仕入先名,実績納入回数,在庫数（箱）_1日の平均値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,時間稼働率,加工数,発送場所名,不等ピッチ係数【日】,使用工程,週最大日量数（箱数）,実績最小納入回数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,社内LT-設計値LT,社内LT-設計値LT（基準在庫枚数込み）,便Ave,便Ave_実績便数使用,不等ピッチ在庫,日量数（箱数）_繰り上げ,週最大日量数（箱数）_繰り上げ,便Ave_繰り上げ,便Ave_実績便数使用_繰り上げ,不等ピッチ在庫_繰り上げ,設計納入回数-実績納入回数,納入数-日量数（箱数）,納入数-週最大日量数（箱数）,入庫数-日量数（箱数）,入庫数-週最大日量数（箱数）,納入数/日量数（箱数）,回収数/日量数（箱数）,設計値MIN,設計値MIN_実績便数使用,設計値MIN_繰り上げ,設計値MIN_実績便数使用_繰り上げ,設計値MAX,設計値MAX_実績便数使用,設計値MAX_繰り上げ,設計値MAX_実績便数使用_繰り上げ,順立装置在庫量/設計値MIN_繰り上げ,順立装置在庫量/設計値MIN_実績便数使用_繰り上げ,順立装置在庫量-設計値MIN_繰り上げ,順立装置在庫量-設計値MIN_実績便数使用_繰り上げ,順立装置在庫量/設計値MAX_繰り上げ,順立装置在庫量/設計値MAX_実績便数使用_繰り上げ,順立装置在庫量-設計値MAX_繰り上げ,順立装置在庫量-設計値MAX_実績便数使用_繰り上げ,便数ズレ
0,35300ECB010,2023-12-01,2023,12,48,1,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,748.0,748.0,62.33333333333334,62.33333333333334,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.98,0.46,3.28,0.20000000000000015,3.9700000000000006,57.0,65.0,アイシン精機（株）,4.0,88.08333333333331,60.0,61.0,94.615,369.5,半田工場,0.14,3.ギヤサブ・共通部品,62.33333333333334,2.0,4.362637362637363,4.144188440166631,3.0600000000000005,3.01203197868088,15.583333333333336,31.16666666666667,8.726666666666668,63.0,63.0,16.0,32.0,9.0,0.0,-6.0,-6.0,-3.0,-6.0,0.9047619047619048,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.872222222222221,3.0373563218390798,73.08333333333331,59.083333333333314,2.202083333333333,1.258333333333333,48.083333333333314,18.083333333333314,1
3,35300ECB010,2023-12-04,2023,12,49,4,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,3.0,0.2599999999999998,1.37,0.21499999999999986,1.95,64.0,61.0,アイシン精機（株）,4.0,86.5,64.0,65.0,96.84,378.5,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,2.142857142857143,2.0355585537342393,1.04,0.9920319786808793,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0158730158730158,0.9682539682539683,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.766666666666667,2.9827586206896552,71.5,57.5,2.1625,1.2357142857142858,46.5,16.5,1
4,35300ECB010,2023-12-05,2023,12,49,5,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.99,0.5,1.22,0.1900000000000004,1.94,63.0,65.0,アイシン精機（株）,4.0,82.79166666666667,58.0,64.0,99.01,386.0,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,2.131868131868132,2.0251197919202175,1.0299999999999998,0.9820319786808793,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.519444444444445,2.8548850574712645,67.79166666666667,53.79166666666667,2.0697916666666667,1.1827380952380953,42.79166666666667,12.791666666666671,1
5,35300ECB010,2023-12-06,2023,12,49,6,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.98,0.26,1.535,0.20000000000000015,2.04,64.0,65.0,アイシン精機（株）,4.0,91.25,82.0,63.0,99.455,388.5,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,2.241758241758242,2.1295074100604348,1.13,1.0820319786808794,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,1.0,1.0,-18.0,1.0,1.0158730158730158,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.083333333333333,3.146551724137931,76.25,62.25,2.28125,1.3035714285714286,51.25,21.25,1
6,35300ECB010,2023-12-07,2023,12,49,7,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.97,0.27,3.39,0.21,4.0,63.0,55.0,アイシン精機（株）,4.0,93.29166666666669,63.0,56.0,43.725,130.0,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,4.395604395604395,4.175504725608696,3.09,3.042031978680879,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.873015873015873,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.219444444444446,3.2169540229885065,78.29166666666669,64.29166666666669,2.3322916666666673,1.3327380952380956,53.291666666666686,23.291666666666686,1
7,35300ECB010,2023-12-08,2023,12,49,8,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.29000000000000004,3.465,0.21999999999999972,3.975000000000001,56.0,65.0,アイシン精機（株）,4.0,96.375,54.0,64.0,99.77,390.0,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,4.3681318681318695,4.149407821073642,3.065000000000001,3.0170319786808806,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,-7.0,-7.0,2.0,-7.0,0.8888888888888888,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.425,3.3232758620689653,81.375,67.375,2.409375,1.3767857142857143,56.375,26.375,1
10,35300ECB010,2023-12-11,2023,12,50,11,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,2.96,0.2999999999999998,1.2999999999999998,0.2400000000000002,1.85,66.0,64.0,アイシン精機（株）,4.0,82.25,47.0,67.0,99.22,388.0,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,2.032967032967033,1.9311709355940219,0.9400000000000001,0.8920319786808795,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,3.0,3.0,19.0,3.0,1.0476190476190477,1.0158730158730158,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.483333333333333,2.836206896551724,67.25,53.25,2.05625,1.175,42.25,12.25,1
11,35300ECB010,2023-12-12,2023,12,50,12,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.22,1.4099999999999997,0.21,1.96,63.0,65.0,アイシン精機（株）,4.0,86.16666666666669,81.0,66.0,99.85,390.0,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,2.1538461538461537,2.0459973155482607,1.0499999999999998,1.0020319786808793,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,0.0,0.0,-18.0,0.0,1.0,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.744444444444445,2.971264367816093,71.16666666666669,57.166666666666686,2.1541666666666672,1.2309523809523812,46.166666666666686,16.166666666666686,1
12,35300ECB010,2023-12-13,2023,12,50,13,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.97,0.3800000000000001,1.255,0.21,1.94,66.0,60.0,アイシン精機（株）,4.0,78.45833333333333,65.0,59.0,99.92,361.5,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,2.131868131868132,2.0251197919202175,1.0299999999999998,0.9820319786808793,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,3.0,3.0,1.0,3.0,1.0476190476190477,0.9523809523809523,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.230555555555555,2.7054597701149423,63.45833333333333,49.45833333333333,1.9614583333333333,1.1208333333333333,38.45833333333333,8.458333333333329,1
13,35300ECB010,2023-12-14,2023,12,50,14,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,749.0,749.0,62.41666666666666,62.41666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.25,3.3599999999999994,0.20500000000000007,3.995,64.0,66.0,アイシン精機（株）,4.0,91.91666666666669,65.0,66.0,99.605,389.0,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,4.3901098901098905,4.170285344701685,3.085,3.0370319786808793,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,1.0,1.0,-1.0,1.0,1.0158730158730158,1.0476190476190477,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.127777777777779,3.169540229885058,76.91666666666669,62.916666666666686,2.297916666666667,1.3130952380952383,51.916666666666686,21.916666666666686,1
