,Unnamed: 0,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,年＆週番号,納入かんばん数（週合計）-日量数（箱数週合計）,上限-下限,条件チェック,差分
0,506,019128GA010    ,2024,2,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.0,0.0,0.0,,,,,,,,2024-2,,,False,
1,507,019128GA010    ,2024,4,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0,0.0,-0.6428571428571428,,,,,,,,2024-4,,,False,
2,489,019128GA010    ,2023,31,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0.0,0.0,0.8431372549019607,,,,,,,,2023-31,,,False,
3,490,019128GA010    ,2023,32,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0.0,0.0,0.03191489361702127,,,,,,,,2023-32,,,False,
4,491,019128GA010    ,2023,34,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,0.0,0.0,-0.051546391752577365,,,,,,,,2023-34,,,False,
5,492,019128GA010    ,2023,35,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.0,0.0,-0.021739130434782598,,,,,,,,2023-35,,,False,
6,493,019128GA010    ,2023,36,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,0.0,0.0,0.03333333333333344,,,,,,,,2023-36,,,False,
7,494,019128GA010    ,2023,37,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.0,0.0,-0.032258064516129004,,,,,,,,2023-37,,,False,
8,495,019128GA010    ,2023,38,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0.0,0.0,-0.033333333333333326,,,,,,,,2023-38,,,False,
9,496,019128GA010    ,2023,39,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0.0,0.0,0.04597701149425282,,,,,,,,2023-39,,,False,
10,497,019128GA010    ,2023,40,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.0,0.0,-0.05494505494505497,,,,,,,,2023-40,,,False,
11,498,019128GA010    ,2023,41,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0.0,0.0,-0.03488372093023251,,,,,,,,2023-41,,,False,
12,499,019128GA010    ,2023,42,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.0,0.0,-0.012048192771084376,,,,,,,,2023-42,,,False,
13,500,019128GA010    ,2023,43,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0.0,0.0,0.07317073170731714,,,,,,,,2023-43,,,False,
14,501,019128GA010    ,2023,44,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0.0,0.0,0.1477272727272727,,,,,,,,2023-44,,,False,
15,502,019128GA010    ,2023,45,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0.0,0.0,-0.06930693069306926,,,,,,,,2023-45,,,False,
16,503,019128GA010    ,2023,46,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.0,0.0,-0.08510638297872343,,,,,,,,2023-46,,,False,
17,504,019128GA010    ,2023,47,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0.0,0.0,0.11627906976744184,,,,,,,,2023-47,,,False,
18,0,019128GA010    ,2023,48,22.0,25.0,30.0,石黒ゴム工業（株）,14.96,0.215,1.775,2.095,4.69,5.09,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50.0,16.0,14.96,1.5599999999999998,0.31999999999999984,2.595,0.4000000000000004,3.315,0.29,3.0981308411214954,2.9070698225144,3.4707200000000014,6.338742393509128,1.8805476154656235,94.615,369.5,8.ファイナル後半,89,0.0,0.0,-0.07291666666666663,1.06951871657754,1.5625,1.2,2.966666666666667,5.5625,1.875,7.48,2023-48,1.0399999999999991,11.8184,False,1.6249999999999987
19,119,019128GA010    ,2023,49,22.0,88.0,84.0,石黒ゴム工業（株）,15.92,0.11,1.95,2.24,4.26,5.17,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50.0,77.0,77.64,1.84,0.29000000000000026,2.02,0.91,3.22,0.29,3.009345794392523,2.8237601292598398,3.6934400000000007,5.956506671287472,1.7671477592566414,98.915,386.0,8.ファイナル後半,87,0.0,-0.028657616892910912,-0.022471910112359602,0.9917568263781557,1.1428571428571428,0.9545454545454546,1.0357142857142858,1.12987012987013,1.0909090909090908,7.96,2023-49,-0.6400000000000006,12.576799999999999,False,-0.731428571428572
20,241,019128GA010    ,2023,50,26.0,78.0,80.0,石黒ゴム工業（株）,15.94,0.13,1.93,2.56,5.15,5.84,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50.0,87.0,77.75999999999998,1.7999999999999998,0.6300000000000001,2.5900000000000003,0.6899999999999995,3.91,0.29,3.6542056074766354,3.4288515855298054,3.698080000000002,7.030675377493185,2.085826966212812,99.77,390.0,8.ファイナル後半,86,0.18181818181818188,0.2142857142857142,-0.011494252873563204,1.1188271604938276,0.8965517241379308,1.0256410256410255,1.075,0.9885057471264368,0.9195402298850576,7.97,2023-50,9.240000000000023,12.5926,False,8.284137931034502
21,364,019128GA010    ,2023,51,24.0,89.0,76.0,石黒ゴム工業（株）,15.94,0.11,1.96,2.23,4.95,5.48,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50.0,73.0,77.84,1.85,0.27,2.72,0.5300000000000002,3.5200000000000005,0.29,3.2897196261682247,3.0868433711163465,3.698080000000002,6.4898541946090935,1.925378738042596,100.0,371.5,8.ファイナル後半,78,-0.07692307692307687,-0.09974424552429663,-0.09302325581395354,0.9378211716341212,1.2191780821917808,0.8539325842696629,1.0263157894736843,1.0684931506849316,1.0410958904109588,7.97,2023-51,-4.840000000000003,12.5926,False,-5.900821917808223
22,505,019128GA010    ,2023,52,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0.0,0.0,-0.4230769230769231,,,,,,,,2023-52,,,False,
23,527,01912ECB010    ,2024,2,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0,0.0,0.0,,,,,,,,2024-2,,,False,
24,528,01912ECB010    ,2024,4,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,-0.5555555555555556,,,,,,,,2024-4,,,False,
25,510,01912ECB010    ,2023,31,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.0,0.0,0.9375,,,,,,,,2023-31,,,False,
26,511,01912ECB010    ,2023,32,,,,石黒ゴム工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.0,0.0,0.032258064516129004,,,,,,,,2023-32,,,False,
