,仕入先名,品番,検収日,納入便,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,かんばん数,最大日量数（箱数）,日量数（箱数）2,ユニークな納入便の数,不等ピッチ係数,日在庫数（箱）,合計入庫数（箱）,合計出庫数（箱）,不等ピッチ在庫,最大便Ave,便Ave+不等ピッチ在庫,差分,設計値MIN,設計値MAX,在庫数/設計値MAX
0,アイコー（株）,3559850A010    ,1,1.0,1.0,2.0,3.92,1.0,3.77,3.3699999999999997,2.0,0.32,4.666666666666667,3.0,4.0,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,0.9333333333333333
1,アイコー（株）,3559850A010    ,1,2.0,1.0,2.0,3.92,2.0,3.77,3.3699999999999997,2.0,0.32,4.666666666666667,3.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.9333333333333333
2,アイコー（株）,3559850A010    ,4,1.0,1.0,2.0,3.92,1.0,3.77,3.3,1.0,0.32,3.5416666666666665,1.0,2.0,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,0.7083333333333333
3,アイコー（株）,3559850A010    ,5,2.0,1.0,2.0,3.92,2.0,3.77,3.26,1.0,0.32,3.25,3.0,3.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.65
4,アイコー（株）,3559850A010    ,6,1.0,1.0,2.0,3.92,2.0,3.77,3.24,2.0,0.32,3.5416666666666665,5.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.7083333333333333
5,アイコー（株）,3559850A010    ,6,2.0,1.0,2.0,3.92,1.0,3.77,3.24,2.0,0.32,3.5416666666666665,5.0,4.0,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,0.7083333333333333
6,アイコー（株）,3559850A010    ,7,1.0,1.0,2.0,3.92,2.0,3.77,3.24,2.0,0.32,3.4166666666666665,4.0,2.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.6833333333333333
7,アイコー（株）,3559850A010    ,7,2.0,1.0,2.0,3.92,2.0,3.77,3.24,2.0,0.32,3.4166666666666665,4.0,2.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.6833333333333333
8,アイコー（株）,3559850A010    ,8,1.0,1.0,2.0,3.92,1.0,3.77,3.32,2.0,0.32,3.75,1.0,4.0,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,0.75
9,アイコー（株）,3559850A010    ,8,2.0,1.0,2.0,3.92,2.0,3.77,3.32,2.0,0.32,3.75,1.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.75
10,アイコー（株）,3559850A010    ,11,1.0,1.0,2.0,3.92,2.0,3.77,3.56,2.0,0.32,3.625,3.0,2.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.725
11,アイコー（株）,3559850A010    ,11,2.0,1.0,2.0,3.92,1.0,3.77,3.56,2.0,0.32,3.625,3.0,2.0,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,0.725
12,アイコー（株）,3559850A010    ,12,1.0,1.0,2.0,3.92,2.0,3.77,3.57,2.0,0.32,3.0833333333333335,2.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.6166666666666667
13,アイコー（株）,3559850A010    ,12,2.0,1.0,2.0,3.92,1.0,3.77,3.57,2.0,0.32,3.0833333333333335,2.0,4.0,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,0.6166666666666667
14,アイコー（株）,3559850A010    ,13,1.0,1.0,2.0,3.92,2.0,3.77,3.5499999999999994,2.0,0.32,2.5,4.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.5
15,アイコー（株）,3559850A010    ,13,2.0,1.0,2.0,3.92,1.0,3.77,3.5499999999999994,2.0,0.32,2.5,4.0,4.0,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,0.5
