,仕入先名,品番,検収日,納入便,かんばん数
0,アイコー（株）,3559850A010    ,1,1,1
1,アイコー（株）,3559850A010    ,1,2,2
2,アイコー（株）,3559850A010    ,4,1,1
3,アイコー（株）,3559850A010    ,5,2,2
4,アイコー（株）,3559850A010    ,6,1,2
5,アイコー（株）,3559850A010    ,6,2,1
6,アイコー（株）,3559850A010    ,7,1,2
7,アイコー（株）,3559850A010    ,7,2,2
8,アイコー（株）,3559850A010    ,8,1,1
9,アイコー（株）,3559850A010    ,8,2,2
10,アイコー（株）,3559850A010    ,11,1,2
11,アイコー（株）,3559850A010    ,11,2,1
12,アイコー（株）,3559850A010    ,12,1,2
13,アイコー（株）,3559850A010    ,12,2,1
14,アイコー（株）,3559850A010    ,13,1,2
15,アイコー（株）,3559850A010    ,13,2,1
16,アイコー（株）,3559850A010    ,14,1,2
17,アイコー（株）,3559850A010    ,14,2,2
18,アイコー（株）,3559850A010    ,15,1,2
19,アイコー（株）,3559850A010    ,15,2,3
20,アイコー（株）,3559850A010    ,18,1,2
21,アイコー（株）,3559850A010    ,18,2,2
22,アイコー（株）,3559850A010    ,19,2,2
23,アイコー（株）,3559850A010    ,20,1,2
24,アイコー（株）,3559850A010    ,20,2,2
25,アイコー（株）,3559850A010    ,21,1,2
26,アイコー（株）,3559850A010    ,21,2,2
27,アイコー（株）,3559850A010    ,22,1,2
28,アイコー（株）,3559850A010    ,22,2,2
29,アイコー（株）,3559850A010    ,25,1,2
30,アイコー（株）,3559850A010    ,25,2,1
31,アイコー（株）,3559850A010    ,26,1,2
32,アイコー（株）,3559850A010    ,26,2,1
33,アイコー（株）,3559850A010    ,27,1,2
34,アイコー（株）,3559850A010    ,28,1,2
35,アイコー（株）,3559850A010    ,28,2,2
36,アイシン機工（株）,35771ECB010    ,1,1,18
37,アイシン機工（株）,35771ECB010    ,1,2,13
38,アイシン機工（株）,35771ECB010    ,1,3,16
39,アイシン機工（株）,35771ECB010    ,1,4,10
40,アイシン機工（株）,35771ECB010    ,1,5,13
41,アイシン機工（株）,35771ECB010    ,1,6,17
42,アイシン機工（株）,35771ECB010    ,2,5,17
43,アイシン機工（株）,35771ECB010    ,2,6,15
44,アイシン機工（株）,35771ECB010    ,4,1,15
45,アイシン機工（株）,35771ECB010    ,4,4,16
46,アイシン機工（株）,35771ECB010    ,5,1,16
47,アイシン機工（株）,35771ECB010    ,5,2,13
48,アイシン機工（株）,35771ECB010    ,5,3,14
49,アイシン機工（株）,35771ECB010    ,5,4,16
50,アイシン機工（株）,35771ECB010    ,5,5,11
51,アイシン機工（株）,35771ECB010    ,5,6,16
52,アイシン機工（株）,35771ECB010    ,6,1,16
53,アイシン機工（株）,35771ECB010    ,6,2,9
54,アイシン機工（株）,35771ECB010    ,6,3,16
55,アイシン機工（株）,35771ECB010    ,6,4,16
56,アイシン機工（株）,35771ECB010    ,6,5,12
57,アイシン機工（株）,35771ECB010    ,6,6,16
58,アイシン機工（株）,35771ECB010    ,7,1,16
59,アイシン機工（株）,35771ECB010    ,7,2,4
60,アイシン機工（株）,35771ECB010    ,7,3,16
61,アイシン機工（株）,35771ECB010    ,7,4,16
62,アイシン機工（株）,35771ECB010    ,7,5,11
63,アイシン機工（株）,35771ECB010    ,7,6,16
64,アイシン機工（株）,35771ECB010    ,8,1,16
65,アイシン機工（株）,35771ECB010    ,8,2,9
66,アイシン機工（株）,35771ECB010    ,8,3,17
67,アイシン機工（株）,35771ECB010    ,8,4,10
68,アイシン機工（株）,35771ECB010    ,8,5,16
69,アイシン機工（株）,35771ECB010    ,8,6,16
70,アイシン機工（株）,35771ECB010    ,9,5,5
71,アイシン機工（株）,35771ECB010    ,9,6,14
72,アイシン機工（株）,35771ECB010    ,11,1,17
73,アイシン機工（株）,35771ECB010    ,11,2,10
74,アイシン機工（株）,35771ECB010    ,11,3,17
75,アイシン機工（株）,35771ECB010    ,11,4,17
76,アイシン機工（株）,35771ECB010    ,12,1,17
77,アイシン機工（株）,35771ECB010    ,12,2,8
78,アイシン機工（株）,35771ECB010    ,12,3,17
