,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
0,019128GA010    ,2023,48,22.0,25.0,30.0,石黒ゴム工業（株）,14.96,0.21500000000000002,1.775,2.0949999999999998,4.6899999999999995,5.09,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50,16,14.96,1.5599999999999998,0.31999999999999984,2.5949999999999998,0.40000000000000036,3.315,0.29,3.098130841121495,2.9070698225143996,3.470720000000001,6.3387423935091265,1.8805476154656235
1,019128GA010    ,2023,49,22.0,88.0,84.0,石黒ゴム工業（株）,15.92,0.11,1.95,2.24,4.26,5.17,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50,77,77.64,1.8399999999999999,0.29000000000000026,2.0199999999999996,0.9100000000000001,3.2199999999999998,0.29,3.009345794392523,2.8237601292598393,3.6934400000000007,5.956506671287471,1.7671477592566414
2,019128GA010    ,2023,50,26.0,78.0,80.0,石黒ゴム工業（株）,15.94,0.13,1.93,2.56,5.15,5.84,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50,87,77.75999999999999,1.7999999999999998,0.6300000000000001,2.5900000000000003,0.6899999999999995,3.91,0.29,3.6542056074766354,3.428851585529805,3.6980800000000005,7.030675377493185,2.085826966212812
3,019128GA010    ,2023,51,24.0,89.0,76.0,石黒ゴム工業（株）,15.94,0.11,1.96,2.23,4.95,5.48,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50,73,77.84,1.8499999999999999,0.27,2.72,0.5300000000000002,3.5200000000000005,0.29,3.2897196261682247,3.0868433711163465,3.6980800000000005,6.4898541946090935,1.9253787380425957
4,01912ECB010    ,2023,48,8.0,7.0,9.0,石黒ゴム工業（株）,4.986666666666666,0.09,1.94,2.15,5.49,5.73,0.85,1.0609828283420266,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,300,5,4.986666666666666,1.8499999999999999,0.20999999999999996,3.3400000000000003,0.2400000000000002,3.7900000000000005,0.29,4.458823529411766,3.5721596040555585,1.1569066666666667,6.914991702009957,2.051506489598862
5,01912ECB010    ,2023,49,7.0,29.0,30.0,石黒ゴム工業（株）,5.306666666666667,0.11,1.95,2.24,4.9350000000000005,5.51,0.85,1.0609828283420266,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,300,26,25.88,1.8399999999999999,0.29000000000000026,2.6950000000000003,0.5749999999999993,3.5599999999999996,0.29,4.188235294117646,3.355379469772503,1.2311466666666668,5.685756368047131,1.686822861108612
6,01912ECB010    ,2023,50,7.0,26.0,27.0,石黒ゴム工業（株）,5.3133333333333335,0.13,1.93,2.55,5.18,5.87,0.85,1.0609828283420266,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,300,29,25.913333333333334,1.7999999999999998,0.6199999999999999,2.63,0.6900000000000004,3.9400000000000004,0.29,4.635294117647059,3.7135379525010292,1.2326933333333336,5.678622420282956,1.6847063957872712
7,01912ECB010    ,2023,51,7.0,29.0,25.0,石黒ゴム工業（株）,5.3133333333333335,0.11,1.96,2.23,5.195,5.97,0.85,1.0609828283420266,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,300,26,25.94666666666667,1.8499999999999999,0.27,2.9650000000000003,0.7749999999999995,4.01,0.29,4.7176470588235295,3.779514515108915,1.2326933333333336,5.678622420282956,1.6847063957872712
8,01912ECB040    ,2023,49,30.0,120.0,103.0,愛産樹脂工業（株）,19.9,0.26,2.41,2.4,5.635,6.12,0.25,0.3062587904360056,1.0,愛産樹脂工業（株）,1.0,1.0,2.12,40,52,77.125,2.1500000000000004,-0.010000000000000231,3.235,0.4850000000000003,3.71,0.0,14.84,12.11393800229621,6.2088,4.831851565519907,1.10685586522923
9,01912ECB040    ,2023,50,30.0,105.0,98.0,愛産樹脂工業（株）,19.925,0.26,4.4,4.4,5.785,6.13,0.25,0.3062587904360056,1.0,愛産樹脂工業（株）,1.0,1.0,2.12,40,96,97.2,4.140000000000001,0.0,1.3849999999999998,0.34499999999999975,1.7299999999999995,0.0,6.919999999999998,5.64881745120551,6.216600000000001,4.825789016504198,1.1054670874811379
10,01912ECB040    ,2023,51,31.0,110.0,95.0,愛産樹脂工業（株）,19.925,0.26,4.39,4.36,5.98,6.23,0.25,0.3062587904360056,1.0,愛産樹脂工業（株）,1.0,1.0,2.12,40,95,97.3,4.13,-0.02999999999999936,1.62,0.25,1.8400000000000007,0.0,7.360000000000003,6.007990815154996,6.216600000000001,4.9866486503876715,1.1423159903971758
11,1040043104R    ,2023,48,,0.0,0.0,（株）ギフ加藤製作所,1.496,0.14,2.06,2.54,7.48,8.79,0.75,2.7486675549633577,3.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1000,1,1.496,1.92,0.48,4.94,1.3099999999999987,6.729999999999999,0.12,8.973333333333331,2.4484590680482334,0.35904,,
12,1040043104R    ,2023,49,1.0,5.0,2.0,（株）ギフ加藤製作所,1.4929999999999999,0.14,2.03,2.495,3.49,5.82,0.75,2.7486675549633577,3.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1000,4,4.478,1.8899999999999997,0.4650000000000003,0.9950000000000001,2.33,3.7900000000000005,0.12,5.053333333333334,1.378849906077683,0.35831999999999997,2.790801518196026,0.8478384359076536
13,1040043104R    ,2023,50,1.0,8.0,3.0,（株）ギフ加藤製作所,1.494,0.21,3.97,4.33,4.45,6.48,0.75,2.7486675549633577,3.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1000,7,7.476000000000001,3.7600000000000002,0.3599999999999999,0.1200000000000001,2.0300000000000002,2.5100000000000002,0.12,3.346666666666667,0.9131697267163547,0.35856,2.788933511825078,0.8472709403012895
14,1040043104R    ,2023,51,1.0,6.0,4.0,（株）ギフ加藤製作所,1.4929999999999999,0.195,3.0,3.235,5.05,6.675,0.75,2.7486675549633577,3.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1000,6,7.484,2.805,0.23499999999999988,1.815,1.625,3.675,0.12,4.8999999999999995,1.3370114524631884,0.35831999999999997,2.790801518196026,0.8478384359076536
15,1040052001Z    ,2023,48,3.0,4.0,2.0,（株）青山製作所,2.055,0.32,1.2149999999999999,1.375,3.045,4.4399999999999995,1.07,2.5480145338095825,3.0,（株）青山製作所,1.0,6.0,5.76,200,2,2.055,0.8949999999999998,0.16000000000000014,1.67,1.3949999999999996,3.2249999999999996,0.08,3.0140186915887845,1.2656913676148636,0.23153,12.95728415324148,4.432755105056295
16,1040052001Z    ,2023,49,3.0,10.0,10.0,（株）青山製作所,2.11,0.31,1.21,1.43,5.24,7.0,1.07,2.5480145338095825,3.0,（株）青山製作所,1.0,6.0,5.76,200,9,8.395,0.8999999999999999,0.21999999999999997,3.8100000000000005,1.7599999999999998,5.79,0.08,5.411214953271028,2.2723575251131973,0.23772666666666664,12.619535040242296,4.3172093558723645
17,1040052001Z    ,2023,50,2.0,9.0,10.0,（株）青山製作所,1.95,0.31,1.23,1.56,5.09,5.7,1.07,2.5480145338095825,3.0,（株）青山製作所,1.0,6.0,5.76,200,9,7.800000000000001,0.9199999999999999,0.33000000000000007,3.53,0.6100000000000003,4.470000000000001,0.08,4.177570093457945,1.754307104880137,0.21969999999999998,9.103322712790169,3.114294612270321
18,1040052001Z    ,2023,51,1.0,11.0,5.0,（株）青山製作所,2.0475,0.305,1.24,1.525,4.88,6.375,1.07,2.5480145338095825,3.0,（株）青山製作所,1.0,6.0,5.76,200,8,10.145000000000001,0.935,0.2849999999999999,3.355,1.495,5.135,0.08,4.799065420560747,2.0152946271945194,0.230685,4.334915577519128,1.4829974344144385
19,1040183011P    ,2023,48,1.0,1.0,0.0,（株）青山製作所,2.022,0.19,1.15,1.24,2.2,4.78,1.04,1.5237227301310887,1.0,（株）青山製作所,1.0,6.0,5.76,500,1,2.022,0.96,0.09000000000000008,0.9600000000000002,2.58,3.6300000000000003,0.08,3.4903846153846154,2.382323193201761,0.22781200000000001,4.389584394149562,1.5016999243143239
20,1040183011P    ,2023,49,1.0,9.0,2.0,（株）青山製作所,1.95,0.29,1.2149999999999999,1.4849999999999999,1.755,2.75,1.04,1.5237227301310887,1.0,（株）青山製作所,1.0,6.0,5.76,500,8,7.835999999999999,0.9249999999999998,0.27,0.27,0.9950000000000001,1.5350000000000001,0.08,1.4759615384615385,1.0074011299076318,0.21969999999999998,4.551661356395084,1.5571473061351604
21,1040183011P    ,2023,50,1.0,8.0,2.0,（株）青山製作所,2.136,0.305,1.18,1.6,1.7,2.51,1.04,1.5237227301310887,1.0,（株）青山製作所,1.0,6.0,5.76,500,10,10.662,0.875,0.42000000000000015,0.09999999999999987,0.8099999999999998,1.3299999999999998,0.08,1.2788461538461537,0.8728622167929315,0.24065600000000004,4.155308822551691,1.4215530182413683
