,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,仕入先名_アイコー（株）,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_三共鋼業（株）,仕入先名_中庸スプリング（株）,仕入先名_住友商事（株）鉄鋼部輸送機材,仕入先名_住友電気工業（株）,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_多摩川精機販売（株）,仕入先名_大橋鉄工（株）,仕入先名_小川工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_日本精工（株）,仕入先名_矢崎総業（株）,仕入先名_石黒ゴム工業（株）,仕入先名_（株）オンド,仕入先名_（株）オーハシテクニカ,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）ムロコーポレーション,仕入先名_（株）メタルテック,仕入先名_（株）旭工業所,仕入先名_（株）杉浦製作所,仕入先名_（株）東郷製作所,仕入先名_（株）松尾製作所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,仕入先名_（株）青山製作所,仕入先名_ＮＯＫ（株）,箱種類_アイコー（株）,箱種類_アイシン機工（株）,箱種類_アイシン精機（株）,箱種類_サトープレス工業（株）,箱種類_サンコール（株）,箱種類_マレリ（株）,箱種類_三共鋼業（株）,箱種類_中庸スプリング（株）,箱種類_住友商事（株）鉄鋼部輸送機材,箱種類_住友電気工業（株）,箱種類_住友電装（株）,箱種類_佐藤工業（株）,箱種類_多摩川精機販売（株）,箱種類_大橋鉄工（株）,箱種類_小川工業（株）,箱種類_岡谷鋼機（株）,箱種類_愛産樹脂工業（株）,箱種類_日本精工（株）,箱種類_矢崎総業（株）,箱種類_石黒ゴム工業（株）,箱種類_（株）オンド,箱種類_（株）オーハシテクニカ,箱種類_（株）ギフ加藤製作所,箱種類_（株）ジェイテクト,箱種類_（株）ニフコ,箱種類_（株）バルカー,箱種類_（株）ムロコーポレーション,箱種類_（株）メタルテック,箱種類_（株）旭工業所,箱種類_（株）杉浦製作所,箱種類_（株）東郷製作所,箱種類_（株）松尾製作所,箱種類_（株）槌屋,箱種類_（株）浅賀井製作所,箱種類_（株）青山製作所,箱種類_ＮＯＫ（株）,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半
18,019128GA010    ,2023,48,22.0,25.0,30.0,14.96,0.215,1.775,2.095,4.69,5.09,1.07,1.140323488045007,1.0,1.0,4.0,4.0,50.0,16.0,14.96,1.5599999999999998,0.31999999999999984,2.595,0.4000000000000004,3.315,0.29,3.0981308411214954,2.9070698225144,11.764705882352938,1.3536207545530885,94.615,369.5,89,0.0,0.0,-0.07291666666666663,1.06951871657754,1.5625,1.2,2.966666666666667,5.5625,1.875,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,019128GA010    ,2023,49,22.0,88.0,84.0,15.92,0.11,1.95,2.24,4.26,5.17,1.07,1.140323488045007,1.0,1.0,4.0,4.0,50.0,77.0,77.64,1.84,0.29000000000000026,2.02,0.91,3.22,0.29,3.009345794392523,2.8237601292598398,11.055276381909547,1.38965421797193,98.915,386.0,87,0.0,-0.028657616892910912,-0.022471910112359602,0.9917568263781557,1.1428571428571428,0.9545454545454546,1.0357142857142858,1.12987012987013,1.0909090909090908,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,019128GA010    ,2023,50,26.0,78.0,80.0,15.94,0.13,1.93,2.56,5.15,5.84,1.07,1.140323488045007,1.0,1.0,4.0,4.0,50.0,87.0,77.75999999999998,1.7999999999999998,0.6300000000000001,2.5900000000000003,0.6899999999999995,3.91,0.29,3.6542056074766354,3.4288515855298054,13.048933500627351,1.4581401472382385,99.77,390.0,86,0.18181818181818188,0.2142857142857142,-0.011494252873563204,1.1188271604938276,0.8965517241379308,1.0256410256410255,1.075,0.9885057471264368,0.9195402298850576,3.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,019128GA010    ,2023,51,24.0,89.0,76.0,15.94,0.11,1.96,2.23,4.95,5.48,1.07,1.140323488045007,1.0,1.0,4.0,4.0,50.0,73.0,77.84,1.85,0.27,2.72,0.5300000000000002,3.5200000000000005,0.29,3.2897196261682247,3.0868433711163465,12.04516938519448,1.4262648369794502,100.0,371.5,78,-0.07692307692307687,-0.09974424552429663,-0.09302325581395354,0.9378211716341212,1.2191780821917808,0.8539325842696629,1.0263157894736843,1.0684931506849316,1.0410958904109588,3.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,01912ECB010    ,2023,48,8.0,7.0,9.0,4.986666666666666,0.09,1.94,2.15,5.49,5.73,0.85,1.0609828283420266,1.0,1.0,4.0,4.0,300.0,5.0,4.986666666666666,1.85,0.21,3.3400000000000003,0.2400000000000002,3.790000000000002,0.29,4.458823529411767,3.5721596040555585,12.834224598930485,0.558260615161403,94.615,369.5,30,0.0,0.0,-0.0625,1.002673796791444,1.4,1.2857142857142858,3.333333333333333,6.0,1.8,1.2466666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,01912ECB010    ,2023,49,7.0,29.0,30.0,5.306666666666667,0.11,1.95,2.24,4.9350000000000005,5.51,0.85,1.0609828283420266,1.0,1.0,4.0,4.0,300.0,26.0,25.88,1.84,0.29000000000000026,2.6950000000000003,0.5749999999999993,3.56,0.29,4.188235294117646,3.355379469772503,10.552763819095476,0.5763800848060748,98.915,386.0,28,-0.125,-0.060686015831134976,-0.06666666666666665,1.0046367851622875,1.1153846153846154,1.0344827586206895,0.9333333333333332,1.0769230769230769,1.1538461538461535,1.3266666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,01912ECB010    ,2023,50,7.0,26.0,27.0,5.3133333333333335,0.13,1.93,2.55,5.18,5.87,0.85,1.0609828283420266,1.0,1.0,4.0,4.0,300.0,29.0,25.91333333333333,1.7999999999999998,0.6199999999999999,2.63,0.6900000000000004,3.94,0.29,4.635294117647058,3.713537952501029,10.53952321204517,0.5769140485964516,99.77,390.0,29,0.0,0.1067415730337078,0.03571428571428581,1.1191149987136608,0.8965517241379308,1.0384615384615383,1.0740740740740742,1.0,0.9310344827586208,1.3283333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,01912ECB010    ,2023,51,7.0,29.0,25.0,5.3133333333333335,0.11,1.96,2.23,5.195,5.97,0.85,1.0609828283420266,1.0,1.0,4.0,4.0,300.0,26.0,25.94666666666667,1.85,0.27,2.9650000000000003,0.7749999999999995,4.01,0.29,4.7176470588235295,3.779514515108915,10.53952321204517,0.5769140485964516,100.0,371.5,26,0.0,0.017766497461928932,-0.10344827586206896,1.0020554984583758,1.1153846153846154,0.8620689655172413,1.04,1.0,0.9615384615384616,1.3283333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,01912ECB040    ,2023,49,30.0,120.0,103.0,19.9,0.26,2.41,2.4,5.635,6.12,0.25,0.3062587904360056,1.0,1.0,4.0,4.0,40.0,52.0,77.125,2.1500000000000004,-0.010000000000000231,3.235,0.4850000000000003,3.71,0.0,14.84,12.113938002296212,12.060301507537687,1.6638656867417496,98.915,386.0,100,0.0,0.0,-0.07407407407407407,0.6742301458670988,2.3076923076923075,0.8583333333333333,0.9708737864077671,1.9230769230769231,1.9807692307692308,4.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,01912ECB040    ,2023,50,30.0,105.0,98.0,19.925,0.26,4.4,4.4,5.785,6.13,0.25,0.3062587904360056,1.0,1.0,4.0,4.0,40.0,96.0,97.2,4.1400000000000015,0.0,1.3849999999999998,0.3449999999999997,1.7299999999999995,0.0,6.919999999999997,5.64881745120551,12.04516938519448,1.664570289717728,99.77,390.0,107,0.0,-0.5336927223719679,0.07000000000000006,0.9876543209876544,1.09375,0.9333333333333332,1.0918367346938775,1.1145833333333333,1.0208333333333333,4.98125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
