,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数
0,019128GA010    ,2023,48,22.0,25.0,30.0,石黒ゴム工業（株）,14.96,0.215,1.775,2.095,4.69,5.09,1.07,1.140323488045007,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50,16,14.96,1.5599999999999998,0.31999999999999984,2.595,0.4000000000000004,3.315,0.29,3.0981308411214954,2.9070698225144,3.4707200000000014,6.338742393509127,1.8805476154656235,94.61500000000001,369.5
1,01912ECB010    ,2023,48,8.0,7.0,9.0,石黒ゴム工業（株）,4.986666666666666,0.09,1.94,2.15,5.49,5.73,0.85,1.0609828283420266,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,300,5,4.986666666666666,1.85,0.21,3.3400000000000003,0.2400000000000002,3.790000000000001,0.29,4.458823529411767,3.5721596040555585,1.1569066666666667,6.9149917020099565,2.0515064895988617,94.61500000000001,369.5
2,1040043104R    ,2023,48,,0.0,0.0,（株）ギフ加藤製作所,1.496,0.14,2.06,2.54,7.48,8.79,0.75,2.7486675549633577,3.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1000,1,1.496,1.92,0.48,4.94,1.3099999999999987,6.729999999999999,0.12,8.973333333333333,2.448459068048233,0.35904,,,94.61500000000001,369.5
3,1040052001Z    ,2023,48,3.0,4.0,2.0,（株）青山製作所,2.055,0.32,1.215,1.375,3.045,4.44,1.07,2.5480145338095825,3.0,（株）青山製作所,1.0,6.0,5.76,200,2,2.055,0.8949999999999998,0.16000000000000014,1.67,1.3949999999999996,3.225,0.08,3.0140186915887845,1.2656913676148636,0.23153,12.95728415324148,4.4327551050562946,94.61500000000001,369.5
4,1040183011P    ,2023,48,1.0,1.0,0.0,（株）青山製作所,2.022,0.19,1.15,1.24,2.2,4.78,1.04,1.5237227301310887,1.0,（株）青山製作所,1.0,6.0,5.76,500,1,2.022,0.96,0.09000000000000008,0.9600000000000002,2.58,3.63,0.08,3.4903846153846154,2.382323193201761,0.227812,4.389584394149562,1.501699924314324,94.61500000000001,369.5
5,2030052002N    ,2023,48,3.0,2.0,4.0,（株）杉浦製作所,2.493333333333333,0.4,0.92,1.41,4.54,5.125,0.54,1.7392005329780147,3.0,（株）杉浦製作所,1.0,2.0,1.06,300,2,2.493333333333333,0.52,0.4899999999999999,3.13,0.585,4.205,0.12,7.787037037037036,2.4177775479402728,0.2568133333333333,11.681636467473133,1.842585844027156,94.61500000000001,369.5
6,3040052001B    ,2023,48,4.0,11.0,10.0,（株）青山製作所,6.806,0.31,1.21,1.49,1.97,4.44,1.02,1.4601473026306138,3.0,（株）青山製作所,1.0,6.0,5.76,500,7,6.806,0.8999999999999999,0.28,0.48,2.4700000000000006,3.2300000000000004,0.08,3.166666666666667,2.212105582896194,0.7668093333333332,5.216420596515084,1.7845649409130546,94.61500000000001,369.5
7,33490ECB010    ,2023,48,7.0,84.0,120.0,マレリ（株）,84.25,0.32,2.32,2.38,2.69,3.04,0.82,0.8548280365694384,3.0,マレリ（株）,1.0,2.0,3.92,4,85,84.25,2.0,0.06000000000000005,0.31000000000000005,0.3500000000000001,0.7200000000000002,0.23,0.8780487804878052,0.8422746671827416,20.7255,0.3377481846035077,0.10437946408600868,94.61500000000001,369.5
8,33490ECE010    ,2023,48,54.0,106.0,151.0,マレリ（株）,102.75,0.13,2.1,1.98,4.92,5.24,0.81,0.8395602906761918,3.0,マレリ（株）,1.0,2.0,3.92,4,105,102.75,1.97,-0.1200000000000001,2.94,0.3200000000000003,3.14,0.23,3.8765432098765427,3.740053019266796,25.2765,2.1363717286807904,0.6602354839892896,94.61500000000001,369.5
9,34989ECB020    ,2023,48,7.0,3.0,3.0,（株）槌屋,1.496,0.27,2.5,2.85,12.965,14.07,0.81,1.5132348804500704,1.0,（株）槌屋,1.0,1.0,2.33,500,2,1.496,2.23,0.3500000000000001,10.115,1.1050000000000004,11.57,0.0,14.28395061728395,7.645871866605942,0.49816800000000006,14.051484639719934,3.3833292733382057,94.61500000000001,369.5
10,35141ECB010    ,2023,48,10.0,31.0,30.0,（株）アイシン福井,21.0625,0.27,0.99,1.06,1.86,3.94,0.62,0.7593121462777536,3.0,（株）アイシン福井,1.0,24.0,19.68,16,28,21.0625,0.72,0.07000000000000006,0.7999999999999998,2.08,2.95,,4.758064516129033,3.8850952331808233,1.8148854166666668,5.5099897261649895,2.6697888363892215,94.61500000000001,369.5
