,品番,年月日,年,月,週番号,日,曜日_番号,曜日_名前,手配）品名,手配）仕入先名,手配）手配区分,手配）仕入先発送場所名,手配）受入場所,手配）受入場所名,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量計算数,日量数（箱数）,日量計算数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,仕入先名,実績納入回数,在庫数（箱）_1日の平均値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,時間稼働率,加工数,発送場所名,不等ピッチ係数【日】,使用工程
0,35300ECB010,2023-12-01,2023,12,48,1,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,748.0,748.0,62.33333333333334,62.33333333333334,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.98,0.45999999999999996,3.2799999999999994,0.20000000000000018,3.9700000000000006,57.0,65.0,アイシン精機（株）,4.0,88.08333333333331,60.0,61.0,94.61500000000001,369.5,半田工場,0.14,3.ギヤサブ・共通部品
1,35300ECB010,2023-12-02,2023,12,48,2,5,土曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,90.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
2,35300ECB010,2023-12-03,2023,12,48,3,6,日曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,90.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
3,35300ECB010,2023-12-04,2023,12,49,4,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,3.0,0.2599999999999998,1.37,0.21499999999999986,1.9500000000000002,64.0,61.0,アイシン精機（株）,4.0,86.5,64.0,65.0,96.84,378.5,半田工場,0.14,3.ギヤサブ・共通部品
4,35300ECB010,2023-12-05,2023,12,49,5,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.9900000000000001,0.5,1.22,0.1900000000000004,1.9399999999999997,63.0,65.0,アイシン精機（株）,4.0,82.79166666666667,58.0,64.0,99.01,386.0,半田工場,0.14,3.ギヤサブ・共通部品
5,35300ECB010,2023-12-06,2023,12,49,6,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.9800000000000001,0.26,1.5350000000000001,0.20000000000000018,2.04,64.0,65.0,アイシン精機（株）,4.0,91.25,82.0,63.0,99.455,388.5,半田工場,0.14,3.ギヤサブ・共通部品
6,35300ECB010,2023-12-07,2023,12,49,7,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.97,0.27,3.39,0.20999999999999996,4.0,63.0,55.0,アイシン精機（株）,4.0,93.29166666666669,63.0,56.0,43.725,130.0,半田工場,0.14,3.ギヤサブ・共通部品
7,35300ECB010,2023-12-08,2023,12,49,8,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.96,0.29000000000000004,3.465,0.21999999999999975,3.9750000000000005,56.0,65.0,アイシン精機（株）,4.0,96.375,54.0,64.0,99.77000000000001,390.0,半田工場,0.14,3.ギヤサブ・共通部品
8,35300ECB010,2023-12-09,2023,12,49,9,5,土曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
9,35300ECB010,2023-12-10,2023,12,49,10,6,日曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
