,品番,仕入先名,年,月,週番号,日,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,実績納入回数,時間稼働率,加工数,不等ピッチ係数【日】,使用工程,曜日_番号,曜日_名前,在庫数（箱）_1日の中央値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,週最大日量数（箱数）,週最大日量数（箱数）_繰り上げ,実績最小納入回数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,社内LT-設計値LT,社内LT-設計値LT（基準在庫枚数込み）,便Ave,便Ave_実績便数使用,便Ave_繰り上げ,便Ave_実績便数使用_繰り上げ,設計納入回数-実績納入回数,不等ピッチ在庫,不等ピッチ在庫_繰り上げ,設計値MIN,設計値MIN_実績便数使用,設計値MIN_繰り上げ,設計値MIN_実績便数使用_繰り上げ,設計値MAX,設計値MAX_実績便数使用,設計値MAX_繰り上げ,設計値MAX_実績便数使用_繰り上げ,順立装置在庫量/設計値MIN_繰り上げ,順立装置在庫量/設計値MIN_実績便数使用_繰り上げ,順立装置在庫量-設計値MIN_繰り上げ,順立装置在庫量-設計値MIN_実績便数使用_繰り上げ,順立装置在庫量/設計値MAX_繰り上げ,順立装置在庫量/設計値MAX_実績便数使用_繰り上げ,順立装置在庫量-設計値MAX_繰り上げ,順立装置在庫量-設計値MAX_実績便数使用_繰り上げ
0,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,48.0,1.0,1.56,0.31999999999999995,2.665,0.31999999999999984,3.34,16.0,15.0,2.0,94.615,369.5,0.29,8.ファイナル後半,4.0,金曜日,24.5,15.0,23.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,748.0,14.96,711.0,14.22,0.07032348804500703,1.140323488045007,14.96,15.0,2.0,3.1214953271028034,2.928993426002442,2.2699999999999996,2.199676511954993,7.48,7.48,8.0,8.0,0.0,4.3384,5.0,3.4800000000000004,3.4800000000000004,4.0,4.0,17.0,17.0,17.0,17.0,6.125,6.125,20.5,20.5,1.4411764705882353,1.4411764705882353,7.5,7.5
1,019128GA010    ,,2023.0,12.0,48.0,2.0,,,,,,,,,,,,,5.0,土曜日,22.0,0.0,0.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,376.0,7.52,711.0,14.22,0.07032348804500703,1.140323488045007,14.96,15.0,2.0,,,,,7.48,7.48,8.0,8.0,,,,3.4800000000000004,3.4800000000000004,4.0,4.0,,,,,5.5,5.5,18.0,18.0,,,,
2,019128GA010    ,,2023.0,12.0,48.0,3.0,,,,,,,,,,,,,6.0,日曜日,22.0,0.0,0.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,0.0,0.0,711.0,14.22,0.07032348804500703,1.140323488045007,14.96,15.0,2.0,,,,,7.48,7.48,8.0,8.0,,,,3.4800000000000004,3.4800000000000004,4.0,4.0,,,,,5.5,5.5,18.0,18.0,,,,
3,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,4.0,3.85,0.26000000000000023,1.08,0.2850000000000001,1.0900000000000003,10.0,23.0,2.0,96.84,378.5,0.29,8.ファイナル後半,0.0,月曜日,19.0,10.0,15.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,797.0,15.94,711.0,14.22,0.07032348804500703,1.140323488045007,15.94,16.0,2.0,1.018691588785047,0.9558691120786416,0.02000000000000024,-0.05032348804500675,7.97,7.97,8.0,8.0,0.0,4.622599999999999,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,4.75,4.75,15.0,15.0,1.1176470588235294,1.1176470588235294,2.0,2.0
4,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,5.0,1.29,0.2999999999999998,0.3899999999999997,0.2399999999999993,0.8700000000000001,15.0,16.0,2.0,99.01,386.0,0.29,8.ファイナル後半,1.0,火曜日,16.0,15.0,16.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,746.0,14.92,711.0,14.22,0.07032348804500703,1.140323488045007,15.94,16.0,2.0,0.8130841121495328,0.7629414013838698,-0.19999999999999996,-0.27032348804500694,7.97,7.97,8.0,8.0,0.0,4.622599999999999,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,4.0,4.0,12.0,12.0,0.9411764705882353,0.9411764705882353,-1.0,-1.0
5,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,6.0,1.54,0.34,1.0,0.2650000000000001,1.735,18.0,16.0,2.0,99.455,388.5,0.29,8.ファイナル後半,2.0,水曜日,18.0,18.0,15.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,796.0,15.92,711.0,14.22,0.07032348804500703,1.140323488045007,15.94,16.0,2.0,1.6214953271028036,1.521498082070131,0.665,0.594676511954993,7.97,7.97,8.0,8.0,0.0,4.622599999999999,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,4.5,4.5,14.0,14.0,1.0588235294117647,1.0588235294117647,1.0,1.0
6,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,7.0,1.84,0.31000000000000005,0.975,0.3099999999999996,3.975000000000001,26.0,15.0,2.0,43.725,130.0,0.29,8.ファイナル後半,3.0,木曜日,29.0,26.0,15.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,797.0,15.94,711.0,14.22,0.07032348804500703,1.140323488045007,15.94,16.0,2.0,3.714953271028038,3.4858529545987156,2.905000000000001,2.834676511954994,7.97,7.97,8.0,8.0,0.0,4.622599999999999,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,7.25,7.25,25.0,25.0,1.7058823529411764,1.7058823529411764,12.0,12.0
7,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,8.0,1.85,0.2500000000000002,3.03,0.2999999999999998,3.59,19.0,17.0,2.0,99.77,390.0,0.29,8.ファイナル後半,4.0,金曜日,26.0,19.0,23.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,746.0,14.92,711.0,14.22,0.07032348804500703,1.140323488045007,15.94,16.0,2.0,3.3551401869158877,3.1482294608828645,2.5199999999999996,2.449676511954993,7.97,7.97,8.0,8.0,0.0,4.622599999999999,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,6.5,6.5,22.0,22.0,1.5294117647058822,1.5294117647058822,9.0,9.0
8,019128GA010    ,,2023.0,12.0,49.0,9.0,,,,,,,,,,,,,5.0,土曜日,26.0,0.0,0.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,376.0,7.52,711.0,14.22,0.07032348804500703,1.140323488045007,15.94,16.0,2.0,,,,,7.97,7.97,8.0,8.0,,,,3.7120000000000006,3.7120000000000006,4.0,4.0,,,,,6.5,6.5,22.0,22.0,,,,
9,019128GA010    ,,2023.0,12.0,49.0,10.0,,,,,,,,,,,,,6.0,日曜日,26.0,0.0,0.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,0.0,0.0,711.0,14.22,0.07032348804500703,1.140323488045007,15.94,16.0,2.0,,,,,7.97,7.97,8.0,8.0,,,,3.7120000000000006,3.7120000000000006,4.0,4.0,,,,,6.5,6.5,22.0,22.0,,,,
