仕入先名,発送場所名,受入,納入先,不等ピッチ係数【日】,
矢崎総業（株）,,1Y,カリツー西尾東経由,0,
日本精工（株）,三河分室,1Y,カリツー西尾東経由,0.09,
中庸スプリング（株）,,1Y,カリツー西尾東経由,0.1,
大橋鉄工（株）,,1Y,カリツー西尾東経由,0,
多摩川精機販売（株）,,1Y,カリツー西尾東経由,0,
石黒ゴム工業（株）,,1Y,カリツー西尾東経由,0.29,
新光ゴム工業（株）,本社,1Y,安城第1工場直納,0,
小川工業（株）,,1Y,カリツー西尾東経由,0.05,
住友電装（株）,,1Y,カリツー西尾東経由,0,
住友電装（株）,四日市物流センター,1Y,安城第1工場直納,0,
住友電気工業（株）,,1Y,カリツー西尾東経由,0,
住友商事（株）鉄鋼部輸送機材,鉄鋼部輸送機材,1Y,カリツー西尾東経由,0,
三共鋼業（株）,東浦南工場,1Y,カリツー西尾東経由,0,
佐藤工業（株）,藤塗装,1Y,カリツー西尾東経由,0.05,
五興商事（株）,,1Y,カリツー西尾東経由,0,
岡谷鋼機（株）,刈谷支店,1Y,カリツー西尾東経由,0,
伊藤金属工業（株）,,1Y,カリツー西尾東経由,0,
愛産樹脂工業（株）,本社工場,1Y,安城第1工場直納,0,
ミズショー（株）,三河支店,1Y,カリツー西尾東経由,0,
マレリ（株）,澁澤倉庫,1Y,カリツー西尾東経由,0.23,
ナミコー（株）,,1Y,カリツー西尾東経由,0,
サンコール（株）,豊田,1Y,カリツー西尾東経由,0,
サトープレス工業（株）,本社工場,1Y,カリツー西尾東経由,0,
アイシン精機（株）,半田工場,1Y,カリツー西尾東経由,0.14,
アイシン機工（株）,吉良工場,1Y,カリツー西尾東経由,0.07,0.12らしい
アイシン・エィ・ダブリュ工業（株）,本社工場,1Y,安城第1工場直納,0.16,
アイコー（株）,,1Y,カリツー西尾東経由,0.32,
ＮＯＫ（株）,,1Y,カリツー西尾東経由,0.03,
（株）東郷製作所,,1Y,カリツー西尾東経由,0.08,
（株）槌屋,知立工場,1Y,カリツー西尾東経由,0,
（株）浅賀井製作所,安城工場,1Y,カリツー西尾東経由,0.13,
（株）青山製作所,,1Y,カリツー西尾東経由,0.08,
（株）杉浦製作所,,1Y,カリツー西尾東経由,0.12,
（株）水野鉄工所,,1Y,カリツー西尾東経由,0,
（株）松尾製作所,,1Y,カリツー西尾東経由,0,
（株）旭工業所,本社工場,1Y,カリツー西尾東経由,0,
（株）メタルテック,,1Y,カリツー西尾東経由,0,
（株）ムロコーポレーション,,1Y,カリツー西尾東経由,0,
（株）バルカー,豊田営業所,1Y,カリツー西尾東経由,0.24,
（株）ニフコ,名古屋事業所,1Y,カリツー西尾東経由,0,
（株）ジェイテクト,香川工場,1Y,カリツー西尾東経由,0,
（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）,1Y,カリツー西尾東経由,0.12,
（株）オンド,本社工場,1Y,カリツー西尾東経由,0.05,
（株）オーハシテクニカ,,1Y,カリツー西尾東経由,0,
（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所,1Y,カリツー西尾東経由,0.07,0.18らしい
