hinban,hinmei,zisseki,yotei,wariai,syuyousuu,hakosize,ng,wariai_nishiohigashi,wariai_zyundate,wariai_kumitate mae,,,,
9025006027,['_‹ï¾Ÿï¾ï½½__¾___                     '],5.183333333,3,1.727777778,[2000],[0.006],0.0000 ,0.2090 ,0.115755627,0.675241158,,,,
9010506A003    ,['_Žï¾žï¾™ï¾_¾Œï¾—ï¾ï½¼__                    '],4.383333333,3,1.461111111,[2000],[0.012],2.0000 ,0.0380 ,0.790874525,0.171102662,,,,
35352ECB010    ,"['_›ï½°_€_°,T/MO/P__¾žï¾˜ï¾Œï¾žï¾_            ']",4.266666667,3,1.422222222,[504],[0.014],1.0000 ,0.0273 ,0.5625,0.41015625,,0.234652332,0.027023279,-0.321181696
9093003179,['_Œï¾Ÿï¾—ï½¸_žï¾Œï¾žï¾__»__                  '],8.033333333,5.682243173,1.41376092,[500],[0.012],2.8333 ,0.1556 ,0.560165975,0.284232365,,,,
82821ECE010    ,['_¶_Šï¾__º_ˆï½¸_€-                     '],43.05,30.45430583,1.413593212,[50],[0.022],4.0000 ,0.1111 ,0.841269841,0.047619048,,,,
41310ECB010    ,['__¾žï¾Œï½¹_°_½S/A                     '],327.2833333,244.6795556,1.337599835,[2],[0.033],2.0641 ,0.6348 ,0.294698783,0.070479197,,,,
019128GA010    ,['_·_”ï¾‚ï¾Œï¾Ÿï½¼_‚ï¾‹ï¾Ÿï¾ï½¸__                 '],55.86666667,45.00946316,1.241220462,[50],[0.033],3.3182 ,0.2691 ,0.622613365,0.108293556,,,,
3519510A010    ,['_¸_—ï¾ï¾Œï¾ŸT/A_±_Œï¾Ÿï¾—ï½²__½­_°_Œï¾žNO.1        '],3.716666667,3,1.238888889,[600],[0.006],0.5000 ,0.0135 ,0.789237668,0.197309417,,,,
41310ECE010    ,['_·_žï¾”ï¾_¾žï¾Œï¾˜ï¾ï½¸__                   '],379.9,307.0884403,1.2371029,[2],[0.033   nan],1.8902 ,0.5866 ,0.342590155,0.070808107,,,,
82821ECB050    ,['_¶_Šï¾__º_ˆï½¸_€-                     '],30.25,25.02668499,1.208709824,[100],[0.022],3.4857 ,0.1730 ,0.716804408,0.110192837,,,,
82821XAE010    ,['_¶_Šï¾__º_ˆï½¸_€-                     '],30.38333333,25.14522045,1.208314454,[100],[0.006],3.4722 ,0.1618 ,0.757542512,0.080636314,,,,
G9201ECE010    ,['_¶_Šï¾žï½°_²_ï¾Šï¾žï½°_€_°                   '],107.3833333,90.47942641,1.186825974,[8],[0.027],2.7914 ,0.2843 ,0.59677169,0.118888716,,,,
9034114A004    ,['_Œï¾Ÿï¾—ï½¸_žï½³_²_½_žï¾ï¾‚ï¾_¾žï½½__¾___½½_¸_˜ï¾_       '],3.533333333,3,1.177777778,[500],[0.012],0.0000 ,0.0330 ,0.891509434,0.075471698,,,,
82821ECB020    ,['_¶_Šï¾__º_ˆï½¸_€-                     '],16.93333333,14.585033,1.161007544,[200],[0.006],2.6875 ,0.1703 ,0.731299213,0.098425197,,,,
35300ECB010    ,['__¾žï¾ï¾_¾žï½³_µ_²_™ï¾Žï¾Ÿï¾ï¾Œï¾_               '],192.45,167.9531186,1.145855472,[12],[0.017],3.9835 ,0.1792 ,0.745734823,0.075084438,,,,
01912ECB010    ,['_·_¬_¯_Œï¾Ÿï½¼_¯_‹ï¾Ÿï¾ï½¸__                 '],20.78333333,18.26660353,1.137777655,[300],[0.022],3.5217 ,0.1347 ,0.784282277,0.080994387,,,,
9020156A002    ,['_Œï¾Ÿï¾šï½°__¾œï½¯_¼_¬                     '],14.9,13.20843562,1.128066974,[100],[0.006],2.4211 ,0.1488 ,0.572706935,0.27852349,,,,
35165ECE010    ,['_Œï¾Ÿï¾___T/M _¹-_½                 '],9.55,8.799099632,1.085338319,[200],[0.006],2.2500 ,0.0908 ,0.748691099,0.160558464,,,,
1040052001Z    ,['_Œï¾Ÿï¾—ï½¸___³_²_½_žï¾ï¾‚ï¾_¾žï½½__¾___½½_¸_˜ï¾_      '],7.85,7.46087577,1.052155302,[200],[0.006],2.7143 ,0.1083 ,0.607218684,0.284501062,,,,
2030045013L    ,['_¶_žï½½_¹_‚ï¾_                       '],5.95,5.693525291,1.045046732,[2000],[0.012],1.0000 ,0.1401 ,0.327731092,0.532212885,,,,
82821ECB010    ,['_¶_Šï¾__º_ˆï½¸_€-                     '],9.616666667,9.237807109,1.04101185,[400],[0.022],2.8750 ,0.1231 ,0.658578856,0.218370884,,,,
35145ECE020    ,['_µ_²_™ï¾Œï¾Ÿï¾šï½°__                     '],14.46666667,14.09629668,1.026274276,[100],[0.012],2.5200 ,0.3122 ,0.419354839,0.26843318,,,,
35771ECE010    ,['_¼_¬_Œï¾_½±_³__¾Œï¾Ÿï½¯__                  '],85.5,83.66310449,1.021955861,[6],[0.017],1.5420 ,0.3154 ,0.535477583,0.149122807,,,,
G1163ECE010    ,['_Žï¾žï¾™ï¾__“ï½°_€_°_½__½°_€_°_–ï½°_¸             '],27.13333333,26.79469609,1.012638219,[100],[0.012],2.5432 ,0.2912 ,0.575552826,0.133292383,,,,
9034118A024    ,['_Œï¾Ÿï¾—ï½¸_žS/AW/_ï½¯__¾žï½½__¾šï½°__½½_¸_˜ï½­_°      '],6.983333333,6.903266299,1.011598428,[200],[0.006],2.5000 ,0.1360 ,0.754176611,0.109785203,,,,
82821CWA030    ,['_¶_Šï¾__º_ˆï½¸_€-                     '],16.58333333,16.42446252,1.009672817,[200],[0.022],3.6250 ,0.1447 ,0.738693467,0.116582915,,,,
3040052001B    ,['_Œï¾Ÿï¾—ï½¸_žï½³_²_½_žï¾ï¾‚ï¾_¾žï½½__¾___½½_¸_˜ï¾_       '],14.11666667,14.06286523,1.00382578,[500],[0.012],1.2308 ,0.3223 ,0.179456907,0.498229044,,,,
9155180640,['_Žï¾žï¾™ï¾_¾Œï¾—ï¾ï½¼__                    '],6.2,6.218691807,0.996994254,[1000],[0.012],2.0000 ,0.0699 ,0.637096774,0.293010753,,,,
9015906A021    ,['_½_¸_˜ï½­_°W/_œï½¯_¼_¬_°                  '],11.56666667,11.75181208,0.984245373,[1200],[0.012],2.5000 ,0.2320 ,0.670028818,0.097982709,,,,
9036340A010    ,['_ï¾žï½±_˜ï¾ï½¸___—ï½¼_žï½±_™ï¾Žï¾žï½°__            '],30.73333333,31.73982281,0.968289379,[80],[0.015],2.3258 ,0.2267 ,0.561822126,0.211496746,,,,
9015906A022    ,['_½_¸_˜ï½­_°W/_œï½¯_¼_¬_°                  '],13.73333333,14.42261201,0.952208471,[1500],[0.012],2.5000 ,0.2379 ,0.565533981,0.196601942,,,,
9010508A014    ,['_Žï¾žï¾™ï¾_¾Œï¾—ï¾ï½¼__                    '],75.91666667,79.88443799,0.95033111,[500],[0.012],2.7741 ,0.3453 ,0.488913282,0.165751921,,,,
9011906A065    ,['_Žï¾žï¾™ï¾__Œï¾—ï¾ï½¼_žW/_œï½¯_¼_¬              '],7.166666667,7.567848416,0.946988665,[1000],[0.012],2.4444 ,0.1279 ,0.693023256,0.179069767,,,,
9034108A006    ,['_Œï¾Ÿï¾—ï½¸_žï½³_²_½_žï¾ï¾‚ï¾_¾žï½½__¾___½½_¸_˜ï¾_       '],8.733333333,9.348098274,0.934236363,[1000],[0.012],2.2500 ,0.0802 ,0.635496183,0.284351145,,,,
9030106A018    ,['_˜ï¾ï½¸_žO                         '],8.25,8.883553207,0.928682455,[2000],[0.006],2.1429 ,0.0788 ,0.525252525,0.395959596,,,,
35580ECB011    ,"['_±_·_­_´_°_€_°ASSY,_¼_Œï¾__º_ï¾_¾›ï½°__       ']",129,139.7495628,0.923079811,[6],[0.036],3.1527 ,0.4158 ,0.489018088,0.095219638,,,,
