,品番,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,設計値変更前）社内かんばん数,設計値変更前）計算社内かんばん数,設計値変更後）社内かんばん数,設計値変更後）計算社内かんばん数
0,019128GA010,"CAP, SHIPPING",50,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ３４２フタナシ,0.033,2.11,手配,19,101.975,93,102.1578
1,01912ECB010,"CAP, SHIPPING",300,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ３３２フタナシ,0.022,3.21,手配,9,29.20833333,31,27.78633333
2,1040043104R,"PIN, STRAIGHT",1000,（株）ギフ加藤製作所,1,2,3.8,1Y,ＡＷ１３１フタナシ,0.005,13.4,手配,1,9.9375,9,10.0905
3,1040052001Z,"PLUG, W/HEAD STRAIGHT SCREW",200,（株）青山製作所,1,6,5.76,1Y,ＴＰ１３１フタナシ,0.006,6.27,手配,4,9.96155,15,10.049
4,1040183011P,"BOLT, FLANGE",500,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.38,手配,3,9.47352,12,7.69708
5,2030052002N,"PLUG, W/HEAD STRAIGHT SCREW",300,（株）杉浦製作所,1,2,1.06,1Y,ＴＰ３３１フタナシ,0.012,9.85,手配,6,10.70833333,15,10.87833333
6,3040052001B,"PLUG, W/HEAD STRAIGHT SCREW",500,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,11.97,手配,12,24.97208,39,25.43072
7,33490ECB010,"COOLER ASSY, OIL",4,マレリ（株）,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,手配,145,412.59,515,426.735
8,33490ECE010,"COOLER ASSY, OIL",4,マレリ（株）,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,手配,128,534.9675,680,541.65
9,35145ECB010,"PLATE, OIL",100,三共鋼業（株）,1,1,1.74,1Y,ＴＰ１３１フタナシ,0.006,4.63,手配,10,15.3876,20,15.8154
10,35145ECE010,"PLATE, OIL",100,三共鋼業（株）,1,1,1.74,1Y,ＴＰ１３１フタナシ,0.006,3.61,手配,12,20.0755,27,18.29
