品番,品名,整備室,仕入先名/工場名,間口(vlook),間口,通箱名,かんばん情報.収容数,登録箱種,納入ｻｲｸﾙ.間隔,納入ｻｲｸﾙ.回数,納入ｻｲｸﾙ.情報,基準在庫.日数,基準在庫.枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率
35080ECB010,"GEAR ASSY, COUNTER DRIVEN & DIFF PINION",1Y,第２,A2,A2,TP-332,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
35080ECE010,"GEAR ASSY, COUNTER DRIVEN & DIFF PINION",1Y,第２,A2,A2,TP-332,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
35080ECE020,"GEAR ASSY, COUNTER DRIVEN & DIFF PINION",1Y,第２,A2,A2,TP-332,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
35782ECB010,"GEAR, COUNTER DRIVE",1Y,第２,A1,A1,TP-331,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
35782ECE010,"GEAR, COUNTER DRIVE",1Y,第２,A1,A1,TP-331,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
35782ECE020,"GEAR, COUNTER DRIVE",1Y,第２,A1,A1,TP-331,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
35782ECE030,"GEAR, COUNTER DRIVE",1Y,第２,A1,A1,TP-331,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
41221ECB010,"GEAR, DIFFERENTIAL RING",1Y,第２,A2,A2,TP-332.5,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
41221ECE010,"GEAR, DIFFERENTIAL RING",1Y,第２,A2,A2,TP-332.5,3,,1,1,1,1.25,3,1.25,1.25,1.1,0.5
G1104ECA040,"STATOR SUB-ASSY, MOTOR",1Y,岡東,B3,B3,TP-343,1,TP331.5ﾌﾀｱﾘ,1,1,0.38,0.3,0,0.59,0.59,1.1,0.5
35300ECB010,"PUMP ASSY, OIL W/MOTOR",1Y,アイシン精機（株）,B1,B1,TP-341,12,TP341ﾌﾀﾅｼ,1,4,8.04,1.12,3,1.12,1.12,1.1,0.5
355806GA020,"ACTUATOR ASSY, SHIFT CONTROL",1Y,アイシン精機（株）,B2,B2,TP-342,6,TP342ﾌﾀｱﾘ,1,4,8.04,1.12,3,1.12,1.12,1.1,0.5
35580ECB010,"ACTUATOR ASSY, SHIFT CONTROL",1Y,アイシン精機（株）,B2,B2,TP-342,6,TP342ﾌﾀｱﾘ,1,4,8.04,1.12,3,1.12,1.12,1.1,0.5
35580ECB011,"ACTUATOR ASSY, SHIFT CONTROL",1Y,アイシン精機（株）,B2,B2,TP-342,6,TP342ﾌﾀｱﾘ,1,4,8.04,1.12,3,1.12,1.12,1.1,0.5
1040052001Z,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）青山製作所,A1,A1,TP-131,200,TP131ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
1040183011P,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
3040052001B,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）青山製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9010506A003,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,2000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9010506A089,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,1500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9010508A014,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9010508A042,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,300,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9010512A018,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,200,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9011906908,"BOLT, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,2000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9011906A065,"BOLT, FLANGE W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9014860027,"SCREW, HEX LOBULAR",1Y,（株）青山製作所,A1,A1,TP-331,2000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9014908A008,SCREW,1Y,（株）青山製作所,A1,A1,TP-331,800,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9015905A007,"SCREW, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,2000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9015906A017,"SCREW, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9015906A021,"SCREW, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1200,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9015906A022,"SCREW, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9015906A023,"SCREW, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1300,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9034114A004,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）青山製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9034118A024,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）青山製作所,A1,A1,TP-131,200,TP131ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9093003179,"PLUG, BREATHER",1Y,（株）青山製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9155180614,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,1500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9155180640,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9161140614,"BOLT, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,2500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9167180618,"BOLT, FLANGE W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
G1163ECA010,"BOLT, MOTOR STATOR YOKE",1Y,（株）青山製作所,A1,A1,TP-331,70,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
G1163ECB010,"BOLT, MOTOR STATOR YOKE",1Y,（株）青山製作所,A1,A1,TP-331,80,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
G1163ECE010,"BOLT, MOTOR STATOR YOKE",1Y,（株）青山製作所,A1,A1,TP-331,100,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
35145ECE020,"PLATE, OIL",1Y,（株）浅賀井製作所,A1,A1,TP-131,100,TP331ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECA020,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A2,A2,TP-332,30,TP332ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECB010,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A2,A2,TP-332,20,TP332ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECE010,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A2,A2,TP-332,40,TP332ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECE020,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A1,A1,TP-331,90,TP331ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35312ECB010,"COVER, TRANSMISSION, OIL PUMP",1Y,（株）旭工業所,A1,A1,TP-331,63,TP331ﾌﾀｱﾘ,1,1,1.9,1.04,3,1.04,1.04,1.1,0.5
01912ECB040,"CAP, SHIPPING",1Y,愛産樹脂工業（株）,B2,B2,TP-342,50,TP342ﾌﾀﾅｼ,1,1,2.12,0.88,3,0.88,0.88,1.1,0.5
019128GA010,"CAP, SHIPPING",1Y,石黒ゴム工業（株）,B2,B2,TP-342,50,TP342ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
01912ECB010,"CAP, SHIPPING",1Y,石黒ゴム工業（株）,A2,A2,TP-332,300,TP332ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
