,品番,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更後）かんばん数,変更後）社内LT,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更後）基準在庫日数
0,019128GA010,0.0,0.0,0.0,1.5873015873015872,10.582010582010582,15.343915343915343,25.396825396825395,25.396825396825395,"BOLT, STUD",3000.0,（株）杉浦製作所,1.0,2.0,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,15.4,手配,189.0,2.1300000000000003,1.1397499731730838,0.9902500268269165,18638.0,399.8532,437.1292,1.07
1,01912ECB010,0.0,0.0,0.0,3.1746031746031744,3.1746031746031744,4.761904761904762,12.698412698412698,12.698412698412698,"BOLT, W/WASHER",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,15.83,手配,63.0,2.78,1.0592948373940114,1.7207051626059884,37268.0,106.59266666666667,119.01533333333334,0.85
2,01912ECB040,0.0,0.40816326530612246,0.0,0.40816326530612246,2.4489795918367347,1.2244897959183674,9.387755102040817,9.387755102040817,"SCREW, HEX LOBULAR",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,13.63,手配,245.0,1.5,0.3197499731730883,1.1802500268269118,18638.0,94.19,168.74200000000002,0.25
3,01912ECB060,0.0,0.0,0.0,14.285714285714285,42.857142857142854,42.857142857142854,0.0,0.0,"PIN, STRAIGHT",2000.0,（株）水野鉄工所,1.0,1.0,1.81,1Y,TP131ﾌﾀﾅｼ,0.006,4.345,手配,7.0,2.52,2.048602098072701,0.47139790192729913,8198.0,16.9861,21.0851,0.78
4,1040043104R,0.0,0.0,0.0,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857,28.57142857142857,"PIN, SLOTTED SPRING",2000.0,トピー実業（株）,1.0,1.0,1.95,1Y,TP131,0.006,5.8,手配,9.0,3.45,2.4400955038094216,1.0099044961905785,37276.0,30.957,34.6846,0.75
5,1040052001Z,0.0,11.538461538461538,3.8461538461538463,11.538461538461538,15.384615384615385,11.538461538461538,34.61538461538461,34.61538461538461,"PLUG, TIGHT",2000.0,ナミコー（株）,1.0,1.0,3.25,1Y,TP331ﾌﾀﾅｼ,0.012,4.7,手配,26.0,2.4050000000000002,1.7368965517241373,0.668103448275863,10440.0,30.666000000000004,32.406000000000006,0.53
6,1040183011P,0.0,0.0,2.631578947368421,2.631578947368421,52.63157894736842,31.57894736842105,5.263157894736842,5.263157894736842,"PLUG, W/HEAD STRAIGHT SCREW",300.0,住友商事（株）鉄鋼部輸送機材,1.0,1.0,3.0,1Y,TP331ﾌﾀﾅｼ,0.012,13.56,手配,38.0,1.1700000000000002,0.9669854824935952,0.20301451750640498,24591.0,27.558280000000003,29.197680000000002,0.54
7,2030044001J,0.0,10.0,10.0,20.0,30.0,20.0,0.0,0.0,"PLUG, W/HEAD STRAIGHT SCREW",300.0,（株）杉浦製作所,1.0,2.0,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,10.36,手配,10.0,1.7349999999999999,1.5646401561356433,0.17035984386435654,8198.0,12.067300000000001,14.116800000000001,0.54
8,2030045013L,22.22222222222222,11.11111111111111,55.55555555555556,0.0,0.0,11.11111111111111,0.0,0.0,"BEARING, RADIAL BALL",80.0,日本精工（株）,1.0,8.0,9.0,1Y,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,0.015,9.301,手配,9.0,1.69,3.170623690166821,-1.480623690166821,47716.0,15.64474,20.41634,0.53
9,2030052002N,0.0,13.513513513513514,10.81081081081081,24.324324324324326,18.91891891891892,13.513513513513514,16.216216216216218,16.216216216216218,SPACER,400.0,アイコー（株）,1.0,2.0,3.92,1Y,TP131ﾌﾀﾅｼ,0.006,1.7,手配,37.0,1.58,1.514057302285652,0.06594269771434802,18638.0,34.06333333333333,40.275999999999996,0.5
10,3040052001B,0.0,7.017543859649122,27.192982456140353,33.33333333333333,11.403508771929824,7.894736842105263,7.017543859649122,7.017543859649122,"PLUG, BREATHER",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.18,手配,115.0,0.75,0.8906231174698817,-0.14062311746988165,84992.0,91.39168000000001,97.05781333333334,0.52
11,33490ECB010,0.057273768613974804,3.2073310423825885,3.722794959908362,27.491408934707906,27.262313860252004,25.085910652920962,11.053837342497136,11.053837342497136,"BOLT, FLANGE",1500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,1748.0,0.9500000000000002,0.850739204684048,0.09926079531595222,8198.0,1683.59,1888.54,0.82
12,33490ECE010,0.04580852038479157,0.5038937242327073,0.9619789280806231,9.894640403114979,22.354557947778286,30.60009161704077,28.53870819972515,28.53870819972515,"BOLT, FLANGE",1000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,11.53,手配,2183.0,1.1500000000000004,0.8341379310344986,0.31586206896550173,10440.0,2117.1000000000004,2378.1000000000004,0.81
13,34989ECB020,0.0,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,16.666666666666664,16.666666666666664,"BOLT, W/WASHER",2500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,13.08,手配,6.0,1.9800000000000004,1.5075745868212065,0.47242541317879394,18636.0,31.19032,38.64472,0.81
14,34989ECB030,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,"BOLT, FLANGE W/WASHER",1000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.43,手配,3.0,3.56,2.1951491736424127,1.3648508263575874,18636.0,15.9088,19.636,0.8
15,34989ECE020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,"CAP, SHIPPING",50.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP342ﾌﾀﾅｼ,0.033,2.11,手配,1.0,4.31,3.0535673261008296,1.25643267389917,4701.0,8.709639999999998,10.590039999999998,0.82
16,35141ECB010,3.7735849056603774,11.320754716981133,32.075471698113205,21.69811320754717,8.49056603773585,11.320754716981133,1.8867924528301887,1.8867924528301887,"CAP, SHIPPING",100.0,日進工業（株）,1.0,1.0,0.81,1Y,TP332,0.022000000000000002,1.1,手配,326.0,0.5699999999999998,0.742956818736276,-0.1729568187362761,8198.0,320.6725,324.9422916666667,0.62
17,35141ECE010,0.0,0.0,1.0638297872340425,7.446808510638298,24.46808510638298,36.17021276595745,26.595744680851062,26.595744680851062,"CAP, SHIPPING",300.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.21,手配,194.0,1.03,0.7506896551724143,0.27931034482758577,10440.0,331.86,336.21000000000004,0.63
