,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,,,,変更前）方率
25,35556ECB010,0,0,0,0,40,0,0,60,0,0,0,15,0,15,20,10,5,35,0,0,15,0,-25,20,10,-55,35,"SHAFT, PARKING LOCK PAWL",100,（株）ギフ加藤製作所,1,2,3.8,1Y,ＡＷ１３１フタナシ,0.005,7,手配,5,21,5.43,1.59,-3.84,1.836927939,3.593072061,1.006160039,0.583839961,17.985,19.983,16.5025,18.5695,,,,
93,9036658A001,0,0,0,0,0,0,8.333333333,33.33333333,58.33333333,0,0,2.173913043,8.695652174,17.39130435,8.695652174,21.73913043,8.695652174,32.60869565,0,0,2.173913043,8.695652174,17.39130435,8.695652174,13.4057971,-24.63768116,-25.72463768,"RACE, TAPERED ROLLER BEARING, INNER",45,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,9.79,手配,12,46,4.63,1.28,-3.35,1.347117573,3.282882427,0.685272018,0.594727982,28.752,37.632,27.182,36.36866667,,,,
94,9036658A002,0,0,0,0,0,0,18.75,6.25,75,0,0,0,1.785714286,8.928571429,7.142857143,33.92857143,14.28571429,33.92857143,0,0,0,1.785714286,8.928571429,7.142857143,15.17857143,8.035714286,-41.07142857,"RACE, TAPERED ROLLER BEARING, OUTER",36,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,5.668,手配,16,56,4.67,1.33,-3.34,1.281694058,3.388305942,0.682217614,0.647782386,36.3,47.4,34.87583333,46.35916667,,,,
85,9036628A005,0,0,0,0,0,12.5,0,18.75,68.75,0,0,0,11.42857143,8.571428571,2.857142857,8.571428571,34.28571429,34.28571429,0,0,0,11.42857143,8.571428571,-9.642857143,8.571428571,15.53571429,-34.46428571,"RACE, TAPERED ROLLER BEARING, INNER",60,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,11.26,手配,16,35,5.04,1.81,-3.23,1.456156764,3.583843236,0.773696023,1.036303977,23.979,30.639,22.359,29.249,,,,
88,9036628A008,0,0,10,0,0,0,10,20,60,0,0,0,0,7.692307692,0,11.53846154,23.07692308,57.69230769,0,0,-10,0,7.692307692,0,1.538461538,3.076923077,-2.307692308,"RACE, TAPERED ROLLER BEARING, OUTER",100,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,10.1,手配,10,26,5.93,2.89,-3.04,1.600856974,4.329143026,0.781149425,2.108850575,18.4993,23.7533,16.428,21.748,,,,
92,9036652A004,0,0,0,0,5.882352941,0,5.882352941,29.41176471,58.82352941,0,0,0,0,7.142857143,9.523809524,23.80952381,23.80952381,35.71428571,0,0,0,0,1.260504202,9.523809524,17.92717087,-5.602240896,-23.1092437,"RACE, TAPERED ROLLER BEARING, OUTER",63,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,7,手配,17,42,4.67,1.705,-2.965,1.385939894,3.284060106,0.696724138,1.008275862,27.18507937,35.5247619,25.06666667,33.51111111,,,,
3,1040052001Z,0,0,0,25,0,0,0,25,50,0,6.666666667,6.666666667,6.666666667,13.33333333,6.666666667,13.33333333,33.33333333,13.33333333,0,6.666666667,6.666666667,-18.33333333,13.33333333,6.666666667,13.33333333,8.333333333,-36.66666667,"PLUG, W/HEAD STRAIGHT SCREW",200,（株）青山製作所,1,6,5.76,1Y,ＴＰ１３１フタナシ,0.006,6.27,手配,4,15,6.31,3.45,-2.86,2.111713949,4.198286051,1.736896552,1.713103448,9.96155,10.39938333,10.049,10.49233333,,,,
57,9011906908,0,0,0,0,0,100,0,0,0,0,50,0,0,0,25,0,0,25,0,50,0,0,0,-75,0,0,25,"BOLT, W/WASHER",2000,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,15.83,手配,2,4,7.03,4.405,-2.625,5.421373489,1.608626511,5.235185572,-0.830185572,4.78821,4.898593333,4.83438,4.947613333,,,,
45,82821ECB040,0,0,0,0,16.66666667,0,33.33333333,16.66666667,33.33333333,0,0,5,5,5,25,10,20,30,0,0,5,5,-11.66666667,25,-23.33333333,3.333333333,-3.333333333,"COVER, CONNECTOR",100,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ３４２フタナシ,0.033,3.3,手配,6,20,4.83,2.3,-2.53,2.006927939,2.823072061,1.147150525,1.152849475,19.5834,21.5814,18.1561,20.2231,,,,
86,9036628A006,0,0,0,0,0,0,22.22222222,22.22222222,55.55555556,0,0,0,0,0,8,16,28,48,0,0,0,0,0,8,-6.222222222,5.777777778,-7.555555556,"RACE, TAPERED ROLLER BEARING, OUTER",80,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,10.94,手配,9,25,4.83,2.34,-2.49,1.601542351,3.228457649,0.824928031,1.515071969,18.73425,23.72925,17.01925,22.18675,,,,
