品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金),当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金)
35300-ECB010,,,"PUMP ASSY, OIL W/MOTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,0001,アイシン精機（株）,12,半田工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-341 ﾊﾝﾖｳ,12,0.91,3,1,04,8.04,,,,,"21,371",23.0,"17,626",20.0,"18,637",18.0,"23,130",22.0,934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,371","17,626","18,637","23,130",934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
35580-ECB011,, A,"ACTUATOR ASSY, SHIFT CONTROL",使用中,かんばん,1Y,第１工場,手配,Ｐ,0001,アイシン精機（株）,12,半田工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-342 ｾﾝﾖｳ,6,0.9,3,1,04,8.04,,,,,"9,491",23.0,"7,069",20.0,"7,935",18.0,"10,590",22.0,400,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,491","7,069","7,935","10,590",400,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
1040 052 001Z,, D,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.53,3,1,06,5.76,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
1040 183 011P,, C,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.54,3,1,06,5.76,,,,,"28,473",23.0,"21,207",20.0,"23,805",18.0,"31,770",22.0,"1,200","1,218","1,236",0,0,"1,500","1,479","1,497","1,494","1,512",0,0,"1,170","1,188","1,188","1,224","1,188",0,0,"1,191","1,155","1,191","1,245","1,173",0,0,"1,065","1,065","1,101","1,167","1,026","28,473","21,207","23,805","31,770","1,200","1,218","1,236",0,0,"1,500","1,479","1,497","1,494","1,512",0,0,"1,170","1,188","1,188","1,224","1,188",0,0,"1,191","1,155","1,191","1,245","1,173",0,0,"1,065","1,065","1,101","1,167","1,026"
3040 052 001B,, C,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.52,3,1,06,5.76,,,,,"97,363",23.0,"81,060",20.0,"85,249",18.0,"105,060",22.0,"4,269","4,259","4,243",0,0,"4,135","4,137","4,131","4,127","4,121",0,0,"4,235","4,229","4,229","4,217","4,229",0,0,"4,228","4,240","4,228","4,530","4,234",0,0,"4,270","4,270","4,258","4,556","3,988","97,363","81,060","85,249","105,060","4,269","4,259","4,243",0,0,"4,135","4,137","4,131","4,127","4,121",0,0,"4,235","4,229","4,229","4,217","4,229",0,0,"4,228","4,240","4,228","4,530","4,234",0,0,"4,270","4,270","4,258","4,556","3,988"
90105-06A003,, A,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.52,3,1,06,5.76,,,,,"37,968",23.0,"28,280",20.0,"31,744",18.0,"42,360",22.0,"1,604","1,624","1,648",0,0,"2,000","1,972","1,996","1,992","2,016",0,0,"1,560","1,584","1,584","1,632","1,584",0,0,"1,588","1,540","1,588","1,660","1,564",0,0,"1,420","1,420","1,468","1,556","1,368","37,968","28,280","31,744","42,360","1,604","1,624","1,648",0,0,"2,000","1,972","1,996","1,992","2,016",0,0,"1,560","1,584","1,584","1,632","1,584",0,0,"1,588","1,540","1,588","1,660","1,564",0,0,"1,420","1,420","1,468","1,556","1,368"
90105-06A089,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.5,3,1,06,5.76,,,,,"42,742",23.0,"35,252",20.0,"37,274",18.0,"46,260",22.0,"1,868","1,866","1,862",0,0,"1,854","1,852","1,852","1,850","1,850",0,0,"1,850","1,850","1,850","1,850","1,850",0,0,"1,850","1,850","1,850","1,978","1,850",0,0,"1,850","1,850","1,850","1,978","1,732","42,742","35,252","37,274","46,260","1,868","1,866","1,862",0,0,"1,854","1,852","1,852","1,850","1,850",0,0,"1,850","1,850","1,850","1,850","1,850",0,0,"1,850","1,850","1,850","1,978","1,850",0,0,"1,850","1,850","1,850","1,978","1,732"
90105-08A014,, B,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.54,3,1,06,5.76,,,,,"807,380",23.0,"669,690",20.0,"705,800",18.0,"872,250",22.0,"35,355","35,290","35,180",0,0,"34,580","34,575","34,545","34,510","34,480",0,0,"35,050","35,020","35,020","34,960","35,020",0,0,"35,015","35,075","35,015","37,485","35,045",0,0,"35,225","35,225","35,165","37,615","32,930","807,380","669,690","705,800","872,250","35,355","35,290","35,180",0,0,"34,580","34,575","34,545","34,510","34,480",0,0,"35,050","35,020","35,020","34,960","35,020",0,0,"35,015","35,075","35,015","37,485","35,045",0,0,"35,225","35,225","35,165","37,615","32,930"
90105-08A042,, D,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.53,3,1,06,5.76,,,,,"47,460",23.0,"35,350",20.0,"39,680",18.0,"52,950",22.0,"2,005","2,030","2,060",0,0,"2,500","2,465","2,495","2,490","2,520",0,0,"1,950","1,980","1,980","2,040","1,980",0,0,"1,985","1,925","1,985","2,075","1,955",0,0,"1,775","1,775","1,835","1,945","1,710","47,460","35,350","39,680","52,950","2,005","2,030","2,060",0,0,"2,500","2,465","2,495","2,490","2,520",0,0,"1,950","1,980","1,980","2,040","1,980",0,0,"1,985","1,925","1,985","2,075","1,955",0,0,"1,775","1,775","1,835","1,945","1,710"
90105-12A018,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,200,0.54,3,1,06,5.76,,,,,"294,420",23.0,"239,792",20.0,"255,388",18.0,"319,920",22.0,"12,812","12,820","12,820",0,0,"13,124","13,084","13,108","13,092","13,116",0,0,"12,660","12,684","12,684","12,732","12,684",0,0,"12,688","12,640","12,688","13,528","12,664",0,0,"12,520","12,520","12,568","13,424","11,760","294,420","239,792","255,388","319,920","12,812","12,820","12,820",0,0,"13,124","13,084","13,108","13,092","13,116",0,0,"12,660","12,684","12,684","12,732","12,684",0,0,"12,688","12,640","12,688","13,528","12,664",0,0,"12,520","12,520","12,568","13,424","11,760"
