,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX
0,019128GA010,0.0,0.0,36.84210526315789,10.526315789473683,0.0,0.0,5.263157894736842,15.789473684210526,31.57894736842105,0.0,0.0,0.0,1.0752688172043012,7.526881720430108,9.67741935483871,16.129032258064516,15.053763440860216,50.53763440860215,0.0,0.0,-36.84210526315789,-9.451046972269381,7.526881720430108,9.67741935483871,10.865874363327674,-0.7357102433503098,18.9586870401811,"CAP, SHIPPING",50.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３４２フタナシ,0.033,2.11,手配,19.0,93.0,2.86,3.51,0.6499999999999999,1.4414337185906154,1.4185662814093845,1.1397499731730845,2.3702500268269153,101.97500000000001,111.22500000000001,102.15780000000001,111.61180000000002
1,01912ECB010,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,33.33333333333333,55.55555555555556,0.0,0.0,0.0,0.0,0.0,6.451612903225806,9.67741935483871,16.129032258064516,67.74193548387096,0.0,0.0,0.0,0.0,-11.11111111111111,6.451612903225806,9.67741935483871,-17.204301075268813,12.186379928315404,"CAP, SHIPPING",300.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３３２フタナシ,0.022000000000000002,3.21,手配,9.0,31.0,5.86,3.52,-2.3400000000000003,1.7644598389814654,4.095540161018535,1.0592948373940114,2.4607051626059886,29.208333333333332,32.291666666666664,27.78633333333333,30.937666666666665
2,1040043104R,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0,0.0,37.5,25.0,0.0,0.0,0.0,12.5,0.0,25.0,-100.0,37.5,25.0,"PIN, STRAIGHT",1000.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1Y,ＡＷ１３１フタナシ,0.005,13.4,手配,1.0,9.0,5.130000000000001,6.110000000000001,0.9800000000000004,2.724337185906134,2.405662814093867,2.440095503809421,3.66990449619058,9.9375,10.8625,10.0905,11.0359
3,1040052001Z,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,6.666666666666667,6.666666666666667,6.666666666666667,13.333333333333334,6.666666666666667,13.333333333333334,33.33333333333333,13.333333333333334,0.0,6.666666666666667,6.666666666666667,-18.333333333333332,13.333333333333334,6.666666666666667,13.333333333333334,8.333333333333329,-36.666666666666664,"PLUG, W/HEAD STRAIGHT SCREW",200.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ１３１フタナシ,0.006,6.27,手配,4.0,15.0,6.3100000000000005,3.45,-2.8600000000000003,2.111713948985604,4.198286051014397,1.7368965517241375,1.7131034482758627,9.961549999999999,10.399383333333333,10.049,10.492333333333333
4,1040183011P,0.0,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,0.0,58.333333333333336,25.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,25.000000000000007,25.0,-33.33333333333333,-33.33333333333333,16.666666666666664,"BOLT, FLANGE",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.38,手配,3.0,12.0,3.3000000000000007,1.19,-2.1100000000000008,2.1616742176799066,1.138325782320094,0.9669854824935951,0.22301451750640489,9.47352,9.87312,7.69708,8.110479999999999
5,2030052002N,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,13.333333333333334,0.0,6.666666666666667,20.0,13.333333333333334,20.0,20.0,6.666666666666667,0.0,13.333333333333334,0.0,-18.333333333333332,20.0,-11.666666666666666,-5.0,-5.0,6.666666666666667,"PLUG, W/HEAD STRAIGHT SCREW",300.0,（株）杉浦製作所,1.0,2.0,1.06,1Y,ＴＰ３３１フタナシ,0.012,9.85,手配,6.0,15.0,3.315,1.97,-1.345,1.9486023115436808,1.3663976884563191,1.5140573022856532,0.4559426977143468,10.708333333333332,12.249999999999998,10.878333333333334,12.454
6,3040052001B,0.0,16.666666666666664,33.33333333333333,41.66666666666667,0.0,0.0,0.0,8.333333333333332,0.0,0.0,10.526315789473683,18.421052631578945,21.052631578947366,13.157894736842104,0.0,7.894736842105263,5.263157894736842,23.684210526315788,0.0,-6.140350877192981,-14.912280701754383,-20.614035087719305,13.157894736842104,0.0,7.894736842105263,-3.0701754385964906,23.684210526315788,"PLUG, W/HEAD STRAIGHT SCREW",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,11.97,手配,12.0,39.0,0.88,0.8900000000000001,0.01000000000000012,1.3043440526688796,-0.42434405266887965,0.890623117469879,-0.0006231174698788644,24.97208,26.380546666666664,25.43072,26.86858666666667
7,33490ECB010,0.0,0.0,15.172413793103448,5.517241379310345,0.0,11.03448275862069,44.827586206896555,11.03448275862069,12.413793103448276,0.1941747572815534,1.5533980582524272,2.524271844660194,22.9126213592233,27.378640776699033,22.52427184466019,6.796116504854369,0.7766990291262136,15.339805825242719,0.1941747572815534,1.5533980582524272,-12.648141948443254,17.395379979912956,27.378640776699033,11.4897890860395,-38.03146970204219,-10.257783729494477,2.926012721794443,"COOLER ASSY, OIL",4.0,マレリ（株）,1.0,2.0,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,手配,145.0,515.0,2.05,0.9900000000000002,-1.0599999999999996,1.2590771175726987,0.7909228824273011,0.8507392046840677,0.1392607953159325,412.59,462.53999999999996,426.73499999999996,478.40999999999997
8,33490ECE010,0.0,0.0,17.1875,32.8125,0.0,4.6875,29.6875,6.25,9.375,0.14705882352941177,1.1764705882352942,1.911764705882353,11.617647058823529,21.029411764705884,19.852941176470587,21.764705882352942,4.5588235294117645,17.941176470588236,0.14705882352941177,1.1764705882352942,-15.275735294117647,-21.19485294117647,21.029411764705884,15.165441176470587,-7.922794117647058,-1.6911764705882355,8.566176470588236,"COOLER ASSY, OIL",4.0,マレリ（株）,1.0,2.0,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,手配,128.0,680.0,1.4449999999999998,1.1900000000000004,-0.25499999999999945,1.2532342789797115,0.19176572102028833,0.8341379310344661,0.3558620689655343,534.9675000000001,600.6425,541.6500000000001,608.1500000000001
9,35145ECB010,0.0,0.0,0.0,0.0,10.0,0.0,40.0,30.0,20.0,0.0,0.0,15.0,0.0,10.0,5.0,20.0,15.0,35.0,0.0,0.0,15.0,0.0,0.0,5.0,-20.0,-15.0,15.0,"PLATE, OIL",100.0,三共鋼業（株）,1.0,1.0,1.74,1Y,ＴＰ１３１フタナシ,0.006,4.63,手配,10.0,20.0,3.51,2.8249999999999997,-0.685,1.7569279393173205,1.7530720606826793,1.3884801171017314,1.4365198828982684,15.3876,19.3836,15.8154,19.9494
10,35145ECE010,0.0,8.333333333333332,16.666666666666664,0.0,8.333333333333332,0.0,0.0,16.666666666666664,50.0,0.0,0.0,0.0,0.0,7.4074074074074066,11.11111111111111,7.4074074074074066,18.51851851851852,55.55555555555556,0.0,-8.333333333333332,-16.666666666666664,0.0,-0.9259259259259256,11.11111111111111,7.4074074074074066,1.8518518518518547,5.555555555555557,"PLATE, OIL",100.0,三共鋼業（株）,1.0,1.0,1.74,1Y,ＴＰ１３１フタナシ,0.006,3.61,手配,12.0,27.0,5.0,2.74,-2.26,1.6108569744928036,3.389143025507196,0.8511494252873566,1.8888505747126436,20.0755,25.329500000000003,18.290000000000003,23.610000000000003
11,35145ECE020,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,3.7037037037037033,14.814814814814813,7.4074074074074066,7.4074074074074066,14.814814814814813,7.4074074074074066,44.44444444444444,0.0,0.0,3.7037037037037033,14.814814814814813,-17.592592592592595,7.4074074074074066,-10.185185185185187,-17.592592592592595,19.444444444444443,"PLATE, OIL",100.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,ＴＰ３３１フタナシ,0.012,1.2,手配,4.0,27.0,3.3499999999999996,2.06,-1.2899999999999996,1.6608569744928021,1.6891430255071975,0.8511494252873566,1.2088505747126435,20.0755,21.389000000000003,18.290000000000003,19.620000000000005
12,35174ECB010,0.0,0.0,14.285714285714285,9.523809523809524,0.0,14.285714285714285,23.809523809523807,19.047619047619047,19.047619047619047,0.0,5.825242718446602,14.563106796116504,14.563106796116504,11.650485436893204,6.796116504854369,13.592233009708737,8.737864077669903,24.271844660194176,0.0,5.825242718446602,0.277392510402219,5.03929727230698,11.650485436893204,-7.489597780859916,-10.21729079981507,-10.309754969949145,5.224225612575129,"PLATE, OIL RESERVOIR LOCK",20.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,ＴＰ３３２フタナシ,0.022000000000000002,3.52,手配,21.0,103.0,1.9,1.2800000000000002,-0.6199999999999997,1.2253855878634645,0.6746144121365354,0.921232007806781,0.3587679921932192,89.91300000000001,94.90800000000002,90.91449999999999,96.082
13,35174ECE010,0.0,0.0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0.0,44.44444444444444,11.11111111111111,0.0,0.0,3.0303030303030303,3.0303030303030303,3.0303030303030303,10.606060606060606,18.181818181818183,24.242424242424242,37.878787878787875,0.0,0.0,-8.08080808080808,-8.08080808080808,-8.08080808080808,-0.5050505050505052,18.181818181818183,-20.2020202020202,26.767676767676765,"PLATE, OIL RESERVOIR LOCK",40.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,ＴＰ３３２フタナシ,0.022000000000000002,4.85,手配,9.0,66.0,2.6500000000000004,2.175,-0.47500000000000053,1.312342789797121,1.3376572102028794,0.9504597701149426,1.2245402298850572,60.137249999999995,63.42099999999999,58.855,62.18
14,35174ECE020,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,16.666666666666664,3.3333333333333335,0.0,0.0,6.666666666666667,6.666666666666667,26.666666666666668,40.0,0.0,16.666666666666664,-16.666666666666668,0.0,0.0,6.666666666666667,-13.333333333333332,6.666666666666668,0.0,"PLATE, OIL RESERVOIR LOCK",90.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,ＴＰ３３１フタナシ,0.012,1.795,手配,5.0,30.0,4.07,2.9299999999999997,-1.1400000000000006,1.6027712770435227,2.4672287229564773,1.1731034482758609,1.7568965517241388,21.389,22.848444444444443,21.62,23.09777777777778
15,3519510A010,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0,0.0,-100.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",600.0,中庸スプリング（株）,1.0,2.0,2.34,1Y,ＡＷ１３１フタナシ,0.006,3.7,手配,1.0,4.0,2.01,14.04,12.03,5.381567635903918,-3.3715676359039186,2.166960234203464,11.873039765796534,5.0979,5.4309,3.17035,3.51485
16,35195ECE010,0.0,0.0,0.0,25.0,0.0,12.5,25.0,0.0,37.5,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,28.57142857142857,28.57142857142857,14.285714285714285,0.0,0.0,14.285714285714285,-25.0,0.0,1.7857142857142847,3.5714285714285694,28.57142857142857,-23.214285714285715,"CLAMP, TUBE",400.0,三共鋼業（株）,1.0,1.0,1.74,1Y,ＴＰ１３１フタナシ,0.006,3.44,手配,8.0,14.0,3.965,3.27,-0.6949999999999998,2.1917139489856066,1.7732860510143933,1.8268965517241391,1.443103448275861,11.143699999999999,13.770699999999998,11.246,13.906
