品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土)
35300-ECB010,35300ECB010,,"PUMP ASSY, OIL W/MOTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-341 ﾊﾝﾖｳ,12,0.91,3,1,4,8.04,,,78.91666667,947,"18,638",21,"18,542",22,"21,120",22,0,20,880,0,0,946,945,946,945,945,0,0,845,945,846,947,846,0,0,878,877,879,877,815,0,0,877,877,822,878,822,0,,"18,638","18,542","21,120",0,880,0,0,946,945,946,945,945,0,0,845,945,846,947,846,0,0,878,877,879,877,815,0,0,877,877,822,878,822,0
35580-6GA020,355806GA020, A,"ACTUATOR ASSY, SHIFT CONTROL",使用中,かんばん,1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-342 ｾﾝﾖｳ,6,0.7,3,1,4,8.04,,,0,0,0,21,0,22,42,22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35580-ECB011,35580ECB011, B,"ACTUATOR ASSY, SHIFT CONTROL",使用中,かんばん,1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-342 ｾﾝﾖｳ,6,0.9,3,1,4,8.04,,,70.5,423,"8,197",21,"7,412",22,"9,306",22,0,20,393,0,0,411,411,417,411,417,0,0,383,423,383,423,384,0,0,384,384,379,378,360,0,0,384,384,355,379,354,0,,"8,197","7,412","9,306",0,393,0,0,411,411,417,411,417,0,0,383,423,383,423,384,0,0,384,384,379,378,360,0,0,384,384,355,379,354,0
1040 052 001Z,1040052001Z, D,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.53,3,1,6,5.76,,,2.675,535,"10,440",21,"11,129",22,"11,729",22,0,20,487,0,0,535,534,529,534,528,0,0,462,522,463,523,462,0,0,494,493,500,499,455,0,0,493,493,467,499,468,0,,"10,440","11,129","11,729",0,487,0,0,535,534,529,534,528,0,0,462,522,463,523,462,0,0,494,493,500,499,455,0,0,493,493,467,499,468,0
1040 183 011P,1040183011P, C,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.54,1,1,6,5.76,,,2.538,1269,"24,591",21,"22,236",22,"28,044",22,0,20,"1,179",0,0,"1,233","1,233","1,251","1,233","1,251",0,0,"1,149","1,269","1,149","1,269","1,152",0,0,"1,152","1,152","1,137","1,134","1,080",0,0,"1,152","1,152","1,065","1,137","1,062",0,,"24,591","22,236","28,044",0,"1,179",0,0,"1,233","1,233","1,251","1,233","1,251",0,0,"1,149","1,269","1,149","1,269","1,152",0,0,"1,152","1,152","1,137","1,134","1,080",0,0,"1,152","1,152","1,065","1,137","1,062",0
3040 052 001B,3040052001B, C,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.52,3,1,6,5.76,,,8.638,4319,"84,992",21,"85,297",22,"95,999",22,0,20,"4,007",0,0,"4,319","4,314","4,313","4,314","4,308",0,0,"3,842","4,302","3,847","4,311","3,846",0,0,"4,006","4,001","4,016","4,007","3,715",0,0,"4,001","4,001","3,755","4,011","3,756",0,,"84,992","85,297","95,999",0,"4,007",0,0,"4,319","4,314","4,313","4,314","4,308",0,0,"3,842","4,302","3,847","4,311","3,846",0,0,"4,006","4,001","4,016","4,007","3,715",0,0,"4,001","4,001","3,755","4,011","3,756",0
90105-06A003,9010506A003, A,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.52,1,1,6,5.76,,,0.848,1696,"32,792",21,"29,652",22,"37,228",22,0,20,"1,572",0,0,"1,644","1,644","1,668","1,644","1,668",0,0,"1,532","1,692","1,532","1,696","1,536",0,0,"1,536","1,536","1,516","1,512","1,440",0,0,"1,536","1,536","1,420","1,516","1,416",0,,"32,792","29,652","37,228",0,"1,572",0,0,"1,644","1,644","1,668","1,644","1,668",0,0,"1,532","1,692","1,532","1,696","1,536",0,0,"1,536","1,536","1,516","1,512","1,440",0,0,"1,536","1,536","1,420","1,516","1,416",0
90105-06A089,9010506A089,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.5,3,1,6,5.76,,,1.262666667,1894,"37,276",21,"37,084",22,"42,198",22,0,20,"1,760",0,0,"1,892","1,890","1,892","1,890","1,890",0,0,"1,690","1,890","1,692","1,894","1,692",0,0,"1,756","1,754","1,758","1,754","1,630",0,0,"1,754","1,754","1,644","1,756","1,644",0,,"37,276","37,084","42,198",0,"1,760",0,0,"1,892","1,890","1,892","1,890","1,890",0,0,"1,690","1,890","1,692","1,894","1,692",0,0,"1,756","1,754","1,758","1,754","1,630",0,0,"1,754","1,754","1,644","1,756","1,644",0
90105-08A014,9010508A014, B,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.54,3,1,6,5.76,,,71.57,35785,"704,530",21,"704,615",22,"796,207",22,0,20,"33,235",0,0,"35,785","35,745","35,755","35,745","35,715",0,0,"31,885","35,685","31,925","35,760","31,920",0,0,"33,200","33,160","33,265","33,190","30,800",0,0,"33,160","33,160","31,105","33,225","31,110",0,,"704,530","704,615","796,207",0,"33,235",0,0,"35,785","35,745","35,755","35,745","35,715",0,0,"31,885","35,685","31,925","35,760","31,920",0,0,"33,200","33,160","33,265","33,190","30,800",0,0,"33,160","33,160","31,105","33,225","31,110",0
90105-08A042,9010508A042, D,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.53,1,1,6,5.76,,,7.066666667,2120,"40,990",21,"37,065",22,"46,535",22,0,20,"1,965",0,0,"2,055","2,055","2,085","2,055","2,085",0,0,"1,915","2,115","1,915","2,120","1,920",0,0,"1,920","1,920","1,895","1,890","1,800",0,0,"1,920","1,920","1,775","1,895","1,770",0,,"40,990","37,065","46,535",0,"1,965",0,0,"2,055","2,055","2,085","2,055","2,085",0,0,"1,915","2,115","1,915","2,120","1,920",0,0,"1,920","1,920","1,895","1,890","1,800",0,0,"1,920","1,920","1,775","1,895","1,770",0
