,かんばんシリアル,伝票番号,拠点所番地,品番,品名,収容数,仕入先名,仕入先工場名,ステータス,納入日,納入便,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,日量数,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態,設計値_検収入庫LT,設計値_入庫出庫LT,設計値_出庫回収LT,差分_検収入庫LT,差分_入庫出庫LT,差分_出庫回収LT,設計値_出庫回収LT（基準在庫枚数込み）,差分_出庫回収LT（基準在庫枚数込み）
7583,1Z23J00000479,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 16:19,2023/9/7 1:32,2023/9/7 3:40,0.13,3.09,3.4,5.78,5.87,2023/9/10 13:22,2.96,0.31,2.38,0.09,2.78,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,2.78,異常5,0.44,0.18,0.11,-0.13,2.2,-0.02,0.122068966,-0.032068966
7584,1Z23J00000480,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 16:19,2023/9/5 1:25,2023/9/5 3:36,0.13,3.09,3.4,3.78,3.87,2023/9/8 13:23,2.96,0.31,0.38,0.09,0.78,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.78,異常1,0.44,0.18,0.11,-0.13,0.2,-0.02,0.122068966,-0.032068966
7585,1Z23J00000481,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 16:19,2023/9/5 12:19,2023/9/5 14:55,0.13,3.09,3.4,4.23,4.34,2023/9/8 13:23,2.96,0.31,0.83,0.11,1.25,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,1.25,異常3,0.44,0.18,0.11,-0.13,0.65,-5.69E-16,0.122068966,-0.012068966
7586,1Z23J00000482,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 16:19,2023/9/5 1:26,2023/9/5 3:36,0.13,3.09,3.4,3.78,3.87,2023/9/8 13:23,2.96,0.31,0.38,0.09,0.78,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.78,異常1,0.44,0.18,0.11,-0.13,0.2,-0.02,0.122068966,-0.032068966
7587,1Z23J00000483,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 22:11,2023/9/5 1:53,2023/9/5 4:18,0.13,3.09,3.64,3.8,3.9,2023/9/8 13:23,2.96,0.55,0.16,0.1,0.81,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.81,異常1,0.44,0.18,0.11,0.11,-0.02,-0.01,0.122068966,-0.022068966
7588,1Z23J00000484,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 22:14,2023/9/7 1:11,2023/9/7 3:40,0.13,3.09,3.64,5.77,5.87,2023/9/10 13:22,2.96,0.55,2.13,0.1,2.78,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,2.78,異常5,0.44,0.18,0.11,0.11,1.95,-0.01,0.122068966,-0.022068966
7589,1Z23J00000485,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 22:18,2023/9/7 2:02,2023/9/7 4:32,0.13,3.09,3.65,5.8,5.91,2023/9/10 13:22,2.96,0.56,2.15,0.11,2.82,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,2.82,異常5,0.44,0.18,0.11,0.12,1.97,3.19E-16,0.122068966,-0.012068966
7590,1Z23J00000486,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 22:24,2023/9/7 4:19,2023/9/7 6:25,0.13,3.09,3.65,5.9,5.98,2023/9/10 13:22,2.96,0.56,2.25,0.08,2.89,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,2.89,異常5,0.44,0.18,0.11,0.12,2.07,-0.03,0.122068966,-0.042068966
7591,1Z23J00000487,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 22:21,2023/9/5 4:35,2023/9/5 7:16,0.13,3.09,3.65,3.91,4.02,2023/9/8 13:23,2.96,0.56,0.26,0.11,0.93,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.93,異常2,0.44,0.18,0.11,0.12,0.08,-5.69E-16,0.122068966,-0.012068966
7592,1Z23J00000488,XCEP550,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/4 0:00,1,2023/9/1 6:47,2023/9/1 9:53,2023/9/4 9:04,2023/9/4 22:17,2023/9/5 3:35,2023/9/5 5:23,0.13,3.09,3.65,3.87,3.94,2023/9/8 13:23,2.96,0.56,0.22,0.07,0.85,534,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.85,異常1,0.44,0.18,0.11,0.12,0.04,-0.04,0.122068966,-0.052068966
