,ROWID,かんばんシリアル,伝票番号,品番,品名,収容数,仕入先名,仕入先工場名,納入日,納入便,ステータス,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,整備室コード,前工程コード,前工程工場コード,拠点所番地,結合キー,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,日量数,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態,設計値_検収入庫LT,設計値_入庫出庫LT,設計値_出庫回収LT,設計値_出庫回収LT（基準在庫枚数込み）,差分_検収入庫LT,差分_入庫出庫LT,差分_出庫回収LT,差分_出庫回収LT（基準在庫枚数込み）
1458,43977,1Z23F00013202,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:21,2023/6/15 16:03,2023/6/16 0:23,0.14,6.37,7.12,8.4,8.74,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00013202XBSS700351710LC010    30072,6.23,0.75,1.28,0.34,2.37,,,,,,,,,,,,,,,,,,,,,,,,
1461,43980,1Z23F00013407,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:14,2023/6/15 16:02,2023/6/16 1:07,0.14,6.37,7.11,8.4,8.78,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00013407XBSS700351710LC010    30072,6.23,0.74,1.29,0.38,2.41,,,,,,,,,,,,,,,,,,,,,,,,
1471,43991,1Z23F00014776,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:20,2023/6/15 18:54,2023/6/16 3:35,0.14,6.37,7.12,8.52,8.88,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00014776XBSS700351710LC010    30072,6.23,0.75,1.4,0.36,2.51,,,,,,,,,,,,,,,,,,,,,,,,
1475,43995,1Z23F00015435,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:16,2023/6/15 23:08,2023/6/16 6:01,0.14,6.37,7.12,8.69,8.98,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00015435XBSS700351710LC010    30072,6.23,0.75,1.57,0.29,2.61,,,,,,,,,,,,,,,,,,,,,,,,
1478,43998,1Z23F00015835,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:18,2023/6/15 17:23,2023/6/16 1:46,0.14,6.37,7.12,8.45,8.8,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00015835XBSS700351710LC010    30072,6.23,0.75,1.33,0.35,2.43,,,,,,,,,,,,,,,,,,,,,,,,
1479,43999,1Z23F00015837,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:21,2023/6/15 17:34,2023/6/16 1:07,0.14,6.37,7.12,8.46,8.78,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00015837XBSS700351710LC010    30072,6.23,0.75,1.34,0.32,2.41,,,,,,,,,,,,,,,,,,,,,,,,
1487,44007,1Z23F00016621,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:25,2023/6/16 0:21,2023/6/16 6:42,0.14,6.37,7.12,8.74,9.01,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00016621XBSS700351710LC010    30072,6.23,0.75,1.62,0.27,2.64,,,,,,,,,,,,,,,,,,,,,,,,
1493,44013,1Z23F00016964,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:23,2023/6/15 17:24,2023/6/16 1:46,0.14,6.37,7.12,8.45,8.8,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00016964XBSS700351710LC010    30072,6.23,0.75,1.33,0.35,2.43,,,,,,,,,,,,,,,,,,,,,,,,
1496,44016,1Z23F00017169,XBSS700,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/13 0:00,1,回収済,2023/6/7 6:30,2023/6/7 9:55,2023/6/13 15:18,2023/6/14 9:24,2023/6/15 23:05,2023/6/16 5:25,0.14,6.37,7.12,8.69,8.95,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00017169XBSS700351710LC010    30072,6.23,0.75,1.57,0.26,2.58,,,,,,,,,,,,,,,,,,,,,,,,
1500,44020,1Z23F00017960,XBTA050,9036628A008    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,100,（株）ジェイテクト,香川工場,2023/6/12 0:00,1,回収済,2023/6/8 8:56,2023/6/8 11:06,2023/6/12 9:15,2023/6/12 17:42,2023/6/16 0:14,2023/6/16 6:00,0.09,4.01,4.37,7.64,7.88,2023/6/19 13:22,1Y,1814,2,40132,1Z23F00017960XBTA0509036628A008    40132,3.92,0.36,3.27,0.24,3.87,535,543.5909091,0.551885609,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,10.1,0.81,3,手配,1.361885609,3.87,異常4,0.43,0.29,0.09,0.641885609,-0.07,2.98,0.15,-0.401885609
1503,44023,1Z23F00018382,XBTA240,354710LC010    ,ｶﾊﾞｰﾊﾞﾙﾌﾞﾎﾞﾃﾞｨｰ               ,45,（株）旭工業所,本社工場,2023/6/12 0:00,1,回収済,2023/6/8 9:55,2023/6/8 13:00,2023/6/12 11:06,2023/6/12 16:50,2023/6/14 12:33,2023/6/16 1:46,0.13,4.05,4.29,6.11,7.66,2023/6/19 13:22,1Z,38,1,30103,1Z23F00018382XBTA240354710LC010    30103,3.92,0.24,1.82,1.55,3.61,,,,,,,,,,,,,,,,,,,,,,,,
1504,44024,1Z23F00018540,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 22:53,2023/6/15 15:28,2023/6/16 0:23,0.11,5.12,5.52,7.21,7.58,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00018540XBTA360G117362010     30468,5.01,0.4,1.69,0.37,2.46,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.46,異常4,0.43,0.41,0.11,0.166000754,-0.03,1.28,0.26,0.203999246
1505,44025,1Z23F00018602,XBSY840,351710LC010    ,ｶﾊﾞｰﾛｰﾀ                       ,8,新日工業（株）,本社工場,2023/6/14 0:00,1,回収済,2023/6/8 6:13,2023/6/8 9:36,2023/6/14 15:26,2023/6/15 6:15,2023/6/15 18:53,2023/6/16 4:17,0.14,6.38,7,7.53,7.92,2023/6/19 13:22,1Z,2252,1,30072,1Z23F00018602XBSY840351710LC010    30072,6.24,0.62,0.53,0.39,1.54,,,,,,,,,,,,,,,,,,,,,,,,
1507,44027,1Z23F00018711,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 23:01,2023/6/15 16:24,2023/6/16 0:23,0.11,5.12,5.52,7.25,7.58,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00018711XBTA360G117362010     30468,5.01,0.4,1.73,0.33,2.46,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.46,異常4,0.43,0.41,0.11,0.166000754,-0.03,1.32,0.22,0.163999246
