,ROWID,かんばんシリアル,伝票番号,品番,品名,収容数,仕入先名,仕入先工場名,納入日,納入便,ステータス,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,整備室コード,前工程コード,前工程工場コード,拠点所番地,結合キー,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,日量数,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態,設計値_検収入庫LT,設計値_入庫出庫LT,設計値_出庫回収LT,設計値_出庫回収LT（基準在庫枚数込み）,差分_検収入庫LT,差分_入庫出庫LT,差分_出庫回収LT,差分_出庫回収LT（基準在庫枚数込み）
1500,44020,1Z23F00017960,XBTA050,9036628A008    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,100,（株）ジェイテクト,香川工場,2023/6/12 0:00,1,回収済,2023/6/8 8:56,2023/6/8 11:06,2023/6/12 9:15,2023/6/12 17:42,2023/6/16 0:14,2023/6/16 6:00,0.09,4.01,4.37,7.64,7.88,2023/6/19 13:22,1Y,1814,2,40132,1Z23F00017960XBTA0509036628A008    40132,3.92,0.36,3.27,0.24,3.87,535,543.5909091,0.551885609,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,10.1,0.81,3,手配,1.361885609,3.87,異常4,0.43,0.29,0.09,0.641885609,-0.07,2.98,0.15,-0.401885609
1504,44024,1Z23F00018540,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 22:53,2023/6/15 15:28,2023/6/16 0:23,0.11,5.12,5.52,7.21,7.58,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00018540XBTA360G117362010     30468,5.01,0.4,1.69,0.37,2.46,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.46,異常4,0.43,0.41,0.11,0.166000754,-0.03,1.28,0.26,0.203999246
1507,44027,1Z23F00018711,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 23:01,2023/6/15 16:24,2023/6/16 0:23,0.11,5.12,5.52,7.25,7.58,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00018711XBTA360G117362010     30468,5.01,0.4,1.73,0.33,2.46,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.46,異常4,0.43,0.41,0.11,0.166000754,-0.03,1.32,0.22,0.163999246
1515,44035,1Z23F00019248,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 23:05,2023/6/15 22:52,2023/6/16 1:46,0.11,5.12,5.53,7.52,7.64,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00019248XBTA360G117362010     30468,5.01,0.41,1.99,0.12,2.52,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.52,異常4,0.43,0.41,0.11,0.166000754,-0.02,1.58,0.01,-0.046000754
1517,44037,1Z23F00019556,XBTA050,9036628A008    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,100,（株）ジェイテクト,香川工場,2023/6/12 0:00,1,回収済,2023/6/8 8:56,2023/6/8 11:06,2023/6/12 9:15,2023/6/12 17:33,2023/6/15 14:20,2023/6/16 3:35,0.09,4.01,4.36,7.23,7.78,2023/6/19 13:22,1Y,1814,2,40132,1Z23F00019556XBTA0509036628A008    40132,3.92,0.35,2.87,0.55,3.77,535,543.5909091,0.551885609,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,10.1,0.81,3,手配,1.361885609,3.77,異常4,0.43,0.29,0.09,0.641885609,-0.08,2.58,0.46,-0.091885609
1519,44039,1Z23F00019621,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 22:45,2023/6/16 4:10,2023/6/16 6:42,0.11,5.12,5.51,7.74,7.84,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00019621XBTA360G117362010     30468,5.01,0.39,2.23,0.1,2.72,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.72,異常4,0.43,0.41,0.11,0.166000754,-0.04,1.82,-0.01,-0.066000754
1522,44042,1Z23F00019990,XBTA050,9036628A007    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,72,（株）ジェイテクト,香川工場,2023/6/12 0:00,1,回収済,2023/6/8 8:56,2023/6/8 11:06,2023/6/12 9:15,2023/6/12 17:46,2023/6/15 23:13,2023/6/16 4:17,0.09,4.01,4.37,7.6,7.81,2023/6/19 13:22,1Y,1814,2,40134,1Z23F00019990XBTA0509036628A007    40134,3.92,0.36,3.23,0.21,3.8,535,543.5909091,0.397357639,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,11.644,0.81,3,手配,1.207357639,3.8,異常5,0.43,0.29,0.09,0.487357639,-0.07,2.94,0.12,-0.277357639
1523,44043,1Z23F00020061,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 22:46,2023/6/16 4:44,2023/6/16 7:37,0.11,5.12,5.51,7.76,7.88,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00020061XBTA360G117362010     30468,5.01,0.39,2.25,0.12,2.76,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.76,異常4,0.43,0.41,0.11,0.166000754,-0.04,1.84,0.01,-0.046000754
1524,44044,1Z23F00020062,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 22:54,2023/6/16 1:39,2023/6/16 4:17,0.11,5.12,5.52,7.63,7.74,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00020062XBTA360G117362010     30468,5.01,0.4,2.11,0.11,2.62,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.62,異常4,0.43,0.41,0.11,0.166000754,-0.03,1.7,3.19E-16,-0.056000754
1525,44045,1Z23F00020065,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 23:08,2023/6/15 23:08,2023/6/16 1:46,0.11,5.12,5.53,7.53,7.64,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00020065XBTA360G117362010     30468,5.01,0.41,2,0.11,2.52,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.52,異常4,0.43,0.41,0.11,0.166000754,-0.02,1.59,-5.69E-16,-0.056000754
1541,44062,1Z23F00020803,XBTB440,82821ECB020    ,ｶﾊﾞ-ｺﾈｸﾀ-                     ,200,石黒ゴム工業（株）,,2023/6/12 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/12 9:30,2023/6/13 0:45,2023/6/15 12:16,2023/6/16 1:46,0.11,3.96,4.6,7.08,7.64,2023/6/19 13:22,1Y,208,1,10458,1Z23F00020803XBTB44082821ECB020    10458,3.85,0.64,2.48,0.56,3.68,947,964.2727273,0.622230602,1,2,3.64,1Y,TP131ﾌﾀﾅｼ,0.006,3.01,1.07,3,手配,1.692230602,3.68,異常4,0.43,0.53,0.11,0.732230602,0.21,1.95,0.45,-0.172230602
1542,44063,1Z23F00020805,XBTB440,82821ECB050    ,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,石黒ゴム工業（株）,,2023/6/12 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/12 9:30,2023/6/13 0:49,2023/6/15 23:31,2023/6/16 4:17,0.11,3.96,4.6,7.54,7.74,2023/6/19 13:22,1Y,208,1,30466,1Z23F00020805XBTB44082821ECB050    30466,3.85,0.64,2.94,0.2,3.78,946,964.0909091,0.311173975,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,1.07,3,手配,1.381173975,3.78,異常4,0.43,0.53,0.11,0.421173975,0.21,2.41,0.09,-0.221173975
1543,44064,1Z23F00020807,XBTB440,82821ECE010    ,ｶﾊﾞ-ｺﾈｸﾀ-                     ,50,石黒ゴム工業（株）,,2023/6/12 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/12 9:30,2023/6/13 0:49,2023/6/16 3:17,2023/6/16 6:00,0.11,3.96,4.6,7.7,7.81,2023/6/19 13:22,1Y,208,1,30467,1Z23F00020807XBTB44082821ECE010    30467,3.85,0.64,3.1,0.11,3.85,535,543.5454545,0.275965881,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,1.07,3,手配,1.345965881,3.85,異常4,0.43,0.53,0.11,0.385965881,0.21,2.57,-5.69E-16,-0.275965881
1545,44066,1Z23F00020891,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 23:09,2023/6/15 16:24,2023/6/16 0:23,0.11,5.12,5.53,7.25,7.58,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00020891XBTA360G117362010     30468,5.01,0.41,1.72,0.33,2.46,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.46,異常4,0.43,0.41,0.11,0.166000754,-0.02,1.31,0.22,0.163999246
1546,44067,1Z23F00020892,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 23:10,2023/6/16 0:17,2023/6/16 3:35,0.11,5.12,5.53,7.58,7.71,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00020892XBTA360G117362010     30468,5.01,0.41,2.05,0.13,2.59,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.59,異常4,0.43,0.41,0.11,0.166000754,-0.02,1.64,0.02,-0.036000754
1547,44068,1Z23F00020895,XBTB490,9030106A018    ,ﾘﾝｸﾞO                         ,2000,ＮＯＫ（株）,,2023/6/12 0:00,1,回収済,2023/6/8 11:44,2023/6/8 15:00,2023/6/12 10:15,2023/6/12 14:44,2023/6/15 5:43,2023/6/16 1:46,0.14,3.94,4.12,6.75,7.58,2023/6/19 13:22,1Y,4241,1,10416,1Z23F00020895XBTB4909030106A018    10416,3.8,0.18,2.63,0.83,3.64,"5,024",5119.136364,1.172072704,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.6,0.8,3,手配,1.972072704,3.64,異常3,0.43,0.26,0.11,1.282072704,-0.25,2.37,0.72,-0.452072704
1549,44070,1Z23F00020918,XBTA390,35441TFA010    ,ｽﾄﾚｰﾅｰｵｲﾙ                     ,100,（株）ニフコ,名古屋事業所,2023/6/12 0:00,1,回収済,2023/6/8 9:55,2023/6/8 12:02,2023/6/12 15:34,2023/6/13 1:42,2023/6/15 23:10,2023/6/16 3:35,0.09,4.24,4.66,7.55,7.74,2023/6/19 13:22,1Y,9407,1,20140,1Z23F00020918XBTA39035441TFA010    20140,4.15,0.42,2.89,0.19,3.5,412,420.6818182,0.713128039,1,1,2.14,1Y,TP331ﾌﾀﾅｼ,0.012,0.69,0.86,3,手配,1.573128039,3.5,異常4,0.43,0.32,0.11,0.823128039,-0.01,2.57,0.08,-0.633128039
1555,44076,1Z23F00021030,XBTA360,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,,2023/6/13 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/13 13:21,2023/6/13 22:51,2023/6/16 5:17,2023/6/16 7:37,0.11,5.12,5.52,7.78,7.88,2023/6/19 13:22,1Y,3102,1,30468,1Z23F00021030XBTA360G117362010     30468,5.01,0.4,2.26,0.1,2.76,947,964.2727273,0.056000754,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,0.95,3,手配,1.006000754,2.76,異常4,0.43,0.41,0.11,0.166000754,-0.03,1.85,-0.01,-0.066000754
1560,44081,1Z23F00021181,XBTB440,82821ECB050    ,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,石黒ゴム工業（株）,,2023/6/12 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/12 9:30,2023/6/13 0:47,2023/6/15 15:25,2023/6/16 3:35,0.11,3.96,4.6,7.21,7.71,2023/6/19 13:22,1Y,208,1,30466,1Z23F00021181XBTB44082821ECB050    30466,3.85,0.64,2.61,0.5,3.75,946,964.0909091,0.311173975,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,1.07,3,手配,1.381173975,3.75,異常4,0.43,0.53,0.11,0.421173975,0.21,2.08,0.39,0.078826025
1561,44082,1Z23F00021306,XBTB490,9030111A014    ,ﾘﾝｸﾞO                         ,1000,ＮＯＫ（株）,,2023/6/12 0:00,1,回収済,2023/6/8 11:44,2023/6/8 15:00,2023/6/12 10:15,2023/6/12 14:43,2023/6/15 12:08,2023/6/16 0:23,0.14,3.94,4.12,7.02,7.53,2023/6/19 13:22,1Y,4241,1,10417,1Z23F00021306XBTB4909030111A014    10417,3.8,0.18,2.9,0.51,3.59,"4,735",4821.363636,0.622230602,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.6,0.8,3,手配,1.422230602,3.59,異常4,0.43,0.26,0.11,0.732230602,-0.25,2.64,0.4,-0.222230602
1563,44084,1Z23F00021410,XBTB440,82821ECE010    ,ｶﾊﾞ-ｺﾈｸﾀ-                     ,50,石黒ゴム工業（株）,,2023/6/12 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/12 9:30,2023/6/13 0:47,2023/6/15 23:02,2023/6/16 1:46,0.11,3.96,4.6,7.52,7.64,2023/6/19 13:22,1Y,208,1,30467,1Z23F00021410XBTB44082821ECE010    30467,3.85,0.64,2.92,0.12,3.68,535,543.5454545,0.275965881,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,1.07,3,手配,1.345965881,3.68,異常4,0.43,0.53,0.11,0.385965881,0.21,2.39,0.01,-0.265965881
1567,44088,1Z23F00021652,XBTB670,G1174ECE010    ,"ﾜｲﾔ-,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝｾﾝｻｰ        ",50,住友電装（株）,,2023/6/13 0:00,1,回収済,2023/6/9 4:23,2023/6/12 6:32,2023/6/13 12:24,2023/6/13 18:56,2023/6/16 1:51,2023/6/16 6:42,3.09,4.33,4.61,6.89,7.1,2023/6/19 13:22,1Y,2506,1,50454,1Z23F00021652XBTB670G1174ECE010    50454,1.24,0.28,2.28,0.21,2.77,535,543.5909091,0.275942805,1,1,2.28,1Y,TP362ﾌﾀﾅｼ,0.044,5.9,0.87,3,手配,1.145942805,2.77,異常4,0.43,0.33,0.11,0.385942805,-0.15,1.95,0.1,-0.175942805
1575,44096,1Z23F00021749,XBTB440,82821ECE010    ,ｶﾊﾞ-ｺﾈｸﾀ-                     ,50,石黒ゴム工業（株）,,2023/6/12 0:00,1,回収済,2023/6/8 10:27,2023/6/8 13:00,2023/6/12 9:30,2023/6/13 0:48,2023/6/16 0:59,2023/6/16 4:17,0.11,3.96,4.6,7.61,7.74,2023/6/19 13:22,1Y,208,1,30467,1Z23F00021749XBTB44082821ECE010    30467,3.85,0.64,3.01,0.13,3.78,535,543.5454545,0.275965881,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,1.07,3,手配,1.345965881,3.78,異常4,0.43,0.53,0.11,0.385965881,0.21,2.48,0.02,-0.255965881
1576,44097,1Z23F00021801,XBTB490,9030119A011    ,ﾘﾝｸﾞO                         ,200,ＮＯＫ（株）,,2023/6/12 0:00,1,回収済,2023/6/8 11:44,2023/6/8 15:00,2023/6/12 10:15,2023/6/12 14:42,2023/6/15 22:26,2023/6/16 0:23,0.14,3.94,4.12,7.45,7.53,2023/6/19 13:22,1Y,4241,1,10413,1Z23F00021801XBTB4909030119A011    10413,3.8,0.18,3.33,0.08,3.59,824,841.3636364,0.713128039,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.58,0.8,3,手配,1.513128039,3.59,異常4,0.43,0.26,0.11,0.823128039,-0.25,3.07,-0.03,-0.743128039
1585,44106,1Z23F00022057,XBTC020,35882ECB010    ,ﾁｭｰﾌﾞﾃﾞﾌｷﾞﾔﾘｭｰﾌﾞｱﾌﾟﾗｲ         ,50,（株）メタルテック,,2023/6/13 0:00,1,回収済,2023/6/9 7:05,2023/6/9 8:52,2023/6/13 7:20,2023/6/13 13:39,2023/6/15 12:00,2023/6/16 0:23,0.07,4.01,4.27,6.21,6.72,2023/6/19 13:22,1Y,7042,1,30356,1Z23F00022057XBTC02035882ECB010    30356,3.94,0.26,1.94,0.51,2.71,412,420.6818182,0.356564019,1,1,1.9,1Y,TP332ﾌﾀﾅｼ,0.022,2.5,0.83,3,手配,1.186564019,2.71,異常4,0.43,0.29,0.11,0.466564019,-0.17,1.65,0.4,0.043435981
