,かんばんシリアル,伝票番号,拠点所番地,品番,品名,収容数,仕入先名,仕入先工場名,ステータス,納入日,納入便,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,日量数,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態,設計値_検収入庫LT,設計値_入庫出庫LT,設計値_出庫回収LT,差分_検収入庫LT,差分_入庫出庫LT,差分_出庫回収LT,設計値_出庫回収LT（基準在庫枚数込み）,差分_出庫回収LT（基準在庫枚数込み）
239,1Z23H00060507,XCEF060,30455,82824ECE010    ,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,住友電装（株）,四日市物流センター,回収済,2023/9/4 0:00,1,2023/8/30 6:04,2023/8/31 16:47,2023/9/4 15:45,2023/9/4 15:55,2023/9/6 1:50,2023/9/6 5:28,1.45,5.4,5.41,6.82,6.97,2023/9/9 13:23,3.95,0.01,1.41,0.15,1.57,529,497.1428571,0.090517241,1,1,3.25,1Y,ＴＰ３３２,0.024,4.62,0.36,1,手配,0.450517241,1.57,異常5,0.02,0.43,0.11,-0.01,0.98,0.04,0.200517241,-0.050517241
303,1Z23H00060804,XCEF060,30455,82824ECE010    ,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,住友電装（株）,四日市物流センター,回収済,2023/9/4 0:00,1,2023/8/30 6:04,2023/8/31 16:47,2023/9/4 15:45,2023/9/4 15:55,2023/9/7 9:48,2023/9/7 14:11,1.45,5.4,5.41,8.16,8.34,2023/9/10 13:22,3.95,0.01,2.75,0.18,2.94,534,497.1428571,0.090517241,1,1,3.25,1Y,ＴＰ３３２,0.024,4.62,0.36,1,手配,0.450517241,2.94,異常5,0.02,0.43,0.11,-0.01,2.32,0.07,0.200517241,-0.020517241
412,1Z23H00061196,XCEF060,30455,82824ECE010    ,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,住友電装（株）,四日市物流センター,回収済,2023/9/4 0:00,1,2023/8/30 6:04,2023/8/31 16:47,2023/9/4 15:45,2023/9/4 14:50,2023/9/5 5:16,2023/9/5 10:50,1.45,5.4,5.37,5.97,6.2,2023/9/8 13:23,3.95,-0.03,0.6,0.23,0.8,534,497.1428571,0.090517241,1,1,3.25,1Y,ＴＰ３３２,0.024,4.62,0.36,1,手配,0.450517241,0.8,異常3,0.02,0.43,0.11,-0.05,0.17,0.12,0.200517241,0.029482759
417,1Z23H00061201,XCEF570,30468,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,< NULL >,回収済,2023/9/4 0:00,1,2023/8/30 10:41,2023/8/30 13:00,2023/9/4 13:41,2023/9/4 23:23,2023/9/5 23:18,2023/9/6 1:28,0.1,5.12,5.53,6.53,6.62,2023/9/9 13:23,5.02,0.41,1,0.09,1.5,946,887.5238095,0.020281146,1,1,3.05,1Y,ＴＰ３３１．５フタナシ,0.017,4.11,0.85,1,手配,0.870281146,1.5,異常3,0.34,0.41,0.11,0.07,0.59,-0.02,0.130281146,-0.040281146
418,1Z23H00061202,XCEF570,30468,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,< NULL >,回収済,2023/9/4 0:00,1,2023/8/30 10:41,2023/8/30 13:00,2023/9/4 13:41,2023/9/4 23:26,2023/9/6 3:10,2023/9/6 5:28,0.1,5.12,5.53,6.69,6.78,2023/9/9 13:23,5.02,0.41,1.16,0.09,1.66,946,887.5238095,0.020281146,1,1,3.05,1Y,ＴＰ３３１．５フタナシ,0.017,4.11,0.85,1,手配,0.870281146,1.66,異常3,0.34,0.41,0.11,0.07,0.75,-0.02,0.130281146,-0.040281146
419,1Z23H00061203,XCEF570,30468,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,< NULL >,回収済,2023/9/4 0:00,1,2023/8/30 10:41,2023/8/30 13:00,2023/9/4 13:41,2023/9/4 23:29,2023/9/6 23:24,2023/9/7 1:55,0.1,5.12,5.53,7.53,7.63,2023/9/10 13:22,5.02,0.41,2,0.1,2.51,945,887.5238095,0.020281146,1,1,3.05,1Y,ＴＰ３３１．５フタナシ,0.017,4.11,0.85,1,手配,0.870281146,2.51,異常4,0.34,0.41,0.11,0.07,1.59,-0.01,0.130281146,-0.030281146
460,1Z23H00061389,XCEF060,30455,82824ECE010    ,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,住友電装（株）,四日市物流センター,回収済,2023/9/4 0:00,1,2023/8/30 6:04,2023/8/31 16:47,2023/9/4 15:45,2023/9/4 15:55,2023/9/5 9:30,2023/9/5 14:12,1.45,5.4,5.41,6.14,6.34,2023/9/8 13:23,3.95,0.01,0.73,0.2,0.94,534,497.1428571,0.090517241,1,1,3.25,1Y,ＴＰ３３２,0.024,4.62,0.36,1,手配,0.450517241,0.94,異常4,0.02,0.43,0.11,-0.01,0.3,0.09,0.200517241,-0.000517241
465,1Z23H00061394,XCEF570,30468,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,< NULL >,回収済,2023/9/4 0:00,1,2023/8/30 10:41,2023/8/30 13:00,2023/9/4 13:41,2023/9/4 23:31,2023/9/6 2:01,2023/9/6 4:32,0.1,5.12,5.53,6.64,6.74,2023/9/9 13:23,5.02,0.41,1.11,0.1,1.62,946,887.5238095,0.020281146,1,1,3.05,1Y,ＴＰ３３１．５フタナシ,0.017,4.11,0.85,1,手配,0.870281146,1.62,異常3,0.34,0.41,0.11,0.07,0.7,-0.01,0.130281146,-0.030281146
466,1Z23H00061395,XCEF570,30468,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,< NULL >,回収済,2023/9/4 0:00,1,2023/8/30 10:41,2023/8/30 13:00,2023/9/4 13:41,2023/9/4 23:36,2023/9/7 5:53,2023/9/7 9:56,0.1,5.12,5.54,7.8,7.97,2023/9/10 13:22,5.02,0.42,2.26,0.17,2.85,945,887.5238095,0.020281146,1,1,3.05,1Y,ＴＰ３３１．５フタナシ,0.017,4.11,0.85,1,手配,0.870281146,2.85,異常5,0.34,0.41,0.11,0.08,1.85,0.06,0.130281146,0.039718854
467,1Z23H00061396,XCEF570,30468,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,< NULL >,回収済,2023/9/4 0:00,1,2023/8/30 10:41,2023/8/30 13:00,2023/9/4 13:41,2023/9/4 23:38,2023/9/6 12:24,2023/9/6 17:16,0.1,5.12,5.54,7.07,7.27,2023/9/9 13:23,5.02,0.42,1.53,0.2,2.15,946,887.5238095,0.020281146,1,1,3.05,1Y,ＴＰ３３１．５フタナシ,0.017,4.11,0.85,1,手配,0.870281146,2.15,異常4,0.34,0.41,0.11,0.08,1.12,0.09,0.130281146,0.069718854
