かんばんシリアル,伝票番号,拠点所番地,品番,品名,収容数,仕入先名,仕入先工場名,ステータス,納入日,納入便,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態
1Z23H00046778,XCDS720,20459,01912ECB060    ,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ                  ,400,新光ゴム工業（株）,本社,回収済,2023/8/29,1,2023/8/24 6:10,2023/8/24 9:00,2023/8/29 15:59,2023/8/29 15:03,2023/8/30 4:03,2023/9/1 0:34,0.12,5.41,5.37,5.91,7.77,2023/9/4 13:23,5.29,-0.04,0.54,1.86,2.36,315.3076923,1.268602098,1,1,3.25,1Y,ＴＰ３３１フタナシ,0.012,2.04,0.78,1,手配,2.048602098,2.36,異常1
1Z23H00050122,XCDY060,10397,34989ECB020    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/8/29,1,2023/8/25 7:11,2023/8/25 13:13,2023/8/29 18:32,2023/8/30 3:52,2023/8/30 22:04,2023/9/1 0:34,0.25,4.47,4.86,5.62,6.72,2023/9/4 13:23,4.22,0.39,0.76,1.1,2.25,716.7692308,0.697574587,1,1,2.33,1Y,ＴＰ１３１フタナシ,0.006,1,0.81,1,手配,1.507574587,2.25,異常2
1Z23H00050122,XCDY060,10397,34989ECB020    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/8/29,1,2023/8/25 7:11,2023/8/25 13:13,2023/8/29 18:32,2023/8/31 3:18,2023/8/31 9:04,2023/9/1 0:34,0.25,4.47,5.84,6.08,6.72,2023/9/4 13:23,4.22,1.37,0.24,0.64,2.25,716.7692308,0.697574587,1,1,2.33,1Y,ＴＰ１３１フタナシ,0.006,1,0.81,1,手配,1.507574587,2.25,異常2
1Z23H00050621,XCDY340,10127,1040043104R    ,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,1000,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）,回収済,2023/8/28,2,2023/8/25 1:05,2023/8/25 6:49,2023/8/29 0:35,2023/8/29 9:57,2023/8/30 23:17,2023/9/1 4:29,0.24,3.98,4.37,5.92,7.14,2023/9/4 13:23,3.74,0.39,1.55,1.22,3.16,1775.047619,1.690095504,1,2,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,13.4,0.75,3,手配,2.440095504,3.16,異常2
1Z23H00051029,XCDY600,30144,G1250ECC010    ,"ﾊﾟｲﾌﾟASSY,ﾓｰﾀｰｸﾘｰﾆﾝｸﾞNO.1     ",60,（株）バルカー,豊田営業所,回収済,2023/8/30,1,2023/8/25 3:38,2023/8/25 12:40,2023/8/30 9:22,2023/8/30 15:56,2023/8/31 13:59,2023/9/1 6:13,0.38,5.24,5.51,6.43,7.11,2023/9/4 13:23,4.86,0.27,0.92,0.68,1.87,150.8571429,0.397727273,1,2,6.2,1Y,ＴＰ３３２フタナシ,0.022,2.036,0.87,1,手配,1.267727273,1.87,異常2
1Z23H00053581,XCEA350,10127,1040043104R    ,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,1000,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）,回収済,2023/8/29,1,2023/8/25 11:47,2023/8/25 15:00,2023/8/29 13:14,2023/8/30 1:07,2023/8/31 9:52,2023/9/1 23:27,0.13,4.06,4.56,5.92,7.49,2023/9/4 13:23,3.93,0.5,1.36,1.57,3.43,1775.047619,1.690095504,1,2,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,13.4,0.75,3,手配,2.440095504,3.43,異常2
1Z23H00053633,XCEA610,30142,G1250ECB010    ,"ﾊﾟｲﾌﾟASSY,ﾓｰﾀｰｸﾘｰﾆﾝｸﾞNO.1     ",60,（株）バルカー,豊田営業所,回収済,2023/8/30,2,2023/8/25 14:36,2023/8/25 16:31,2023/8/30 15:23,2023/8/30 22:46,2023/8/31 12:13,2023/9/1 1:14,0.08,5.03,5.34,5.9,6.44,2023/9/4 13:23,4.95,0.31,0.56,0.54,1.41,239.5238095,0.250497018,1,2,6.2,1Y,ＴＰ３３２フタナシ,0.022,1.94,0.87,1,手配,1.120497018,1.41,異常2
1Z23H00053766,XCEB460,10447,35145ECB010    ,ｵｲﾙﾌﾟﾚｰﾄ                      ,100,三共鋼業（株）,東浦南工場,回収済,2023/8/30,1,2023/8/28 11:26,2023/8/28 13:17,2023/8/30 7:25,2023/8/30 9:52,2023/8/31 22:40,2023/9/1 6:13,0.08,1.83,1.93,3.47,3.78,2023/9/4 13:23,1.75,0.1,1.54,0.31,1.95,390.3809524,0.768480117,1,1,1.74,1Y,ＴＰ１３１フタナシ,0.006,4.63,0.62,3,手配,1.388480117,1.95,異常2
1Z23H00054355,XCEA740,30455,82824ECE010    ,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,住友電装（株）,四日市物流センター,回収済,2023/8/31,1,2023/8/26 5:57,2023/8/29 16:44,2023/8/31 15:36,2023/8/31 14:58,2023/8/31 23:52,2023/9/1 3:41,3.45,5.4,5.38,5.75,5.91,2023/9/4 13:23,1.95,-0.02,0.37,0.16,0.51,497.1428571,0.090517241,1,1,3.25,1Y,ＴＰ３３２,0.024,4.62,0.36,1,手配,0.450517241,0.51,異常1
1Z23H00054366,XCEB780,30143,G1250ECE010    ,"ﾊﾟｲﾌﾟASSY,ﾓｰﾀｰｸｰﾘﾝｸﾞ          ",60,（株）バルカー,豊田営業所,回収済,2023/8/31,1,2023/8/26 3:40,2023/8/28 12:44,2023/8/31 9:26,2023/8/31 15:02,2023/9/1 11:38,2023/9/1 17:38,2.38,5.24,5.47,6.33,6.58,2023/9/4 13:23,2.86,0.23,0.86,0.25,1.34,497.1428571,0.120689655,1,2,6.2,1Y,ＴＰ３３２フタナシ,0.022,1.64,0.88,1,手配,1.000689655,1.34,異常2
1Z23H00055067,XCEB970,20384,9015906A023    ,ｽｸﾘｭｰW/ﾜｯｼｬｰ                  ,1300,（株）青山製作所,< NULL >,回収済,2023/8/28,6,2023/8/25 23:29,2023/8/26 4:00,2023/8/29 3:01,2023/8/29 8:40,2023/9/1 0:50,2023/9/1 1:56,0.19,3.15,3.38,6.06,6.1,2023/9/4 13:23,2.96,0.23,2.68,0.04,2.95,2662,1.465063862,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.67,0.52,3,手配,1.985063862,2.95,異常2
1Z23H00055190,XCEA740,30455,82824ECE010    ,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,住友電装（株）,四日市物流センター,回収済,2023/8/31,1,2023/8/26 5:57,2023/8/29 16:44,2023/8/31 15:36,2023/8/31 14:58,2023/9/1 4:10,2023/9/1 6:47,3.45,5.4,5.38,5.93,6.03,2023/9/4 13:23,1.95,-0.02,0.55,0.1,0.63,497.1428571,0.090517241,1,1,3.25,1Y,ＴＰ３３２,0.024,4.62,0.36,1,手配,0.450517241,0.63,異常2
1Z23H00056151,XCEB840,10437,35409ECB010    ,ｽﾌﾟﾘﾝｸﾞS/Aﾃﾞｨﾃﾝﾄ              ,200,サンコール（株）,豊田,回収済,2023/8/30,1,2023/8/26 7:07,2023/8/28 10:02,2023/8/30 16:44,2023/8/30 22:10,2023/8/31 22:43,2023/9/1 10:50,2.12,4.4,4.63,5.65,6.15,2023/9/4 13:23,2.28,0.23,1.02,0.5,1.75,390.3809524,0.512320078,1,1,2.26,1Y,ＴＰ１３１フタナシ,0.006,2.6,0.66,1,手配,1.172320078,1.75,異常2
1Z23H00056226,XCEC320,10456,35557ECB010    ,ﾎﾟｰﾙﾊﾟｰｷﾝｸﾞﾛｯｸ                ,46,小川工業（株）,< NULL >,回収済,2023/8/30,2,2023/8/28 11:26,2023/8/28 14:19,2023/8/31 2:17,2023/8/31 5:22,2023/8/31 23:59,2023/9/1 5:33,0.12,2.62,2.75,3.52,3.76,2023/9/4 13:23,2.5,0.13,0.77,0.24,1.14,390.3809524,0.117833618,1,2,4.94,1Y,ＴＰ１３１フタナシ,0.006,9.466,0.89,1,手配,1.007833618,1.14,異常1
1Z23H00056294,XCEC690,50453,G1174ECB010    ,"ﾜｲﾔ-,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝｾﾝｻｰ        ",50,住友電装（株）,< NULL >,回収済,2023/8/31,1,2023/8/29 4:27,2023/8/30 8:54,2023/8/31 12:22,2023/9/1 4:09,2023/9/1 14:31,2023/9/1 18:22,1.19,2.33,2.99,3.42,3.58,2023/9/4 13:23,1.14,0.66,0.43,0.16,1.25,390.3809524,0.12808002,1,1,2.28,1Y,ＴＰ３６２フタナシ,0.044,6.25,0.85,1,手配,0.97808002,1.25,異常2
1Z23H00056461,XCEB340,10397,34989ECB020    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/8/30,1,2023/8/26 6:54,2023/8/28 13:13,2023/8/30 18:33,2023/8/31 4:22,2023/9/1 10:56,2023/9/2 0:33,2.26,4.49,4.89,6.17,6.74,2023/9/5 13:23,2.23,0.4,1.28,0.57,2.25,716.7692308,0.697574587,1,1,2.33,1Y,ＴＰ１３１フタナシ,0.006,1,0.81,1,手配,1.507574587,2.25,異常2
1Z23H00057140,XCEB460,10450,35195ECE010    ,ｸﾗﾝﾌﾟﾁﾕ-ﾌﾞ                    ,400,三共鋼業（株）,東浦南工場,回収済,2023/8/30,1,2023/8/28 11:26,2023/8/28 13:17,2023/8/30 7:25,2023/8/30 9:39,2023/8/31 23:24,2023/9/1 3:41,0.08,1.83,1.93,3.5,3.68,2023/9/4 13:23,1.75,0.1,1.57,0.18,1.85,994.2857143,1.206896552,1,1,1.74,1Y,ＴＰ１３１フタナシ,0.006,3.44,0.62,3,手配,1.826896552,1.85,異常1
1Z23H00057166,XCEB330,30468,G117362010     ,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",18,多摩川精機販売（株）,< NULL >,回収済,2023/8/31,1,2023/8/28 11:26,2023/8/28 13:00,2023/8/31 13:13,2023/9/1 0:22,2023/9/1 14:42,2023/9/1 17:38,0.07,3.07,3.54,4.14,4.26,2023/9/4 13:23,3,0.47,0.6,0.12,1.19,887.5238095,0.020281146,1,1,3.05,1Y,ＴＰ３３１．５フタナシ,0.017,4.11,0.85,1,手配,0.870281146,1.19,異常2
1Z23H00057313,XCED260,10456,35557ECB010    ,ﾎﾟｰﾙﾊﾟｰｷﾝｸﾞﾛｯｸ                ,46,小川工業（株）,< NULL >,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:31,2023/8/31 13:11,2023/8/31 23:02,2023/9/1 9:44,2023/9/1 15:58,0.33,2.52,2.93,3.38,3.64,2023/9/4 13:23,2.19,0.41,0.45,0.26,1.12,390.3809524,0.117833618,1,2,4.94,1Y,ＴＰ１３１フタナシ,0.006,9.466,0.89,1,手配,1.007833618,1.12,異常1
1Z23H00057346,XCED270,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:24,2023/8/31 8:05,2023/8/31 9:40,2023/9/1 3:32,2023/9/1 6:47,0.33,2.31,2.38,3.12,3.26,2023/9/4 13:23,1.98,0.07,0.74,0.14,0.95,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,0.95,異常1
1Z23H00057347,XCED270,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:24,2023/8/31 8:05,2023/8/31 9:36,2023/9/1 5:57,2023/9/1 10:43,0.33,2.31,2.38,3.22,3.42,2023/9/4 13:23,1.98,0.07,0.84,0.2,1.11,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,1.11,異常2
1Z23H00057349,XCED270,30440,33490ECE010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:24,2023/8/31 8:05,2023/8/31 10:59,2023/9/1 9:49,2023/9/1 12:12,0.33,2.31,2.43,3.38,3.48,2023/9/4 13:23,1.98,0.12,0.95,0.1,1.17,497.1428571,0.024137931,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.81,3,手配,0.834137931,1.17,異常2
1Z23H00057350,XCED270,30440,33490ECE010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:24,2023/8/31 8:05,2023/8/31 11:03,2023/9/1 4:42,2023/9/1 6:47,0.33,2.31,2.44,3.17,3.26,2023/9/4 13:23,1.98,0.13,0.73,0.09,0.95,497.1428571,0.024137931,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.81,3,手配,0.834137931,0.95,異常1
1Z23H00057352,XCED270,30440,33490ECE010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:24,2023/8/31 8:05,2023/8/31 10:56,2023/9/1 4:01,2023/9/1 6:47,0.33,2.31,2.43,3.14,3.26,2023/9/4 13:23,1.98,0.12,0.71,0.12,0.95,497.1428571,0.024137931,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.81,3,手配,0.834137931,0.95,異常1
1Z23H00057353,XCED270,30440,33490ECE010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:24,2023/8/31 8:05,2023/8/31 11:00,2023/9/1 9:49,2023/9/1 12:12,0.33,2.31,2.43,3.38,3.48,2023/9/4 13:23,1.98,0.12,0.95,0.1,1.17,497.1428571,0.024137931,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.81,3,手配,0.834137931,1.17,異常2
1Z23H00057354,XCED270,30440,33490ECE010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/8/31,1,2023/8/29 0:36,2023/8/29 8:24,2023/8/31 8:05,2023/8/31 11:03,2023/9/1 3:34,2023/9/1 10:50,0.33,2.31,2.44,3.12,3.43,2023/9/4 13:23,1.98,0.13,0.68,0.31,1.12,497.1428571,0.024137931,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.81,3,手配,0.834137931,1.12,異常2
1Z23H00057359,XCED040,40133,9036652A004    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,63,（株）ジェイテクト,香川工場,回収済,2023/8/31,1,2023/8/29 8:55,2023/8/29 11:06,2023/8/31 9:07,2023/8/31 14:56,2023/8/31 22:52,2023/9/1 4:29,0.09,2.01,2.25,2.58,2.82,2023/9/4 13:23,1.92,0.24,0.33,0.24,0.81,497.1428571,0.126724138,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,7,0.57,1,手配,0.696724138,0.81,異常1
1Z23H00057362,XCED040,40137,9036659A010    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,36,（株）ジェイテクト,香川工場,回収済,2023/8/31,1,2023/8/29 8:55,2023/8/29 11:06,2023/8/31 9:07,2023/8/31 15:25,2023/9/1 4:55,2023/9/1 6:47,0.09,2.01,2.27,2.83,2.91,2023/9/4 13:23,1.92,0.26,0.56,0.08,0.9,887.5238095,0.040562292,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,7.144,0.59,1,手配,0.630562292,0.9,異常2
