品番,品名,収容数,仕入先名,仕入先工場名,ステータス,納入日,納入便,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,組立投入日時,回収日時,発注取消日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注組立LT,発注回収LT,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,平均日量数,基準在庫枚数日数,A,B,C,箱種,箱サイズ,箱重量,基準在庫日数,手配区分,実績在庫日数,在庫状態
34989ECE010    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/7/18,1,2023/7/14 6:42,2023/7/14 13:15,2023/7/18 19:00,2023/7/19 3:42,2023/9/4 16:15,< NULL >,2023/9/11 16:11,< NULL >,0.27,4.51,4.88,52.4,< NULL >,59.39,4.24,0.37,47.52,6.99,54.88,143.7727273,10.4331331,1,1,2.33,ＴＰ１３１フタナシ,0.006,1,0.72,手配,54.88,異常5
34989ECE030    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/7/19,1,2023/7/15 6:50,2023/7/17 13:13,2023/7/19 19:05,2023/7/20 8:43,2023/8/25 1:34,< NULL >,2023/9/7 18:12,< NULL >,2.27,4.51,5.08,40.78,< NULL >,54.47,2.24,0.57,35.7,13.69,49.96,117.0454545,12.81553398,1,1,2.33,ＴＰ１３１フタナシ,0.006,1,0.8,手配,49.96,異常5
35482TFA010    ,ｸﾗﾝﾌﾟｾﾝｻ-                     ,1000,サトープレス工業（株）,本社工場,回収済,2023/7/28,1,2023/7/26 11:37,2023/7/26 14:36,2023/7/28 10:20,2023/7/29 4:35,2023/8/9 5:49,< NULL >,2023/9/8 5:32,< NULL >,0.12,1.95,2.71,13.76,< NULL >,43.75,1.83,0.76,11.05,29.99,41.8,372.6363636,8.050744084,1,1,1.78,ＡＷ１３１フタナシ,0.006,10.42,0.66,手配,41.8,異常5
35482TFA010    ,ｸﾗﾝﾌﾟｾﾝｻ-                     ,1000,サトープレス工業（株）,本社工場,回収済,2023/7/28,1,2023/7/26 11:37,2023/7/26 14:36,2023/7/28 10:20,2023/8/10 5:03,2023/9/2 4:48,< NULL >,2023/9/8 5:32,< NULL >,0.12,1.95,14.73,37.72,< NULL >,43.75,1.83,12.78,22.99,6.03,41.8,372.6363636,8.050744084,1,1,1.78,ＡＷ１３１フタナシ,0.006,10.42,0.66,手配,41.8,異常5
G1163ECB010    ,"ﾎﾞﾙﾄ,ﾓｰﾀｰｽﾃｰﾀｰﾖｰｸ             ",80,（株）青山製作所,< NULL >,回収済,2023/7/27,3,2023/7/26 10:01,2023/7/26 16:47,2023/7/27 15:36,2023/7/27 22:25,2023/7/28 9:09,< NULL >,2023/9/8 17:34,< NULL >,0.28,1.23,1.52,1.96,< NULL >,44.31,0.95,0.29,0.44,42.35,43.08,685.9090909,0.349900596,1,6,5.76,ＴＰ３３１フタナシ,0.012,7.438,0.54,手配,43.08,異常5
9011606048,ﾎﾞﾙﾄｽﾀﾂﾄﾞ                     ,3000,（株）杉浦製作所,< NULL >,回収済,2023/7/27,2,2023/7/27 1:49,2023/7/27 5:02,2023/7/27 18:24,2023/7/28 9:08,2023/8/26 6:11,< NULL >,2023/9/1 18:22,< NULL >,0.13,0.69,1.31,30.18,< NULL >,36.69,0.56,0.62,28.87,6.51,36,732.8636364,12.28059294,1,2,1.06,ＴＰ３３１フタナシ,0.012,15.4,0.61,手配,36,異常4
34989ECE020    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/8/1,1,2023/7/28 6:45,2023/7/28 13:09,2023/8/1 19:06,2023/8/2 3:56,2023/8/31 7:01,< NULL >,2023/9/8 5:32,< NULL >,0.27,4.51,4.88,34.01,< NULL >,41.95,4.24,0.37,29.13,7.94,37.44,213.6818182,7.019783025,1,1,2.33,ＴＰ１３１フタナシ,0.006,1,0.82,手配,37.44,異常5
34989ECC010    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/8/1,1,2023/7/28 6:45,2023/7/28 13:09,2023/8/1 19:06,2023/8/2 3:57,2023/9/4 10:19,< NULL >,2023/9/8 9:38,< NULL >,0.27,4.51,4.88,38.15,< NULL >,42.12,4.24,0.37,33.27,3.97,37.61,143.9545455,10.41995579,1,1,2.33,ＴＰ１３１フタナシ,0.006,1,0.78,手配,37.61,異常5
35482TFA010    ,ｸﾗﾝﾌﾟｾﾝｻ-                     ,1000,サトープレス工業（株）,本社工場,回収済,2023/8/2,1,2023/7/31 11:32,2023/7/31 14:36,2023/8/2 10:21,2023/8/2 18:12,2023/8/25 23:25,< NULL >,2023/9/1 10:50,< NULL >,0.13,1.95,2.28,25.5,< NULL >,31.97,1.82,0.33,23.22,6.47,30.02,372.6363636,8.050744084,1,1,1.78,ＡＷ１３１フタナシ,0.006,10.42,0.66,手配,30.02,異常5
34989ECC010    ,ﾗﾍﾞﾙ                          ,500,（株）槌屋,知立工場,回収済,2023/8/3,1,2023/8/1 7:14,2023/8/1 13:16,2023/8/3 19:08,2023/8/4 3:26,2023/8/29 23:23,< NULL >,2023/9/5 7:16,< NULL >,0.25,2.5,2.84,28.67,< NULL >,35,2.25,0.34,25.83,6.33,32.5,143.9545455,10.41995579,1,1,2.33,ＴＰ１３１フタナシ,0.006,1,0.78,手配,32.5,異常4
