品番,引当回収,検収入庫,入庫出庫,出庫組立,小計
35300-ECB010,0.09,0.30,0.37,0.05,0.81
1040 052 001Z,0.09,0.23,0.18,0.03,0.53
1040 183 011P,0.09,0.24,0.18,0.03,0.54
3040 052 001B,0.09,0.22,0.18,0.05,0.54
90105-06A003,0.09,0.22,0.18,0.03,0.52
90105-06A089,0.09,0.20,0.18,0.03,0.5
90105-08A014,0.09,0.24,0.18,0.03,0.54
90105-08A042,0.09,0.23,0.18,0.03,0.53
90105-12A018,0.09,0.24,0.18,0.05,0.56
90119-06908,0.09,0.24,0.18,0.03,0.54
90119-06A065,0.09,0.23,0.18,0.03,0.53
90148-60027,0.09,0.25,0.18,0.03,0.55
90149-08A008,0.09,0.22,0.18,0.03,0.52
90159-05A007,0.09,0.23,0.18,0.03,0.53
90159-06A021,0.09,0.22,0.18,0.03,0.52
90159-06A022,0.09,0.21,0.18,0.03,0.51
90159-06A023,0.09,0.22,0.18,0.03,0.52
90341-14A004,0.09,0.20,0.18,0.03,0.5
90341-18A024,0.09,0.22,0.18,0.03,0.52
90930-03179,0.09,0.20,0.18,0.03,0.5
91551-80614,0.09,0.24,0.18,0.05,0.56
91551-80640,0.09,0.24,0.18,0.05,0.56
91611-40614,0.09,0.22,0.18,0.05,0.54
91671-80618,0.09,0.23,0.18,0.03,0.53
G1163-ECB010,0.09,0.24,0.18,0.03,0.54
G1163-ECE010,0.09,0.23,0.18,0.03,0.53
35145-ECE020,0.09,0.22,0.33,0.03,0.67
35174-ECB010,0.09,0.20,0.33,0.03,0.65
35174-ECE010,0.09,0.20,0.33,0.03,0.65
35174-ECE020,0.09,0.20,0.33,0.03,0.65
35312-ECB010,0.08,0.20,0.29,0.03,0.6
01912-ECB040,0.08,0.02,0.32,0.03,0.45
01912-8GA010,0.09,0.21,0.53,0.03,0.86
01912-ECB010,0.09,0.22,0.53,0.03,0.87
82821-CWA030,0.09,0.20,0.53,0.03,0.85
82821-ECB010,0.09,0.20,0.53,0.03,0.85
82821-ECB020,0.09,0.24,0.53,0.03,0.89
82821-ECB040,0.09,0.20,0.53,0.03,0.85
82821-ECB050,0.09,0.20,0.53,0.03,0.85
82821-ECE010,0.09,0.21,0.53,0.03,0.86
82821-XAE010,0.09,0.24,0.53,0.03,0.89
82821-XAE020,0.09,0.18,0.53,0.03,0.83
2030 045 013L,0.08,0.13,0.3,0.05,0.56
36108-ECB010,0.08,0.24,0.3,0.03,0.65
35501-ECB010,0.08,0.26,0.24,0.03,0.61
90363-45A004,0.08,0.21,0.33,0.03,0.65
35557-ECB010,0.09,0.23,0.35,0.03,0.7
41310-ECB010,0.09,0.50,0.18,0.02,0.79
41310-ECE010,0.09,0.44,0.18,0.02,0.73
1040 043 104R,0.09,0.29,0.36,0.03,0.77
35556-ECB010,0.09,0.29,0.36,0.03,0.77
90250-06A007,0.09,0.30,0.36,0.03,0.78
33490-ECB010,0.09,0.24,0.48,0.03,0.84
33490-ECE010,0.09,0.23,0.48,0.03,0.83
90366-28A005,0.08,0.26,0.29,0.02,0.65
90366-28A006,0.08,0.26,0.29,0.02,0.65
90366-28A007,0.08,0.21,0.29,0.02,0.6
90366-28A008,0.08,0.22,0.29,0.02,0.61
90366-30A017,0.08,0.24,0.29,0.02,0.63
90366-30A018,0.08,0.24,#N/A,0.02,#N/A
90366-52A003,0.08,0.21,0.29,0.02,0.6
90366-52A004,0.08,0.21,0.29,0.02,0.6
90366-58A001,0.08,0.21,0.29,0.02,0.6
90366-58A002,0.08,0.23,0.29,0.02,0.62
90366-59A009,0.08,0.23,0.29,0.02,0.62
90366-59A010,0.08,0.23,0.29,0.02,0.62
35352-ECB010,0.08,0.24,0.3,0.03,0.65
G9201-ECB030,0.09,0.28,0.2,0.03,0.6
G9201-ECE010,0.09,0.36,0.2,0.03,0.68
35198-ECE010,0.08,0.20,0.28,0.03,0.59
35482-55A010,0.08,0.19,0.28,0.03,0.58
35482-TFA010,0.08,0.28,0.28,0.03,0.67
