品番,加工図符号,類別,品名,整備室,整備室名,手配区分,工程内外製,工程ｺｰﾄﾞ,仕入先名/工場名,発送場所,発送場所名,受給区分,資材区分,後工程内外製,後工程ｺｰﾄﾞ,後工程仕入先名/工場名,受入場所,受入場所名,中継区分,中継工場,中継場所,中継場所名,納入ｻｲｸﾙ間隔,納入ｻｲｸﾙ回数,納入ｻｲｸﾙ情報,基準在庫日数,基準在庫枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率,かんばん情報.仕入先,かんばん情報.仕入先名,かんばん情報.背番号,かんばん情報.工場置場所,かんばん情報.拠点置場所,かんばん情報.品名略ｺｰﾄﾞ,かんばん情報.品名略名,かんばん情報.通箱ｺｰﾄﾞ,かんばん情報.通箱名,かんばん情報収容数,かんばん情報.ｺﾝﾍﾞｱ区分,かんばん情報.ﾌﾞﾛｯｸ区分,かんばん情報.専用品区分,かんばん情報.不良率,かんばん情報.保証率,かんばん情報.設変符号,かんばん情報.部品大別区分,かんばん情報.部品大別名称,かんばん情報.発注形態区分,かんばん情報.発注形態名称,かんばん情報.PLコード,登録箱種,縦(mm),横(mm),高(mm),容積(m3),総重量(Kg),パレタイズ発注,箱数,設定計画NO,設定日,設定担当部署コード,担当部署名,設定担当者コード,担当者名
90116-06048,9011606048,,"BOLT, STUD",1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,1.06,0.77,3,0.98,0.98,1.1,0.5,30,（株）杉浦製作所,5,C1-7,20361,1460,ﾎﾞﾙﾄｽﾀﾂﾄﾞ,14,TP-331 ﾊﾝﾖｳ,3000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,15.4,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90119-06908,9011906908,,"BOLT, W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,10,M-MG-4,20388,1835,ﾎﾞﾙﾄｳｲｽﾞﾜﾂｼﾔ,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,15.83,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
90148-60027,9014860027,,"SCREW, HEX LOBULAR",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,12,M-C-2-3,20367,2384,ｽｸﾘﾕ-,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,13.63,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
90250-06027,9025006027,,"PIN, STRAIGHT",1Y,第１工場,手配,Ｐ,6103,（株）水野鉄工所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.81,0.83,3,1.04,1.04,1.1,0.5,284,水野鉄工（株）,1,M-C-2-1,10360,430,ﾋﾟﾝｽﾄﾚ-ﾄ,12,TP-131 ﾊﾝﾖｳ,2000,,,,0,0.5,,8,専用,1,後補充,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.345,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90254-05021,9025405021,,"PIN, SLOTTED SPRING",1Y,第１工場,手配,Ｐ,3874,トピー実業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.95,0.42,0,0.42,0.42,1.1,0.5,74,トピー実業（株）名古屋支店,1,,,26,ﾋﾟﾝ,12,TP-131 ﾊﾝﾖｳ,2000,,,,0,0.8,,,,,,,TP131,168,335,103,0.006,5.8,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90331-14006,9033114006,,"PLUG, TIGHT",1Y,第１工場,手配,Ｐ,4125,ナミコー（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,3.25,0.94,3,1.1,1.1,1.1,0.5,811,ナミコー（株）,1,S-G-31,20438,525,ﾌﾟﾗｸﾞﾀｲﾄ,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,4.7,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90341-18060,9034118060,,"PLUG, W/HEAD STRAIGHT SCREW",1Y,第１工場,手配,Ｐ,2502,住友商事（株）鉄鋼部輸送機材,1,鉄鋼部輸送機材,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,3,0.94,3,1.15,1.15,1.1,0.5,219,住友商事,1,C1-18,20451,526,ﾌﾟﾗｸﾞS/AW/ﾍｯﾄﾞｽﾄﾚｰﾄｽｸﾘｭｰ,14,TP-331 ﾊﾝﾖｳ,300,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,13.56,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90341-18090,9034118090,,"PLUG, W/HEAD STRAIGHT SCREW",1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,1.06,0.77,3,0.98,0.98,1.1,0.5,30,（株）杉浦製作所,4,M-C-2-12,20364,521,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-,14,TP-331 ﾊﾝﾖｳ,300,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,10.36,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90363-40085,9036340085,,"BEARING, RADIAL BALL",1Y,第１工場,手配,Ｐ,4287,日本精工（株）,2,三河分室,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,8,9,0.76,3,0.97,0.97,1.1,0.5,59,日本精工（株）,3,S-G-18,40483,9118,ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ,64,T-10 ｾﾝﾖｳ,80,,,,0,0.5,,8,専用,1,後補充,,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,390,260,143,0.015,9.301,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90560-20006,9056020006,,SPACER,1Y,第１工場,手配,Ｐ,2411,アイコー（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.92,1.11,3,1.32,1.32,1.1,0.5,31,アイコー（株）,2,,,530,ｽﾍﾟ-ｻ-,12,TP-131 ﾊﾝﾖｳ,400,,,,0,0.5,,,,,,,TP131ﾌﾀﾅｼ,335,167,102,0.006,1.7,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
