,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）基準在庫日数,変更後）基準在庫日数,
122,9161140614,0,3.571428571,7.142857143,17.85714286,17.85714286,21.42857143,7.142857143,10.71428571,14.28571429,0,3.125,15.625,25,15.625,12.5,6.25,3.125,18.75,0,-0.446428571,8.482142857,7.142857143,-2.232142857,-8.928571429,-0.892857143,-7.589285714,4.464285714,"BOLT, W/WASHER",28,32,1.57,1.1,-0.47,1.226117658,0.343882342,1.048154845,0.051845155,19.110848,20.14359467,18.731456,19.73988267,2500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,13.08,手配,0.52,0.52,0
8,2030045013L,0,16.66666667,0,33.33333333,0,0,16.66666667,33.33333333,0,40,20,0,0,0,20,0,20,0,40,3.333333333,0,-33.33333333,0,20,-16.66666667,-13.33333333,0,GASKET,6,5,4.605,0.8,-3.805,3.267050582,1.337949418,3.17062369,-2.37062369,6.285735,7.525635,6.21021,7.42161,2000,伊藤金属工業（株）,1,1,1.96,1Y,TP331ﾌﾀﾅｼ,0.012,4.7,手配,0.53,0.53,0
76,9015905A007,0,0,7.692307692,15.38461538,15.38461538,7.692307692,7.692307692,30.76923077,15.38461538,0,0,0,15.38461538,30.76923077,7.692307692,0,38.46153846,7.692307692,0,0,-7.692307692,0,15.38461538,0,-7.692307692,7.692307692,-7.692307692,"SCREW, W/WASHER",13,14,3.46,2.13,-1.33,1.777246582,1.682753418,1.656972201,0.473027799,10.69083,11.17453,10.51593,10.98863,2000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.43,手配,0.53,0.53,0
82,9020156A002,0,3.703703704,11.11111111,3.703703704,0,7.407407407,7.407407407,22.22222222,44.44444444,0,0,4.761904762,9.523809524,14.28571429,14.28571429,9.523809524,14.28571429,33.33333333,0,-3.703703704,-6.349206349,5.82010582,14.28571429,6.878306878,2.116402116,-7.936507937,-11.11111111,"WASHER, PLATE",27,25,3.93,1.86,-2.07,1.481885609,2.448114391,0.931149425,0.928850575,22.2907,27.7247,20.418,25.738,100,（株）ムロコーポレーション,1,1,0.73,1Y,TP131ﾌﾀﾅｼ,0.006,10.47,手配,0.71,0.73,-0.02
116,9050827A011,0,9.090909091,9.090909091,18.18181818,0,9.090909091,18.18181818,36.36363636,0,0,22.22222222,0,0,33.33333333,0,0,22.22222222,22.22222222,0,13.13131313,-9.090909091,-18.18181818,33.33333333,-9.090909091,-18.18181818,-14.14141414,22.22222222,"SPRING, TORSION",11,10,3.47,1.47,-2,2.206256078,1.263743922,1.292320078,0.177679922,11.2836,11.5491,9.0613,9.319675,200,（株）東郷製作所,1,8,11.12,1Y,TP331ﾌﾀﾅｼ,0.012,4.48,手配,0.78,0.78,0
80,9020150A002,0,0,5.263157895,10.52631579,5.263157895,10.52631579,5.263157895,42.10526316,21.05263158,0,0,5.882352941,11.76470588,5.882352941,5.882352941,17.64705882,17.64705882,35.29411765,0,0,0.619195046,1.238390093,0.619195046,-4.643962848,12.38390093,-24.45820433,14.24148607,"WASHER, PLATE",19,20,3.93,2.1,-1.83,1.643128039,2.286871961,0.986160039,1.113839961,18.0804,22.3284,16.0891,20.2231,100,（株）ムロコーポレーション,1,1,0.73,1Y,TP131ﾌﾀﾅｼ,0.006,6.9,手配,0.71,0.73,-0.02
84,9030106A018,0,0,0,0,9.090909091,9.090909091,27.27272727,45.45454545,9.090909091,0,16.66666667,0,0,16.66666667,8.333333333,0,16.66666667,41.66666667,0,16.66666667,0,0,7.575757576,-0.757575758,-27.27272727,-28.78787879,32.57575758,"RING, O",11,12,4.09,3.85,-0.24,1.972072704,2.117927296,1.830853085,2.019146915,10.20608,11.49288,10.03052,11.28597,2000,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.6,手配,0.56,0.56,0
39,35556ECB010,0,0,15,10,15,0,15,40,5,0,0,15,0,15,20,10,5,35,0,0,0,-10,0,20,-5,-35,30,"SHAFT, PARKING LOCK PAWL",20,21,3.14,1.59,-1.55,1.613128039,1.526871961,1.006160039,0.583839961,18.93,21.054,16.5025,18.5695,100,（株）ギフ加藤製作所,1,2,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,7,手配,0.75,0.75,0
5,1040052001Z,0,5.263157895,0,10.52631579,0,0,21.05263158,52.63157895,10.52631579,0,6.666666667,6.666666667,6.666666667,13.33333333,6.666666667,13.33333333,33.33333333,13.33333333,0,1.403508772,6.666666667,-3.859649123,13.33333333,6.666666667,-7.719298246,-19.29824561,2.807017544,"PLUG, W/HEAD STRAIGHT SCREW",19,15,4.87,3.45,-1.42,1.843771218,3.026228782,1.736896552,1.713103448,10.20005,10.65288333,10.049,10.49233333,200,（株）青山製作所,1,6,5.76,1Y,TP131ﾌﾀﾅｼ,0.006,6.27,手配,0.53,0.53,0
73,9011906908,0,0,33.33333333,66.66666667,0,0,0,0,0,0,50,0,0,0,25,0,0,25,0,50,-33.33333333,-66.66666667,0,25,0,0,25,"BOLT, W/WASHER",3,4,4.46,4.405,-0.055,5.072272145,-0.612272145,5.235185572,-0.830185572,4.88055,4.996633333,4.83438,4.947613333,2000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,15.83,手配,0.54,0.54,0
