,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）日量数平均,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更前）基準在庫日数,変更後）基準在庫日数,変更前）便Ave,変更後）便Ave
0,019128GA010,0,0,0,7.843137255,7.843137255,5.882352941,35.29411765,39.21568627,3.921568627,0,0,0,2.272727273,15.90909091,20.45454545,34.09090909,11.36363636,15.90909091,0,0,0,-5.570409982,8.065953654,14.57219251,-1.203208556,-27.85204991,11.98752228,"CAP, SHIPPING",50,石黒ゴム工業（株）,1,2,3.64,1Y,TP342ﾌﾀﾅｼ,0.033,2.11,手配,51,44,2.41,1.835,-0.575,1.225557651,1.184442349,1.139749973,0.695250027,968.2,106.5974,116.2794,945.4,102.1578,111.6118,1.07,1.07,9.682,9.454
1,01912ECB010,0,0,0,0,0,0,42.85714286,57.14285714,0,0,0,0,0,0,12.5,18.75,31.25,37.5,0,0,0,0,0,12.5,-24.10714286,-25.89285714,37.5,"CAP, SHIPPING",300,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.21,手配,14,16,3.215,2.745,-0.47,1.536760962,1.678239038,1.059294837,1.685705163,1934.8,30.40966667,33.63433333,1890.8,27.78633333,30.93766667,1.07,0.85,3.224666667,3.151333333
2,01912ECB040,0,2.702702703,8.108108108,9.459459459,13.51351351,10.81081081,36.48648649,18.91891892,0,0,0,0,0,1.694915254,3.389830508,15.25423729,16.94915254,62.71186441,0,-2.702702703,-8.108108108,-9.459459459,-11.81859826,-7.420980302,-21.2322492,-1.969766377,62.71186441,"CAP, SHIPPING",50,愛産樹脂工業（株）,1,1,2.12,1Y,TP342ﾌﾀﾅｼ,0.033,3.44,手配,74,59,1.33,1.36,0.03,0.825557651,0.504442349,0.319749973,1.040250027,968.2,27.205,46.569,945.4,24.635,43.543,0.67,0.25,19.364,18.908
3,01912ECB060,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,-100,0,0,0,"CAP, SHIPPING",400,新光ゴム工業（株）,1,1,3.25,1Y,TP331ﾌﾀﾅｼ,0.012,2.04,手配,1,1,4.62,2.38,-2.24,3.632512156,0.987487844,2.048602098,0.331397902,424.8,7.1418,8.2038,413.4,5.03065,6.06415,0.78,0.78,1.062,1.0335
4,1040043104R,0,0,0,25,25,50,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,25,-25,0,0,0,0,"PIN, STRAIGHT",1000,（株）ギフ加藤製作所,1,2,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,13.4,手配,4,2,2.815,2.685,-0.13,2.455576506,0.359423494,2.440095504,0.244904496,1936.4,10.2615,11.2297,1890.8,10.0905,11.0359,0.9,0.75,0.9682,0.9454
5,1040052001Z,0,14.28571429,0,28.57142857,0,0,42.85714286,14.28571429,0,0,14.28571429,14.28571429,14.28571429,28.57142857,14.28571429,14.28571429,0,0,0,0,14.28571429,-14.28571429,28.57142857,14.28571429,-28.57142857,-14.28571429,0,"PLUG, W/HEAD STRAIGHT SCREW",200,（株）青山製作所,1,6,5.76,1Y,TP131ﾌﾀﾅｼ,0.006,6.27,手配,7,7,2.84,2,-0.84,1.843771218,0.996228782,1.736896552,0.263103448,543.4,10.20005,10.65288333,532,10.049,10.49233333,0.74,0.53,0.452833333,0.443333333
6,1040183011P,0,0,0,28.57142857,28.57142857,28.57142857,14.28571429,0,0,0,0,0,0,70,30,0,0,0,0,0,0,-28.57142857,41.42857143,1.428571429,-14.28571429,0,0,"BOLT, FLANGE",500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.38,手配,7,10,2.29,1.18,-1.11,1.928675167,0.361324833,0.966985482,0.213014518,1273.8,9.87852,10.30312,1240.2,7.69708,8.11048,0.74,0.54,0.4246,0.4134
7,2030044001J,0,0,0,100,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,-100,50,50,0,0,0,"SEAL, TYPE T OIL",400,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,1.68,手配,2,2,3.07,1.885,-1.185,3.652512156,-0.582512156,1.564640156,0.320359844,424.8,5.8674,6.3984,413.4,3.79045,4.3072,0.8,0.54,0.531,0.51675
8,2030045013L,0,50,0,50,0,0,0,0,0,66.66666667,33.33333333,0,0,0,0,0,0,0,66.66666667,-16.66666667,0,-50,0,0,0,0,0,GASKET,2000,伊藤金属工業（株）,1,1,1.96,1Y,TP331ﾌﾀﾅｼ,0.012,4.7,手配,2,3,1.79,0.67,-1.12,3.267050582,-1.477050582,3.17062369,-2.50062369,2479.8,6.285735,7.525635,2422.8,6.21021,7.42161,0.84,0.53,1.2399,1.2114
9,2030052002N,0,50,20,0,0,10,20,0,0,0,18.18181818,0,9.090909091,27.27272727,18.18181818,18.18181818,9.090909091,0,0,-31.81818182,-20,9.090909091,27.27272727,8.181818182,-1.818181818,9.090909091,0,"PLUG, W/HEAD STRAIGHT SCREW",300,（株）杉浦製作所,1,2,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,9.85,手配,10,11,0.855,1.86,1.005,1.703345904,-0.848345904,1.514057302,0.345942698,968.2,11.06833333,12.682,945.4,10.87833333,12.454,0.77,0.5,1.613666667,1.575666667
