部品品番,合計最小値,合計最大値,外れ値超過有無
30610ECB014,0.0,24.0,True
30600ECB010,0.0,24.0,True
EC15(04)B016,0.0,24.0,True
G1100ECB010,0.0,24.0,True
EC15(04)R008,0.0,24.0,True
G1190ECB020,0.0,24.0,True
G1110ECB020,0.0,24.0,True
9033132A001,0.0,63.0,False
G1101ECB010,0.0,24.0,True
G1131ECB010,0.0,24.0,True
G1131ECF010,0.0,24.0,True
G1133ECB010,0.0,24.0,True
9017953A001,0.0,63.0,False
9020163A001,0.0,63.0,False
G1180ECB010,0.0,24.0,True
G1108ECB010,0.0,24.0,True
G1135ECB010,0.0,24.0,True
G1135ECB020,0.0,24.0,True
G1126ECB010,0.0,24.0,True
G1118ECB010,0.0,63.0,False
G117247030,0.0,63.0,False
EC15(04)S005,0.0,24.0,True
G1104ECB010,0.0,24.0,True
G1106ECB010,0.0,24.0,True
G1161ECB010,0.0,24.0,True
G1161ECB020,0.0,24.0,True
G1146ECB010,0.0,24.0,True
G1146ECB020,0.0,24.0,True
G1146ECB030,0.0,24.0,True
G1153ECB010,0.0,36.0,False
G11B1ECB010,0.0,24.0,True
G1158ECB010,0.0,24.0,True
Y0241ECB010,0.0,24.0,True
G11A1ECB010,0.0,24.0,True
Y0014ECB010,0.0,24.0,True
G11A2ECB010,0.0,24.0,True
G11A3ECB010,0.0,24.0,True
G11A4ECB010,0.0,24.0,True
G11A5ECB010,0.0,24.0,True
Y8645ECB010,0.0,63.0,False
G1163ECB010,0.0,24.0,True
EC15(04)T004,0.0,24.0,True
9010506A089,0.0,63.0,False
G1144ECB010,0.0,36.0,False
36296ECB020,0.0,36.0,False
9017906A006,0.0,36.0,False
9011906A065,0.0,63.0,False
9025006027,0.0,63.0,False
9167180618,0.0,63.0,False
G117362010,0.0,63.0,False
9155180614,0.0,63.0,False
G1174ECB010,0.0,36.0,False
89429ECB010,0.0,63.0,False
35482TFA010,0.0,36.0,False
35847ECB010,0.0,36.0,False
5040056001E,0.0,36.0,False
9161140614,0.0,63.0,False
9094906A012,0.0,63.0,False
82824ECB010,0.0,36.0,False
G1250ECB010,0.0,24.0,True
G1251ECB010,0.0,24.0,True
G1259ECB010,0.0,63.0,False
EC15(04)B017,0.0,36.0,False
39104ECB010,0.0,36.0,False
39121ECB010,0.0,36.0,False
39121ECD020,0.0,36.0,False
1040043104R,0.0,63.0,False
9025010017,0.0,63.0,False
9033106A003,0.0,63.0,False
9033904A003,0.0,36.0,False
9036340A015,0.0,63.0,False
9036630A017,0.0,63.0,False
9020156A001,0.0,36.0,False
9036659A010,0.0,63.0,False
9030106A018,0.0,63.0,False
9034108A006,0.0,63.0,False
9034108A010,0.0,36.0,False
9030111A014,0.0,63.0,False
3040052001B,0.0,63.0,False
9034114A004,0.0,36.0,False
2030052002N,0.0,63.0,False
2030045013L,0.0,63.0,False
35441TFA010,0.0,36.0,False
9011906908,0.0,63.0,False
9030117A010,0.0,63.0,False
35108ECB010,0.0,36.0,False
39171ECB010,0.0,36.0,False
39171ECD010,0.0,36.0,False
9033904A002,0.0,63.0,False
9036345A004,0.0,63.0,False
