,KOTEI_ID,WORK_ID,JISEKI_DT,JISEKI_DT2,TYOKU
0,02,01,2023-10-02 09:19:59.677,2023-10-02 09:54:41.813,0
2,02,02,2023-10-02 13:50:45.790,2023-10-02 14:38:25.690,0
6,02,03,2023-10-02 17:48:46.860,2023-10-02 17:49:32.153,0
9,02,04,2023-10-02 21:15:21.290,2023-10-03 01:45:17.587,0
12,02,05,2023-10-03 01:45:19.033,2023-10-03 05:05:01.820,0
14,02,06,2023-10-03 05:05:02.633,2023-10-03 05:42:00.743,0
16,02,01,2023-10-03 09:18:48.500,2023-10-03 09:54:55.880,0
18,02,02,2023-10-03 13:50:46.547,2023-10-03 14:38:17.003,0
22,02,03,2023-10-03 17:09:42.587,2023-10-03 17:50:06.693,0
25,02,04,2023-10-03 21:16:12.987,2023-10-03 21:37:40.703,0
28,02,05,2023-10-04 01:49:12.817,2023-10-04 02:20:03.387,0
30,02,06,2023-10-04 05:06:53.247,2023-10-04 05:41:38.527,0
32,02,01,2023-10-04 09:17:31.513,2023-10-04 09:50:58.603,0
34,02,02,2023-10-04 13:45:39.187,2023-10-04 14:39:33.697,0
38,02,03,2023-10-04 17:06:28.660,2023-10-04 17:54:11.707,0
41,02,04,2023-10-04 21:15:56.060,2023-10-04 21:34:12.690,0
44,02,05,2023-10-05 01:44:13.850,2023-10-05 02:25:47.513,0
46,02,06,2023-10-05 05:05:18.827,2023-10-05 05:37:46.690,0
48,02,01,2023-10-05 09:19:51.373,2023-10-05 09:51:18.397,0
50,02,02,2023-10-05 13:46:48.973,2023-10-05 14:39:42.863,0
54,02,03,2023-10-05 17:06:24.700,2023-10-05 17:50:31.387,0
57,02,04,2023-10-05 21:16:42.403,2023-10-05 21:39:21.400,0
60,02,05,2023-10-06 01:46:48.217,2023-10-06 02:18:08.667,0
62,02,06,2023-10-06 05:07:11.630,2023-10-06 05:35:32.880,0
64,02,01,2023-10-06 09:16:51.867,2023-10-06 09:53:06.857,0
66,02,02,2023-10-06 13:48:51.560,2023-10-06 14:41:16.133,0
70,02,03,2023-10-06 17:06:20.487,2023-10-06 17:50:20.203,0
77,02,01,2023-10-09 09:16:46.073,2023-10-09 09:47:17.633,0
79,02,02,2023-10-09 13:47:48.123,2023-10-09 14:27:11.350,0
83,02,03,2023-10-09 17:17:03.083,2023-10-09 17:45:21.507,0
86,02,04,2023-10-09 21:21:19.673,2023-10-09 21:50:07.263,0
89,02,05,2023-10-10 01:55:27.843,2023-10-10 02:40:16.473,0
91,02,06,2023-10-10 05:05:26.547,2023-10-10 05:53:51.270,0
93,02,01,2023-10-10 09:15:03.730,2023-10-10 09:41:42.553,0
95,02,02,2023-10-10 13:48:42.527,2023-10-10 14:22:30.780,0
99,02,03,2023-10-10 17:13:52.187,2023-10-10 17:35:15.597,0
102,02,04,2023-10-10 21:16:51.437,2023-10-10 21:50:30.737,0
105,02,05,2023-10-11 01:49:11.667,2023-10-11 02:40:25.457,0
107,02,06,2023-10-11 05:08:29.883,2023-10-11 05:52:16.360,0
109,02,01,2023-10-11 09:15:50.957,2023-10-11 09:42:31.403,0
111,02,02,2023-10-11 13:45:28.710,2023-10-11 14:25:33.457,0
115,02,03,2023-10-11 17:13:19.680,2023-10-11 17:41:42.737,0
118,02,04,2023-10-11 21:20:49.263,2023-10-11 21:50:17.827,0
121,02,05,2023-10-12 01:49:28.067,2023-10-12 02:40:12.003,0
123,02,06,2023-10-12 05:06:38.310,2023-10-12 05:48:52.583,0
125,02,01,2023-10-12 09:13:47.757,2023-10-12 09:43:38.547,0
127,02,02,2023-10-12 13:47:42.900,2023-10-12 14:24:38.977,0
131,02,03,2023-10-12 17:15:53.937,2023-10-12 17:42:55.097,0
134,02,04,2023-10-12 21:17:58.207,2023-10-12 21:50:13.413,0
137,02,02,2023-10-13 01:52:45.053,2023-10-13 01:53:00.017,0
138,02,05,2023-10-13 01:53:03.023,2023-10-13 02:40:24.797,0
140,02,06,2023-10-13 05:07:03.487,2023-10-13 05:50:09.063,0
142,02,01,2023-10-13 09:14:40.073,2023-10-13 09:40:09.310,0
144,02,02,2023-10-13 13:48:15.713,2023-10-13 14:24:46.943,0
148,02,03,2023-10-13 17:08:25.520,2023-10-13 17:38:42.463,0
151,02,04,2023-10-13 21:17:05.467,2023-10-13 21:50:20.767,0
154,02,05,2023-10-14 01:52:21.033,2023-10-14 02:39:21.640,0
156,02,06,2023-10-14 05:08:33.640,2023-10-14 05:49:30.533,0
158,02,02,2023-10-16 09:15:31.343,2023-10-16 09:15:57.030,0
159,02,01,2023-10-16 09:15:58.250,2023-10-16 09:51:01.960,0
161,02,02,2023-10-16 13:45:58.630,2023-10-16 14:38:52.457,0
165,02,03,2023-10-16 17:32:46.820,2023-10-16 17:51:57.880,0
169,02,04,2023-10-16 21:14:16.877,2023-10-16 21:36:42.480,0
172,02,05,2023-10-17 01:43:37.033,2023-10-17 02:34:02.297,0
174,02,06,2023-10-17 05:06:27.570,2023-10-17 05:38:57.037,0
176,02,02,2023-10-17 09:53:04.950,2023-10-17 09:53:28.563,0
