="タイトル：かんばん手配品番一覧"

="ダウンロード日時：2023/07/12 13:19:02"

="手配担当工場：＜第１＞；手配担当整備室：＜第１工場＞；発注区分：＜かんばん＞；手配区分：＜仕入先手配：指定あり；仕入先直送：指定あり；仕入先支給：指定なし；他工場手配：指定なし；受給手配：指定なし；＞;品番上位桁：＜＞；仕入先ｺｰﾄﾞ：＜＞；"

="検索件数：＜  557＞；"
="IX000 処理が正常に完了しました；"

="品番",="加工図符号",="類別",="品名",="整備室",="整備室名",="手配区分",="工程内外製",="工程ｺｰﾄﾞ",="仕入先名/工場名",="発送場所",="発送場所名",="受給区分",="資材区分",="後工程内外製",="後工程ｺｰﾄﾞ",="後工程仕入先名/工場名",="受入場所",="受入場所名",="中継区分",="中継工場",="中継場所",="中継場所名","納入ｻｲｸﾙ.間隔","納入ｻｲｸﾙ.回数","納入ｻｲｸﾙ.情報","基準在庫.日数","基準在庫.枚数","MIN在庫日数","MAX在庫日数","便平均上限振れ率","便平均下限振れ率",="かんばん情報.仕入先",="かんばん情報.仕入先名",="かんばん情報.背番号",="かんばん情報.工場置場所",="かんばん情報.拠点置場所",="かんばん情報.品名略ｺｰﾄﾞ",="かんばん情報.品名略名",="かんばん情報.通箱ｺｰﾄﾞ",="かんばん情報.通箱名","かんばん情報.収容数",="かんばん情報.ｺﾝﾍﾞｱ区分",="かんばん情報.ﾌﾞﾛｯｸ区分",="かんばん情報.専用品区分",="かんばん情報.不良率","かんばん情報.保証率",="かんばん情報.設変符号",="かんばん情報.部品大別区分",="かんばん情報.部品大別名称",="かんばん情報.発注形態区分",="かんばん情報.発注形態名称",="かんばん情報.PLコード",="登録箱種",="縦(mm)",="横(mm)",="高(mm)",="容積(m3)",="総重量(Kg)",="パレタイズ発注",="箱数",="設定計画NO",="設定日",="設定担当部署コード",="担当部署名",="設定担当者コード",="担当者名"
="35300-ECB010",="",="","PUMP ASSY, OIL W/MOTOR",="1Y",="第１工場",="手配",="Ｐ",="0001",="アイシン精機（株）",="12",="半田工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","04"," 8.04","  0.91"," 3.0","  1.12","  1.12","1.10","0.50",="001",="アイシン精機（株）",="001",="M-MG-22",="40428",="0069",="ﾃﾞﾝﾄﾞｳｵｲﾙﾎﾟﾝﾌﾟ",="060",="TP-341 ﾊﾝﾖｳ","     12",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP341ﾌﾀﾅｼ",=" 335.000",=" 503.000",=" 103.000",="   0.017",="   6.970",="しない",="",="MASTER01",="2023/04/27",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="35580-6GA020",="",="","ACTUATOR ASSY, SHIFT CONTROL",="1Y",="第１工場",="手配",="Ｐ",="0001",="アイシン精機（株）",="12",="半田工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","04"," 8.04","  0.70"," 3.0","  1.12","  1.12","1.10","0.50",="001",="アイシン精機（株）",="004",="",="",="0042","ACTUATOR ASSY, SHIFT CONTROL",="019",="TP-342 ｾﾝﾖｳ","      6",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP342ﾌﾀｱﾘ",=" 503.000",=" 335.000",=" 216.000",="   0.036",="  10.680",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="35580-ECB010",="",="","ACTUATOR ASSY, SHIFT CONTROL",="1Y",="第１工場",="手配",="Ｐ",="0001",="アイシン精機（株）",="12",="半田工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","04"," 8.04","  0.70"," 3.0","  1.12","  1.12","1.10","0.50",="001",="アイシン精機（株）",="002",="I1-12",="50485",="0042","ｱｷｭｴｰﾀｰASSY,ｼﾌﾄｺﾝﾄﾛｰﾙ",="019",="TP-342 ｾﾝﾖｳ","      6",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP342ﾌﾀｱﾘ",=" 503.000",=" 335.000",=" 216.000",="   0.036",="  10.680",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="35580-ECB011",="",="","ACTUATOR ASSY, SHIFT CONTROL",="1Y",="第１工場",="手配",="Ｐ",="0001",="アイシン精機（株）",="12",="半田工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","04"," 8.04","  0.90"," 3.0","  1.12","  1.12","1.10","0.50",="001",="アイシン精機（株）",="003",="I1-12",="50501",="0042","ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ",="019",="TP-342 ｾﾝﾖｳ","      6",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３４２フタアリ",=" 503.000",=" 335.000",=" 216.000",="   0.036",="  10.680",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="1040 052 001Z",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.53"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="027",="R-3-1",="10373",="0521",="ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="012",="TP-131 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.270",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="1040 183 011P",="",="","BOLT, FLANGE",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.54"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="003",="I1-11",="20369",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   9.380",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="3040 052 001B",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.52"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="004",="R-6-1",="20379",="0521",="ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  11.970",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90105-06A003",="",="","BOLT, FLANGE",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.52"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="005",="M-MG-2",="20366",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  12.630",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90105-06A089",="",="","BOLT, FLANGE",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.50"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="006",="M-MG-6",="20387",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","   1500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  10.130",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90105-08A014",="",="","BOLT, FLANGE",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.54"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="007",="M-4",="20380",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   8.830",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
