,品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(土),2(日),3(月),4(火),5(水),6(木),7(金),8(土),9(日),10(月),11(火),12(水),13(木),14(金),15(土),16(日),17(月),18(火),19(水),20(木),21(金),22(土),23(日),24(月),25(火),26(水),27(木),28(金),29(土),30(日),Unnamed: 69,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(土).1,2(日).1,3(月).1,4(火).1,5(水).1,6(木).1,7(金).1,8(土).1,9(日).1,10(月).1,11(火).1,12(水).1,13(木).1,14(金).1,15(土).1,16(日).1,17(月).1,18(火).1,19(水).1,20(木).1,21(金).1,22(土).1,23(日).1,24(月).1,25(火).1,26(水).1,27(木).1,28(金).1,29(土).1,30(日).1,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量
0,35300-ECB010,,,"PUMP ASSY, OIL W/MOTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,12,  0.76,3,1,4,8.04,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,08, 9.00,   9.301
1,35580-ECB011,, A,"ACTUATOR ASSY, SHIFT CONTROL",使用中,かんばん,1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,6,  0.76,3,1,4,8.04,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,08, 9.00,   9.301
2,1040 052 001Z,, D,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタアリ,200,  0.57,3,1,6,5.76,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,01, 1.79,   3.180
3,1040 183 011P,, C,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３２フタナシ,500,  0.51,3,1,6,5.76,,,,,"22,485",20,"22,623",18,"28,908",22,"28,311",21,0,0,"1,062","1,080","1,008","1,080","1,080",0,0,"1,008","1,008","1,044","1,008","1,026",0,0,"1,170","1,266","1,152","1,266","1,080",0,0,"1,191","1,287","1,173","1,305","1,191",0,0,,"22,485","22,623","28,908","28,311",0,0,"1,062","1,080","1,008","1,080","1,080",0,0,"1,008","1,008","1,044","1,008","1,026",0,0,"1,170","1,266","1,152","1,266","1,080",0,0,"1,191","1,287","1,173","1,305","1,191",0,0,1,01, 1.90,   2.900
4,3040 052 001B,, C,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタアリ,500,  0.58,3,1,6,5.76,,,,,"82,675",20,"80,204",18,"101,459",22,"104,243",21,0,0,"4,121","4,115","3,854","4,115","4,115",0,0,"4,139","4,139","4,127","4,139","4,133",0,0,"4,085","4,363","4,091","4,363","3,830",0,0,"4,078","4,356","4,084","4,350","4,078",0,0,,"82,675","80,204","101,459","104,243",0,0,"4,121","4,115","3,854","4,115","4,115",0,0,"4,139","4,139","4,127","4,139","4,133",0,0,"4,085","4,363","4,091","4,363","3,830",0,0,"4,078","4,356","4,084","4,350","4,078",0,0,1,01, 1.79,   4.710
5,90105-06A003,, A,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタアリ,"2,000",  0.58,3,1,6,5.76,,,,,"29,980",20,"30,164",18,"38,544",22,"37,748",21,0,0,"1,416","1,440","1,344","1,440","1,440",0,0,"1,344","1,344","1,392","1,344","1,368",0,0,"1,560","1,688","1,536","1,688","1,440",0,0,"1,588","1,716","1,564","1,740","1,588",0,0,,"29,980","30,164","38,544","37,748",0,0,"1,416","1,440","1,344","1,440","1,440",0,0,"1,344","1,344","1,392","1,344","1,368",0,0,"1,560","1,688","1,536","1,688","1,440",0,0,"1,588","1,716","1,564","1,740","1,588",0,0,1,01, 1.79,   4.710
6,90105-06A089,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,"1,500",  0.67,3,1,6,5.76,,,,,"36,068",20,"35,098",18,"44,438",22,"45,472",21,0,0,"1,790","1,790","1,676","1,790","1,790",0,0,"1,790","1,790","1,790","1,790","1,790",0,0,"1,790","1,914","1,790","1,914","1,676",0,0,"1,790","1,914","1,790","1,914","1,790",0,0,,"36,068","35,098","44,438","45,472",0,0,"1,790","1,790","1,676","1,790","1,790",0,0,"1,790","1,790","1,790","1,790","1,790",0,0,"1,790","1,914","1,790","1,914","1,676",0,0,"1,790","1,914","1,790","1,914","1,790",0,0,1,01, 2.14,   0.750
7,90105-08A014,, B,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタアリ,500,  0.58,3,1,6,5.76,,,,,"683,885",20,"664,255",18,"840,580",22,"862,255",21,0,0,"34,030","34,000","31,840","34,000","34,000",0,0,"34,120","34,120","34,060","34,120","34,090",0,0,"33,850","36,170","33,880","36,170","31,720",0,0,"33,815","36,135","33,845","36,105","33,815",0,0,,"683,885","664,255","840,580","862,255",0,0,"34,030","34,000","31,840","34,000","34,000",0,0,"34,120","34,120","34,060","34,120","34,090",0,0,"33,850","36,170","33,880","36,170","31,720",0,0,"33,815","36,135","33,845","36,105","33,815",0,0,1,01, 1.79,   4.710
8,90105-08A042,, D,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３２フタナシ,300,  0.83,3,1,6,5.76,,,,,"37,475",20,"37,705",18,"48,180",22,"47,185",21,0,0,"1,770","1,800","1,680","1,800","1,800",0,0,"1,680","1,680","1,740","1,680","1,710",0,0,"1,950","2,110","1,920","2,110","1,800",0,0,"1,985","2,145","1,955","2,175","1,985",0,0,,"37,475","37,705","48,180","47,185",0,0,"1,770","1,800","1,680","1,800","1,800",0,0,"1,680","1,680","1,740","1,680","1,710",0,0,"1,950","2,110","1,920","2,110","1,800",0,0,"1,985","2,145","1,955","2,175","1,985",0,0,1,02, 3.64,   3.010
9,90105-12A018,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP131ﾌﾀﾅｼ,200,  0.93,3,1,6,5.76,,,,,"246,388",20,"240,752",18,"305,172",22,"310,580",21,0,0,"12,156","12,180","11,400","12,180","12,180",0,0,"12,084","12,084","12,132","12,084","12,108",0,0,"12,300","13,172","12,276","13,172","11,496",0,0,"12,328","13,200","12,304","13,224","12,328",0,0,,"246,388","240,752","305,172","310,580",0,0,"12,156","12,180","11,400","12,180","12,180",0,0,"12,084","12,084","12,132","12,084","12,108",0,0,"12,300","13,172","12,276","13,172","11,496",0,0,"12,328","13,200","12,304","13,224","12,328",0,0,1,01, 0.73,   5.600
