,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
0,01912ECB040    ,2023,36,30.5,85.0,84.0,愛産樹脂工業（株）,17.9,0.25,4.37,4.38,6.26,6.5,0.67,0.8363524453809471,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,93,4.12,0.009999999999999787,1.88,0.2400000000000002,2.13,0.0,3.17910447761194,2.546773207591704,13.631284916201116,1.605154605833772
1,01912ECB040    ,2023,37,26.0,92.0,81.0,愛産樹脂工業（株）,17.9,0.26,4.4,4.38,5.365,5.7,0.67,0.8363524453809471,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,90,4.140000000000001,-0.020000000000000462,0.9850000000000003,0.33499999999999996,1.2999999999999998,0.0,1.9402985074626862,1.554368624351744,11.620111731843574,1.5303018844349163
2,01912ECB040    ,2023,38,27.0,83.0,79.0,愛産樹脂工業（株）,17.9,0.25,4.42,4.37,5.93,6.2,0.67,0.8363524453809471,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,87,4.17,-0.04999999999999982,1.5599999999999996,0.27000000000000046,1.7800000000000002,0.0,2.656716417910448,2.1282893471893116,12.06703910614525,1.5484280235676322
3,01912ECB060    ,2023,36,3.0,4.0,5.0,新光ゴム工業（株）,0.42,0.12,5.41,5.37,11.64,13.135000000000002,0.78,3.982134756504337,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,4,5.29,-0.040000000000000036,6.2700000000000005,1.495000000000001,7.725000000000001,0.0,9.903846153846155,1.9399142601545931,57.14285714285714,0.05238449219471067
4,01912ECB060    ,2023,37,2.0,5.0,4.0,新光ゴム工業（株）,0.84,0.12,5.4,5.36,8.03,9.41,0.78,3.982134756504337,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,5,5.28,-0.040000000000000036,2.669999999999999,1.3800000000000008,4.01,0.0,5.1410256410256405,1.006997564170863,19.047619047619047,0.10362898848237813
5,01912ECB060    ,2023,38,1.0,5.0,3.0,新光ゴム工業（株）,0.96,0.12,5.41,5.36,6.99,8.72,0.78,3.982134756504337,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,5,5.29,-0.04999999999999982,1.63,1.7300000000000004,3.3100000000000005,0.0,4.2435897435897445,0.8312124532183435,8.333333333333334,0.11599133931333126
6,1040043104R    ,2023,36,4.0,8.0,8.0,（株）ギフ加藤製作所,1.676,0.22,2.05,2.53,6.76,7.78,0.9,2.563524453809471,3,TP341ﾌﾀﾅｼ,1,6,4.92,7,1.8299999999999998,0.48,4.23,1.0200000000000005,5.73,0.12,6.366666666666667,2.235203955821469,24.188866670966906,0.16291951772969238
7,1040043104R    ,2023,37,3.0,10.0,8.0,（株）ギフ加藤製作所,1.79,0.17,3.98,4.41,6.2,7.77,0.9,2.563524453809471,3,TP341ﾌﾀﾅｼ,1,6,4.92,7,3.81,0.43000000000000016,1.79,1.5699999999999994,3.7899999999999996,0.12,4.21111111111111,1.4784333320354914,16.98626000301978,0.17267088082938267
8,1040043104R    ,2023,38,4.0,8.0,8.0,（株）ギフ加藤製作所,1.852,0.185,2.035,2.475,6.27,8.055,0.9,2.563524453809471,3,TP341ﾌﾀﾅｼ,1,6,4.92,6,1.85,0.43999999999999995,3.7949999999999995,1.7850000000000001,6.02,0.12,6.688888888888888,2.34832946143896,21.890140680637437,0.17944133978080817
9,33490ECB010    ,2023,36,54.0,435.0,464.0,マレリ（株）,90.0,0.32,2.31,2.61,4.94,5.13,1.02,1.0520213475650433,3,TP341ﾌﾀﾅｼ,1,6,4.92,514,1.99,0.2999999999999998,2.3300000000000005,0.1899999999999995,2.82,0.23,2.764705882352941,2.680553970246928,6.081081081081081,2.1109350237717908
