,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_ミズショー（株）,仕入先名_三共鋼業（株）,仕入先名_住友商事（株）鉄鋼部輸送機材,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_新光ゴム工業（株）,仕入先名_日本精工（株）,仕入先名_（株）オンド,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）旭工業所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,箱種類_TP341ﾌﾀﾅｼ,箱種類_サンボックス＃２０Ｂフタナシ,箱種類_サンボックス＃９Ｆフタナシ,箱種類_ＴＰ３４１フタナシ,箱種類_ＴＰ３４２フタアリ,箱種類_ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,箱種類_ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半,年＆週番号_2023-36,年＆週番号_2023-37,年＆週番号_2023-38
0,01912ECB040    ,2023,36,30.5,85.0,84.0,17.9,0.25,4.37,4.38,6.26,6.5,0.67,0.8363524453809471,3.0,1.0,4.0,4.0,93.0,4.12,0.009999999999999787,1.88,0.2400000000000002,2.13,0.0,3.17910447761194,2.5467732075917042,13.631284916201114,1.6051546058337718,97.81,480.0,0.0,0.0,0.0,85.0,4.748603351955309,1.0,0.9882352941176472,1.1071428571428572,1.0941176470588236,4.475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1,01912ECB040    ,2023,37,26.0,92.0,81.0,17.9,0.26,4.4,4.38,5.365,5.7,0.67,0.8363524453809471,3.0,1.0,4.0,4.0,90.0,4.1400000000000015,-0.020000000000000462,0.9850000000000004,0.335,1.2999999999999998,0.0,1.9402985074626864,1.554368624351744,11.620111731843574,1.5303018844349163,93.505,462.0,-0.14754098360655746,-0.3896713615023475,-0.032258064516129004,93.0,5.195530726256983,0.989247311827957,0.8804347826086957,1.1111111111111112,0.967741935483871,4.475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2,01912ECB040    ,2023,38,27.0,83.0,79.0,17.9,0.25,4.42,4.37,5.93,6.2,0.67,0.8363524453809471,3.0,1.0,4.0,4.0,87.0,4.17,-0.049999999999999815,1.5599999999999996,0.2700000000000005,1.7800000000000002,0.0,2.6567164179104483,2.128289347189312,12.06703910614525,1.5484280235676322,97.085,450.0,0.03846153846153855,0.3692307692307697,-0.033333333333333326,58.0,3.240223463687151,1.4310344827586208,0.9518072289156626,1.1012658227848102,1.5,4.475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
3,01912ECB060    ,2023,36,3.0,4.0,5.0,0.42,0.12,5.41,5.37,11.64,13.135000000000002,0.78,3.9821347565043372,3.0,1.0,4.0,4.0,4.0,5.29,-0.040000000000000036,6.2700000000000005,1.495000000000001,7.725000000000001,0.0,9.903846153846157,1.939914260154593,57.14285714285714,0.05238449219471067,97.81,480.0,0.0,0.0,0.0,4.0,9.523809523809524,1.0,1.25,0.8,1.0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
4,01912ECB060    ,2023,37,2.0,5.0,4.0,0.84,0.12,5.4,5.36,8.03,9.41,0.78,3.9821347565043372,3.0,1.0,4.0,4.0,5.0,5.28,-0.040000000000000036,2.669999999999999,1.3800000000000008,4.01,0.0,5.1410256410256405,1.0069975641708628,19.047619047619047,0.10362898848237813,93.505,462.0,-0.33333333333333337,-0.4809061488673141,0.25,5.0,5.9523809523809526,1.0,0.8,1.25,1.0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
5,01912ECB060    ,2023,38,1.0,5.0,3.0,0.96,0.12,5.41,5.36,6.99,8.72,0.78,3.9821347565043372,3.0,1.0,4.0,4.0,5.0,5.29,-0.049999999999999815,1.63,1.7300000000000004,3.3100000000000005,0.0,4.2435897435897445,0.8312124532183435,8.333333333333334,0.11599133931333125,97.085,450.0,-0.5,-0.17456359102244368,0.0,2.0,2.083333333333333,2.5,0.6,1.6666666666666667,2.5,0.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
6,1040043104R    ,2023,36,4.0,8.0,8.0,1.676,0.22,2.05,2.53,6.76,7.78,0.9,2.563524453809471,3.0,1.0,6.0,4.92,7.0,1.83,0.48,4.23,1.0200000000000005,5.73,0.12,6.366666666666667,2.235203955821469,24.188866670966906,0.16291951772969238,97.81,480.0,0.0,0.0,0.0,7.0,4.176610978520286,1.1428571428571428,1.0,0.875,1.0,0.2793333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,1040043104R    ,2023,37,3.0,10.0,8.0,1.79,0.17,3.98,4.41,6.2,7.77,0.9,2.563524453809471,3.0,1.0,6.0,4.92,7.0,3.81,0.43000000000000016,1.79,1.5699999999999994,3.79,0.12,4.211111111111111,1.4784333320354917,16.98626000301978,0.17267088082938267,93.505,462.0,-0.25,-0.3385689354275743,0.0,7.0,3.910614525139665,1.4285714285714286,0.8,0.875,1.0,0.2983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,1040043104R    ,2023,38,4.0,8.0,8.0,1.8519999999999999,0.185,2.035,2.475,6.27,8.055,0.9,2.563524453809471,3.0,1.0,6.0,4.92,6.0,1.85,0.44,3.795,1.785,6.02,0.12,6.688888888888887,2.34832946143896,21.89014068063744,0.17944133978080815,97.085,450.0,0.3333333333333333,0.5883905013192612,-0.1428571428571429,1.0,0.5399568034557235,8.0,1.0,0.75,6.0,0.3086666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9,33490ECB010    ,2023,36,54.0,435.0,464.0,90.0,0.32,2.31,2.61,4.94,5.13,1.02,1.0520213475650433,3.0,1.0,6.0,4.92,514.0,1.99,0.2999999999999998,2.3300000000000005,0.1899999999999995,2.82,0.23,2.764705882352941,2.6805539702469283,6.081081081081082,2.1109350237717908,97.81,480.0,0.0,0.0,0.0,486.0,5.4,0.8950617283950617,1.0666666666666669,1.1077586206896552,1.0576131687242798,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
