,Unnamed: 0,品番,日付,日量数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日
0,0,35300ECB010,4,946.0,アイシン精機（株）,TP-341 ﾊﾝﾖｳ,12.0,0.91,3,1,4,8.04,78.83333333333333,79,50,32.0,41.0,127.0,0.14
1,1,35580ECB011,4,411.0,アイシン精機（株）,TP-342 ｾﾝﾖｳ,6.0,0.9,3,1,4,8.04,68.5,69,53,27.0,39.0,84.0,0.14
2,2,1040052001Z,4,535.0,（株）青山製作所,TP-131 ﾊﾝﾖｳ,200.0,0.53,3,1,6,5.76,2.675,3,1,2.0,1.0,4.0,0.08
3,3,1040183011P,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.54,1,1,6,5.76,0.0,0,1,1.0,0.0,1.0,0.08
4,4,3040052001B,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.52,3,1,6,5.76,0.0,0,7,7.0,5.0,5.0,0.08
5,5,9010506A003,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.52,1,1,6,5.76,0.0,0,1,0.0,1.0,2.0,0.08
6,6,9010508A014,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.54,3,1,6,5.76,0.0,0,44,53.0,48.0,43.0,0.08
7,7,9010508A042,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,300.0,0.53,1,1,6,5.76,0.0,0,5,4.0,4.0,2.0,0.08
8,8,9010512A018,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,200.0,0.74,3,1,6,5.76,0.0,0,43,34.0,34.0,40.0,0.08
9,9,9011906A065,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.53,1,1,6,5.76,0.0,0,1,2.0,2.0,4.0,0.08
10,10,9014908A008,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,800.0,0.52,1,1,6,5.76,0.0,0,5,5.0,2.0,4.0,0.08
