,Unnamed: 0,Unnamed: 0.1,品番,日付,日量数,当月必要数,当月稼働日数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,平均日量数（箱）,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日,設計値MIN,設計値MAX,入庫数（箱）＞検収数,入庫数（箱）＞日量数（箱）,入庫数（箱）＜検収数,入庫数（箱）＜日量数（箱）
0,0,0,35300ECB010,4,946.0,18814,21.0,アイシン精機（株）,TP-341 ﾊﾝﾖｳ,12,0.91,3,1,4,8.04,78.83333333333333,79,74.6587301587302,50,32.0,41.0,127.0,0.14,16.872873015873026,45.989777777777796,0,0,1,1
1,1,1,35580ECB011,4,411.0,8235,21.0,アイシン精機（株）,TP-342 ｾﾝﾖｳ,6,0.9,3,1,4,8.04,68.5,69,65.35714285714286,53,27.0,39.0,84.0,0.14,14.770714285714286,40.26000000000001,0,0,1,1
2,2,2,1040052001Z,4,535.0,10578,21.0,（株）青山製作所,TP-131 ﾊﾝﾖｳ,200,0.53,3,1,6,5.76,2.675,3,2.5185714285714287,1,2.0,1.0,4.0,0.08,0.28375904761904763,0.9050066666666668,1,0,0,0
3,3,3,1040183011P,4,1233.0,24705,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500,0.54,1,1,6,5.76,2.466,3,2.3528571428571428,1,1.0,0.0,1.0,0.08,0.26508857142857145,0.84546,0,0,0,1
4,4,4,3040052001B,4,4319.0,85834,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500,0.52,3,1,6,5.76,8.638,9,8.174666666666667,7,7.0,5.0,5.0,0.08,0.9210124444444444,2.9374302222222224,0,0,0,0
5,5,5,9010506A003,4,1644.0,32944,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,2000,0.52,1,1,6,5.76,0.8220000000000001,1,0.7843809523809524,1,0.0,1.0,2.0,0.08,0.0883735873015873,0.28185422222222223,0,0,1,1
6,6,6,9010508A014,4,35785.0,711380,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500,0.54,3,1,6,5.76,71.57,72,67.75047619047618,44,53.0,48.0,43.0,0.08,7.6332203174603155,24.34500444444444,0,0,0,0
7,7,7,9010508A042,4,2055.0,41180,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,300,0.53,1,1,6,5.76,6.85,7,6.536507936507936,5,4.0,4.0,2.0,0.08,0.7364465608465608,2.348785185185185,0,0,0,1
8,8,8,9010512A018,4,12996.0,258712,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,200,0.74,3,1,6,5.76,64.98,65,61.59809523809525,43,34.0,34.0,40.0,0.08,6.9400520634920655,22.134248888888887,0,0,0,1
9,9,9,9011906A065,4,2838.0,56442,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,1000,0.53,1,1,6,5.76,2.838,3,2.6877142857142857,1,2.0,2.0,4.0,0.08,0.3028158095238096,0.9657853333333332,1,0,0,0
10,10,10,9014908A008,4,2838.0,56442,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,800,0.52,1,1,6,5.76,3.5475,4,3.3596428571428567,5,5.0,2.0,4.0,0.08,0.3785197619047619,1.2072316666666665,0,0,0,0
11,11,11,9015905A007,4,5676.0,112860,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,2000,0.53,3,1,6,5.76,2.838,3,2.6871428571428573,1,2.0,2.0,4.0,0.08,0.3027514285714286,0.96558,1,0,0,0
12,12,12,9015906A021,4,7979.0,158714,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,1200,0.52,3,1,6,5.76,6.649166666666668,7,6.298174603174603,3,4.0,4.0,4.0,0.08,0.7095943386243387,2.2631440740740745,0,0,0,1
13,13,13,9015906A022,4,14190.0,282180,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,1500,0.51,3,1,6,5.76,9.46,10,8.958095238095238,7,6.0,5.0,8.0,0.08,1.0092787301587305,3.2189422222222217,0,0,0,1
14,14,14,9015906A023,4,2838.0,56430,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,1300,0.52,3,1,6,5.76,2.183076923076923,3,2.0670329670329672,1,2.0,1.0,6.0,0.08,0.2328857142857143,0.7427538461538462,1,0,0,0
